,Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent
0,0,2.0,0.0002017600000001618,[0 1 0 0 0],200,0.2,200,0.2
1,1,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
2,2,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
3,4,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
4,8,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
5,16,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
6,32,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
7,64,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
8,128,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
9,256,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
10,512,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
11,1024,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
12,2048,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
13,4096,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
14,8192,4.0,0.016615948000000103,[1. 0. 1. 0. 1.],200,0.2,200,0.2
15,0,2.0,0.0001486829999999273,[0 1 0 0 0],200,0.4,200,0.4
16,1,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
17,2,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
18,4,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
19,8,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
20,16,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
21,32,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
22,64,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
23,128,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
24,256,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
25,512,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
26,1024,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
27,2048,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
28,4096,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
29,8192,4.0,0.01055697099999997,[1. 0. 1. 0. 1.],200,0.4,200,0.4
30,0,2.0,0.00014598599999993134,[0 1 0 0 0],200,0.6,200,0.6
31,1,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
32,2,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
33,4,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
34,8,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
35,16,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
36,32,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
37,64,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
38,128,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
39,256,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
40,512,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
41,1024,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
42,2048,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
43,4096,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
44,8192,4.0,0.01027587299999988,[1. 0. 1. 0. 1.],200,0.6,200,0.6
45,0,2.0,0.00014025800000005972,[0 1 0 0 0],200,0.8,200,0.8
46,1,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
47,2,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
48,4,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
49,8,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
50,16,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
51,32,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
52,64,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
53,128,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
54,256,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
55,512,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
56,1024,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
57,2048,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
58,4096,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
59,8192,4.0,0.01019529600000002,[1. 0. 1. 0. 1.],200,0.8,200,0.8
60,0,2.0,0.00013407399999998404,[0 1 0 0 0],200,1.0,200,1.0
61,1,4.0,0.010158850000000053,[0. 1. 0. 1. 0.],200,1.0,200,1.0
