Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate,run_number
0,535.0,0.01778811700000915,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",200,0.2,200,0.2,0
1,801.0,0.06076553700000886,"[4 3 4 0 0 4 3 4 4 4 2 4 1 2 4 4 3 1 4 3 1 0 2 1 0 1 4 4 3 4 4 4 2 3 4 3 4
 4 0 1 3 3 3 2 3 3 4 2 2 2]",200,0.2,200,0.2,0
2,801.0,0.11305958500000202,"[4 3 4 0 0 4 3 4 4 4 2 4 1 2 4 4 3 1 4 3 1 0 2 1 0 1 4 4 3 4 4 4 2 3 4 3 4
 4 0 1 3 3 3 2 3 3 4 2 2 2]",200,0.2,200,0.2,0
4,817.0,0.21013140300001965,"[3 3 4 4 3 4 4 3 4 4 4 2 4 2 0 3 3 3 1 3 2 1 1 3 0 4 4 4 4 1 2 2 3 2 4 2 3
 3 2 2 0 4 4 2 2 3 0 2 4 3]",200,0.2,200,0.2,0
8,871.0,0.41009041099999877,"[2 0 2 3 3 4 4 1 4 4 3 4 4 1 1 2 3 4 4 2 1 1 2 3 2 4 4 3 4 0 2 3 4 4 3 2 3
 4 4 2 3 4 4 4 4 4 0 4 1 3]",200,0.2,200,0.2,0
16,942.0,0.8544555870000181,"[4 4 4 4 1 4 4 3 4 2 4 4 4 3 4 2 4 2 1 4 1 2 4 3 0 4 4 4 4 4 4 2 2 3 4 3 4
 3 4 4 3 2 3 3 4 0 3 4 4 3]",200,0.2,200,0.2,0
32,1007.0,1.6426435650000144,"[0 3 4 4 1 4 4 2 4 4 4 4 4 3 4 4 3 3 4 4 2 2 1 0 1 4 4 3 4 4 4 4 0 4 4 3 3
 3 4 4 0 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
64,1076.0,3.2477607940000155,"[4 4 4 4 4 4 3 0 4 4 4 4 4 3 4 4 4 4 4 4 4 1 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 1 4 4 0 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
128,1084.0,6.293540814000011,"[4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 3 4 0 1 4 4 0 4 4 4 4 3 4 4 4 4
 1 4 4 2 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
256,1084.0,12.120049882000018,"[4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 3 4 0 1 4 4 0 4 4 4 4 3 4 4 4 4
 1 4 4 2 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
512,1084.0,22.74356750000001,"[4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 3 4 0 1 4 4 0 4 4 4 4 3 4 4 4 4
 1 4 4 2 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
1024,1084.0,44.39045230700003,"[4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 3 4 0 1 4 4 0 4 4 4 4 3 4 4 4 4
 1 4 4 2 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
2048,1084.0,93.95518072700003,"[4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 3 4 0 1 4 4 0 4 4 4 4 3 4 4 4 4
 1 4 4 2 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
4096,1084.0,147.25052463100002,"[4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 3 4 0 1 4 4 0 4 4 4 4 3 4 4 4 4
 1 4 4 2 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
8192,1084.0,182.42469749100002,"[4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 3 4 0 1 4 4 0 4 4 4 4 3 4 4 4 4
 1 4 4 2 4 4 4 4 4 4 4 4 4]",200,0.2,200,0.2,0
0,535.0,0.008054010000023482,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",200,0.4,200,0.4,0
1,800.0,0.028244913000037286,"[2 3 1 4 0 4 0 3 4 4 1 2 4 4 4 1 4 1 2 4 4 1 4 0 3 3 4 3 4 1 2 3 0 3 4 2 4
 4 3 1 0 4 0 2 3 2 0 4 4 4]",200,0.4,200,0.4,0
2,800.0,0.048181137000028684,"[2 3 1 4 0 4 0 3 4 4 1 2 4 4 4 1 4 1 2 4 4 1 4 0 3 3 4 3 4 1 2 3 0 3 4 2 4
 4 3 1 0 4 0 2 3 2 0 4 4 4]",200,0.4,200,0.4,0
4,817.0,0.08800233300001992,"[1 3 4 1 2 3 3 3 4 2 2 2 3 1 0 4 4 1 3 4 1 4 3 3 4 4 4 4 4 2 4 1 0 2 4 3 2
 0 3 2 0 4 0 4 3 2 3 3 4 4]",200,0.4,200,0.4,0
8,851.0,0.16744586400000117,"[4 1 0 4 4 4 0 3 4 4 2 3 4 2 4 3 3 4 0 4 2 4 2 4 1 1 4 3 2 1 2 4 4 4 3 3 1
 4 3 2 0 4 2 4 3 3 4 4 4 4]",200,0.4,200,0.4,0
