Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters,run_number
0,0.0,0.10918399699999526,"[4, 0, 3, 3, 3]",2500,0.2,8192,0
1,93.0,0.43289573899999567,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
2,93.0,0.7895818359999964,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
4,93.0,1.5306794269999955,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
8,93.0,2.8379219599999956,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
16,93.0,5.686350401999995,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
32,93.0,11.119970328999997,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
64,93.0,22.043443320999998,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
128,93.0,42.483972585,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
256,93.0,83.056359802,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
512,93.0,160.159356831,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
1024,93.0,320.814101284,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
2048,93.0,639.320855801,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
4096,93.0,1318.462007736,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
8192,93.0,1617.658483468,"[4, 4, 4, 4, 1]",2500,0.2,8192,0
0,57.0,0.11632575900011943,"[3, 4, 0, 1, 3]",2500,0.2,8192,1
1,93.0,0.4439479069999379,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
2,93.0,0.7717833530000462,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
4,93.0,1.4579878439999447,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
8,93.0,2.6960512329999347,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
16,93.0,5.673757333999902,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
32,93.0,11.08876579999992,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
64,93.0,21.786720379999906,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
128,93.0,44.20727844599992,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
256,93.0,87.3426234179999,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
512,93.0,171.04984197199997,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
1024,93.0,346.21739638500003,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
2048,93.0,699.1691321220001,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
4096,93.0,1404.019571275,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
8192,93.0,1701.005886776,"[4, 4, 4, 4, 1]",2500,0.2,8192,1
0,28.0,0.09874901900002442,"[0, 0, 3, 2, 3]",2500,0.2,8192,2
1,93.0,0.3862355460000799,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
2,93.0,0.6824391750001269,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
4,93.0,1.2714367270000366,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
8,93.0,2.439967515999797,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
16,93.0,4.95815993899987,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
32,93.0,9.751136440999744,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
64,93.0,19.164936995000062,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
128,93.0,37.90622102499992,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
256,93.0,139.34668056300006,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
512,93.0,215.80561856899976,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
1024,93.0,373.3455765389999,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
2048,93.0,695.3956899519999,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
4096,93.0,1341.440995641,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
8192,93.0,1630.425503044,"[4, 4, 4, 4, 1]",2500,0.2,8192,2
0,21.0,0.14994863199990505,"[2, 0, 1, 3, 0]",2500,0.2,8192,3
1,91.0,0.47461018600006355,"[4, 4, 4, 3, 1]",2500,0.2,8192,3
2,93.0,0.8401742440000817,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
4,93.0,1.4592871450004168,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
8,93.0,2.7028120169998147,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
16,93.0,5.268508773000576,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
32,93.0,10.3963382740003,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
64,93.0,20.940800422000393,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
128,93.0,42.321215633000065,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
256,93.0,85.97335991300042,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
512,93.0,170.2586435990006,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
1024,93.0,346.83951277899996,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
2048,93.0,684.5363254849999,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
4096,93.0,1337.1066478410003,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
8192,93.0,1632.20002887,"[4, 4, 4, 4, 1]",2500,0.2,8192,3
0,20.0,0.11038806699980341,"[2, 1, 0, 0, 2]",2500,0.2,8192,4
1,93.0,0.4204045380001844,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
2,93.0,0.7394151779999447,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
4,93.0,1.4062581460002548,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
8,93.0,2.6060659889999442,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
16,93.0,5.318045250000068,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
32,93.0,11.582051174000298,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
64,93.0,22.53092886400009,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
128,93.0,44.155171899999914,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
256,93.0,87.51052306699967,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
512,93.0,173.14452951600015,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
1024,93.0,337.4728170110002,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
2048,93.0,640.5654973840001,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
4096,93.0,1210.0207645700002,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
8192,93.0,1462.4947413520003,"[4, 4, 4, 4, 1]",2500,0.2,8192,4
