Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate,run_number
0,535.0,0.11684450099999921,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",2500,0.2,2500,0.2,0
1,796.0,0.4797034449999984,"[4 3 1 1 3 4 2 3 4 4 1 2 4 3 4 3 4 1 2 4 4 1 4 0 0 3 4 3 4 1 2 2 3 0 4 2 3
 4 1 3 0 4 4 2 2 3 0 2 4 3]",2500,0.2,2500,0.2,0
2,814.0,0.7959728810000009,"[1 4 2 2 3 0 4 1 3 0 4 2 3 4 1 4 1 0 3 4 0 1 2 3 3 2 4 1 4 3 4 2 4 4 2 1 3
 4 3 0 4 4 3 4 4 4 0 3 4 4]",2500,0.2,2500,0.2,0
4,892.0,1.4109873190000002,"[2 3 2 4 3 1 0 1 4 2 2 3 1 4 4 4 4 0 2 4 2 4 4 3 3 3 4 3 3 4 1 3 4 1 4 4 4
 4 1 3 2 4 4 4 3 4 1 4 4 4]",2500,0.2,2500,0.2,0
8,911.0,2.664541262,"[2 4 0 4 4 2 0 2 2 4 4 4 4 1 4 4 3 0 2 3 4 4 2 1 2 3 4 0 4 2 3 4 3 3 4 4 3
 1 4 3 3 4 2 4 4 4 1 3 3 3]",2500,0.2,2500,0.2,0
16,978.0,5.281857330000001,"[2 4 4 3 4 4 1 1 4 4 3 4 4 4 4 4 4 0 2 4 3 0 4 2 4 4 4 3 3 1 3 3 3 4 4 4 4
 3 3 1 3 4 4 4 3 3 4 2 4 3]",2500,0.2,2500,0.2,0
32,1054.0,10.596761733000001,"[3 4 4 4 4 4 4 2 4 4 4 4 4 3 4 4 4 2 4 4 4 2 3 0 0 4 4 4 4 4 4 4 0 4 4 4 4
 0 4 4 1 3 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
64,1081.0,21.208922418999997,"[4 4 4 4 4 4 4 0 4 4 4 4 4 3 4 4 4 0 4 4 4 1 4 0 4 4 4 0 4 4 4 4 3 4 4 4 4
 0 4 4 1 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
128,1085.0,41.173692212,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 0 4 4 3 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
256,1085.0,78.84358759,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 0 4 4 3 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
512,1085.0,156.33589222799998,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 0 4 4 3 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
1024,1085.0,317.012387182,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 0 4 4 3 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
2048,1085.0,627.6232649059999,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 0 4 4 3 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
4096,1085.0,1270.876348596,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 0 4 4 3 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
8192,1085.0,1576.086175922,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 4 4 4 0 4 4 4 4 0 4 4 4 4
 0 4 4 3 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,0
0,587.0,0.10554169000010916,"[3 4 0 1 3 0 0 1 4 4 1 2 4 2 4 3 4 2 4 2 4 1 1 0 1 1 1 1 0 4 1 0 0 3 2 1 0
 3 1 1 3 4 0 1 3 4 2 4 0 3]",2500,0.2,2500,0.2,1
1,845.0,0.4123315019999154,"[2 4 4 2 3 4 0 1 4 4 3 4 1 1 4 4 4 0 4 2 3 3 4 4 1 2 4 0 2 1 4 3 3 4 2 4 4
 0 2 3 0 4 3 3 1 2 2 4 4 3]",2500,0.2,2500,0.2,1
2,845.0,0.7362665109999398,"[2 4 4 2 3 4 0 1 4 4 3 4 1 1 4 4 4 0 4 2 3 3 4 4 1 2 4 0 2 1 4 3 3 4 2 4 4
 0 2 3 0 4 3 3 1 2 2 4 4 3]",2500,0.2,2500,0.2,1
4,845.0,1.3818409600000905,"[2 4 4 2 3 4 0 1 4 4 3 4 1 1 4 4 4 0 4 2 3 3 4 4 1 2 4 0 2 1 4 3 3 4 2 4 4
 0 2 3 0 4 3 3 1 2 2 4 4 3]",2500,0.2,2500,0.2,1
8,899.0,2.6774873849999494,"[2 4 1 3 1 4 0 1 2 4 2 0 4 2 2 4 4 3 4 3 3 4 4 2 1 4 3 1 3 2 4 3 4 4 4 4 4
 3 4 2 2 4 0 4 4 4 4 4 3 3]",2500,0.2,2500,0.2,1
16,982.0,5.661022626999966,"[4 3 4 1 4 4 4 1 4 4 4 4 3 3 4 3 4 3 4 2 4 4 4 0 4 4 4 0 4 3 3 4 3 4 4 4 4
 0 0 4 0 4 4 4 3 3 3 4 2 4]",2500,0.2,2500,0.2,1
32,1051.0,10.681029118999959,"[4 4 3 4 4 4 4 0 4 4 3 4 3 3 4 4 4 3 4 4 4 0 4 0 1 4 4 1 4 4 4 0 2 4 4 4 4
 3 4 4 4 4 3 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
64,1080.0,20.944147509000004,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 3 4 4 0 4 0 3 4 4 0 4 4 4 4 3 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
128,1085.0,41.099919567999905,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 2 4 4 0 4 4 4 4 1 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
256,1085.0,79.91911811599994,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 2 4 4 0 4 4 4 4 1 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
512,1085.0,157.00079419200006,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 2 4 4 0 4 4 4 4 1 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
1024,1085.0,315.217349945,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 2 4 4 0 4 4 4 4 1 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
2048,1085.0,635.0434707909999,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 2 4 4 0 4 4 4 4 1 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
4096,1085.0,1246.3925116290002,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 2 4 4 0 4 4 4 4 1 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
8192,1085.0,1530.985151579,"[3 4 4 4 4 4 4 0 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 0 2 4 4 0 4 4 4 4 1 4 4 4 4
 0 4 4 4 4 4 4 4 4 4 4 4 4]",2500,0.2,2500,0.2,1
0,550.0,0.0972208079997472,"[0 0 3 2 3 0 2 1 3 2 4 4 4 3 4 2 3 3 2 1 2 4 3 0 4 3 1 2 0 4 4 2 4 2 1 0 2
 2 1 0 1 0 2 1 1 1 4 2 3 0]",2500,0.2,2500,0.2,2
1,827.0,0.3982023099997605,"[4 4 3 3 4 4 4 0 3 2 4 0 3 3 3 2 4 2 4 3 4 3 1 1 4 4 3 3 4 4 3 2 2 4 3 4 2
 1 0 4 3 0 3 3 0 4 4 3 2 4]",2500,0.2,2500,0.2,2
2,827.0,0.6929985719998513,"[4 4 3 3 4 4 4 0 3 2 4 0 3 3 3 2 4 2 4 3 4 3 1 1 4 4 3 3 4 4 3 2 2 4 3 4 2
 1 0 4 3 0 3 3 0 4 4 3 2 4]",2500,0.2,2500,0.2,2
4,841.0,1.2904581129996586,"[3 0 1 3 4 3 1 1 1 4 4 3 3 3 3 4 4 3 3 4 0 1 0 3 4 3 4 3 4 1 4 4 0 4 3 3 3
 0 4 4 3 4 0 3 3 3 3 3 1 4]",2500,0.2,2500,0.2,2
8,910.0,2.46615011699987,"[2 4 4 3 2 4 4 1 3 4 3 4 0 3 4 0 4 0 1 3 2 3 1 4 3 4 4 3 4 4 3 1 2 3 4 4 4
 4 1 4 1 4 4 4 3 4 4 4 3 3]",2500,0.2,2500,0.2,2
