Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters,run_number
0,0.0,0.09285513900000097,"[0, 1, 1, 0, 1]",2500,0.2,8192,0
1,8.0,0.42057035399999876,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
2,8.0,0.7105872459999958,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
4,8.0,1.2751875569999953,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
8,8.0,2.299448088999995,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
16,8.0,4.368755359999994,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
32,8.0,8.547151790999997,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
64,8.0,16.837336846999996,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
128,8.0,32.997345044999996,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
256,8.0,65.16386382900001,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
512,8.0,127.087043634,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
1024,8.0,252.24255923299998,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
2048,8.0,496.63357718900005,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
4096,8.0,1017.936138453,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
8192,8.0,1264.861628594,"[1, 1, 1, 0, 0]",2500,0.2,8192,0
0,2.0,0.06354769499989743,"[1, 1, 0, 0, 1]",2500,0.2,8192,1
1,8.0,0.3132283049999387,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
2,8.0,0.566473508999934,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
4,8.0,1.0678267559999313,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
8,8.0,2.0913226989998748,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
16,8.0,4.195549558999801,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
32,8.0,8.435777723000001,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
64,8.0,17.478112472999783,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
128,8.0,34.38363113899982,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
256,8.0,67.13521973599995,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
512,8.0,132.7708550929999,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
1024,8.0,277.6049918619999,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
2048,8.0,569.5042831609999,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
4096,8.0,1168.2172883239998,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
8192,8.0,1430.562303501,"[1, 1, 0, 0, 0]",2500,0.2,8192,1
0,2.0,0.06846636299997044,"[0, 1, 1, 0, 0]",2500,0.2,8192,2
1,8.0,0.3423867800001972,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
2,8.0,0.6177472479998869,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
4,8.0,1.1743686300001173,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
8,8.0,2.306847860000289,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
16,8.0,4.529197630999988,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
32,8.0,8.99410211400027,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
64,8.0,18.087117452000257,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
128,8.0,36.46351093000021,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
256,8.0,75.7275417400001,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
512,8.0,146.65855490600006,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
1024,8.0,311.2236125540003,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
2048,8.0,616.4196429580002,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
4096,8.0,1235.203263458,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
8192,8.0,1504.2852287359997,"[1, 1, 0, 0, 0]",2500,0.2,8192,2
0,1.0,0.06354877299963846,"[0, 0, 1, 1, 0]",2500,0.2,8192,3
1,8.0,0.3164331680000032,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
2,8.0,0.5603748539997468,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
4,8.0,1.052136944999802,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
8,8.0,2.0454665899997053,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
16,8.0,4.14081263099979,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
32,8.0,8.896516344999327,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
64,8.0,17.205029812999783,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
128,8.0,33.828782312999465,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
256,8.0,67.6198415709996,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
512,8.0,140.17602448199978,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
1024,8.0,335.92248817199925,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
2048,8.0,616.9147266269993,"[1, 1, 0, 0, 0]",2500,0.2,8192,3
