Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate,run_number
0,5525.030464727642,0.052679526000019905,"[28 11 10 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25  5 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",200,0.2,200,0.2,0
1,4934.856039044712,0.13565737999999783,"[38 40  1 25  2 28  8 32 43 22 24 23 15 47 21  7 33 12 19  9 37 17 16 34
 18 26  5 11 20 46 31 35 48 29 10  0 13 45 36 39  3 41  6 44  4 49 30 42
 14 27]",200,0.2,200,0.2,0
2,4683.452724891698,0.21200623699996868,"[ 1 31 38 21 28 23 15 22  8  6 18 32  2 41 36 35 12 47 13 46 45 10 17 24
  9 29  4  7 37 43 48 42 26 14 39  5  3  0 33 19 11 34 30 44 20 27 40 49
 16 25]",200,0.2,200,0.2,0
4,4682.946758339927,0.35613959800002704,"[38 40  1 25  2 28  8 32 43 22 24 23 15 47 21  7 33 12 19  9 13 17 16 34
 18 36  5 11 20  4 10  6 35 41 31  3 46 30  0 45 26 37 49 48 42 27 29 39
 14 44]",200,0.2,200,0.2,0
8,4556.474634419397,0.6579475739999907,"[40 38  1 25  2 28  8 32 43 22 24 23 15 47 21  7 33 12  3  9 13 17 16 34
 18 36  5 11 20  4 10  6 35 41 31 19 46 30  0 45 26 37 49 48 42 27 29 14
 44 39]",200,0.2,200,0.2,0
16,4383.086358523413,1.1807871820000173,"[38 40  1 25 20 28  8 32 43 22 24 23 15 47 21  7 33 12 19  9 13 17 16 34
 18 36  5 11  2  4 30  6 35 41 49 39 29 37 44 48 10 46 45  0 31 42 26 14
 27  3]",200,0.2,200,0.2,0
32,4079.461207956624,2.2944651699999667,"[39 12 40  1 25  2 28  8 32 36 22 24 23 15 47 21 37 33 19  9 13 17 16 34
 18 43  5 11 20 29 35 26  6  4 41 14 38  3 48 10 31 46 45  7 42  0 30 44
 49 27]",200,0.2,200,0.2,0
64,3727.3966112284584,4.47020218900002,"[38 11 39 12 40  1 26  2 28  8 32 34 29 43 22 24 23 15 47 21 44 37 33 19
 30  0 17 16 18 36  5 20 49 35  6  7 41  4 14 25 13 48 46 31 45 42 10  9
 27  3]",200,0.2,200,0.2,0
128,3354.8333660650833,8.667306834999977,"[38  5 39 12 11 46 40  1 26  2 28 44 32 34  4 43 22 24 23 15 47 21  8 37
 33 14 30  0 17 16 18 29 36 20 49 35  6  7 41 19 25 10 13 48 31 45 42  9
 27  3]",200,0.2,200,0.2,0
256,3018.3726488342636,17.497229145000006,"[38  5 39 12 11 46 25 27 40  1  9 26  8 28  2 44 32 34 29 43 36 24 23 15
 10 37 30 21 33 19  0 17 16 18 22 20 49 35  6  4  7 41 14 42 45 48 13 47
 31  3]",200,0.2,200,0.2,0
512,2531.304419705617,35.53759730399997,"[38 40  5 27 39 12 11 46 25 19  9 26  8 28  2  6 32 34 29 35 36 24  7 42
 47 10 37 30 21 33  1  0 17 23 16 18 22 20 49 43 44  4 41 14 15 45 13 48
 31  3]",200,0.2,200,0.2,0
1024,2196.7222999544283,70.99376423599995,"[38  5 11 39 12 27 40 25 46 19  9  1 26  8 28  2  6 32 34 18 16 29 35 36
 24  7 42 47 10 37 30 21 14  0 17 23 22 20 49  4 44 43 41 33 13 45 15 48
 31  3]",200,0.2,200,0.2,0
2048,1890.9882118131486,134.78044694300002,"[38  5 11 39 12 27 40 25 46 19  9  1  8 26 28  2  6 32 18 34 16 29 35 36
 24 21  0 33 13 45 10 37 30  7 17 23 41 20 49 22 44  4 43 14 42 47 48 15
 31  3]",200,0.2,200,0.2,0
4096,1771.8259155629414,268.375113006,"[31  3 38  5 11 27 12 39 40 25 46  9  1  0  8 26  7  2  6 32 18 34 16 29
 36 24 35 28 33 13 45 10 37 30 17 23 21 41 49 20 22 44  4 43 14 48 47 42
 15 19]",200,0.2,200,0.2,0
8192,1760.7672868703924,530.3165586399999,"[31  3 38  5 11 27 12 39 40 46 25  9  1  8  0 26  7  2  6 32 18 34 16 29
 36 24 35 28 33 13 45 10 37 30 17 23 43 41 49 20 22 44  4 21 14 42 48 47
 15 19]",200,0.2,200,0.2,0
0,5525.030464727642,0.028826486000070872,"[28 11 10 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25  5 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",200,0.4,200,0.4,0
1,4934.856039044712,0.08991517799995563,"[38 40  1 25  2 28  8 32 43 22 24 23 15 47 21  7 33 12 19  9 37 17 16 34
 18 26  5 11 20 46 31 35 48 29 10  0 13 45 36 39  3 41  6 44  4 49 30 42
 14 27]",200,0.4,200,0.4,0
2,4934.856039044712,0.1511418949999097,"[38 40  1 25  2 28  8 32 43 22 24 23 15 47 21  7 33 12 19  9 37 17 16 34
 18 26  5 11 20 46 31 35 48 29 10  0 13 45 36 39  3 41  6 44  4 49 30 42
 14 27]",200,0.4,200,0.4,0
4,4767.486823268601,0.2747696649998943,"[49 18 17 25 30  6 16 29  4 36 37  5 46 38 48 27 14 33  9 41 44 12 22 20
 43  2 35 24 19 26 40  7  0 45  8 15 21 11 39 42 31  3 47 28 32  1 23 34
 13 10]",200,0.4,200,0.4,0
8,4531.287223745152,0.5232939360000728,"[15 13 33 41 18 17 25 30  6 16 29  4 36 37  5 46 38 48 27 14  9 49 44 12
 22 20 43  2 35 24 19 26 40  7  0 45  8 21 11 39 42 31  3 47 28 32 23 34
  1 10]",200,0.4,200,0.4,0
16,4460.383386373667,1.006516290000036,"[39 27  3 46  2 36 23 37 45 21  7 28 13 15 31  8  0  9 11 18 16 49 43 34
 32 41 29 30  1 17  5 25 19 12 42 48 14 38 40  6  4 22 24 44 35 26 33 10
 47 20]",200,0.4,200,0.4,0
32,4041.640318530129,2.001196784000058,"[25 27  3 39 49 18 17 30  6 16 29  4 36 20  5 46 38 48 14 23 21  2 37 32
 11  7 28 47 15  9 41 44 12 22 43 35 24 19 45 13 31  8  0 34 26  1 40 33
 10 42]",200,0.4,200,0.4,0
64,3639.73449487057,4.000316203000011,"[49 27  3 46 25 39 18 17 30  6 16 12 38 40  1 11  0 36 23 37 26 21  7 28
 47 15  9 13 33 45 10 42 48 29  8  2 41  4 44 43 24  5 19 31 14 35 32 34
 22 20]",200,0.4,200,0.4,0
128,3043.939586666846,8.004113441000072,"[49 12 40 39 27  5 46 25  3 38 11 10  1  8 33 18  6 30 17 16 29  4 36  0
 14 23  2 37  7 45 26 21 28 47 15  9 13 42 48 41 44 43 24 19 31 35 32 34
 22 20]",200,0.4,200,0.4,0
256,2524.1293516800292,15.953780307999978,"[49 39 12 40 27  5 46 25  3 38 11 10  1  8 33 18  6 30 17 16 29  4 36 23
 14  0  2 37 26  7 28 21 45 47 15  9 13 42 48 31 19 41 44 43 24 35 34 32
 22 20]",200,0.4,200,0.4,0
512,2372.660374789142,32.30435794999994,"[20 49 39 12 27 40  5 25 46  3 38 11  8  1 10 33 26  0 18  6 30 28 16 29
  4 36 17 23  2 37  7 14 21 45 47 13  9 15 42 48 31 19 41 44 43 24 35 34
 32 22]",200,0.4,200,0.4,0
1024,2037.1928013174354,64.19750097699989,"[20 49 39 12 27 40 25 46 38  3  5 11  0  8  1 10 33 26 30 37  6 18 32 16
 29  4 36  2 28 23 17  7 14 21  9 42 15 45 13 47 48 31 19 41 43 24 35 34
 44 22]",200,0.4,200,0.4,0
2048,1880.8894021292836,131.21558023300008,"[20 49 39 12 27 40 25 46 38  3  5 11  1  8  0 10 33 26 30 37  6 32 18 16
 34 29  4 36 23 28  2 17  7 21 14  9 42 48 47 45 13 15 19 31 41 43 24 35
 44 22]",200,0.4,200,0.4,0
4096,1725.981210062028,283.4216730149999,"[22 20 49 39 12 27 40 25 46  3 38  5 11  1  8  0 26 33 10 37 30  6 32 18
 34 16 29 35 24 23  2 28 17  7 21 14  9 42 47 48 45 13 15 19 31 41 43 36
  4 44]",200,0.4,200,0.4,0
8192,1695.0048433883087,584.8491209209999,"[22 20 49 39 12 27 40 25 46  3 38  5 11  1  8  0 26 33 10 37 30  6 32 18
 34 16 29 35 24 23  2 28 17  7 21 14  9 31 19 15 42 47 48 45 13 41 43 36
  4 44]",200,0.4,200,0.4,0
0,5525.030464727642,0.08630830600009176,"[28 11 10 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25  5 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",400,0.2,400,0.2,0
1,4934.856039044712,0.2805571870001131,"[38 40  1 25  2 28  8 32 43 22 24 23 15 47 21  7 33 12 19  9 37 17 16 34
 18 26  5 11 20 46 31 35 48 29 10  0 13 45 36 39  3 41  6 44  4 49 30 42
 14 27]",400,0.2,400,0.2,0
2,4905.465543203866,0.45455511000000115,"[10  8 48  0 44 40 13 31  3 41  9 35  6 30 39 17 47  1 14 34 15 19  2 45
 21 36 33 28 18 22 23 26 46 16 29 24  4 25 38 27  5 11  7 32 49 20 12 37
 43 42]",400,0.2,400,0.2,0
4,4807.31158633315,0.8459227430000738,"[48 47  8  1 42 39 26 22  7 13 28 17  4 49 21 27 41 12 31 15  6 30 23 14
 45 40 43 35 25 32  0  2 37 36 20 16 11  3  5 33 10  9 19 46 38 34 29 18
 24 44]",400,0.2,400,0.2,0
8,4543.111977847017,1.6211951180000597,"[ 8  1 42 39 26 13  7 22 28 17  4 49 46 27 41 12 31 15  6 30 23 14 45 40
 21  9 25  3  2 44 37 33 48 19 10 24 34 43 36 29 18 35 16 32 20  0 11 38
 47  5]",400,0.2,400,0.2,0
16,4140.964960791316,3.137989538000056,"[46  3 38 40  1  2 28  8 32 43 22 24 23 15 47 21  4 33 12 19  9 37 17 16
 34 18 29 36 42 13 14 30  7  6 26  0 41 44 20  5 48 10 35 45 49 31 25 39
 27 11]",400,0.2,400,0.2,0
32,3912.9652563573345,5.793010095999989,"[ 9 38  3 46 28  2  4 21  1 25 39 37 32 43 22 24 23 15 47 48 33 19  8 17
 16 18 34 29  7 30  6 44 36  5 11 27 31 12 42 45 10 14 20 49 35 41  0 13
 40 26]",400,0.2,400,0.2,0
64,3373.8091459194898,11.378271150000046,"[46  3 38 40 45  2 28 24 36 32 34  1 31 19  5 44  4 12 27 49 20 39 35 21
 25  9  0  8 41 17 33 10 47 15  6 43 22 23 37 16 18 29 30  7 48 42 13 14
 26 11]",400,0.2,400,0.2,0
128,2980.435915116344,21.247904868000205,"[48 47  8  1  9 46  3 38 31 11 40  2 28 34 29 43 24 36 41 12 19  5 27 22
 20 39 35 23  0 45 44  4 49 25 21 33 37 17 16 18 32  6 30 10  7 14 26 13
 15 42]",400,0.2,400,0.2,0
256,2692.76765300099,39.618398122000144,"[48 47  9  8  1 46  3 38 40 11 12 35 28 44  4 32 34 43 24 17  0  2 10 31
 19  5 27 25 33 14 22 20 49 39 41 21 23 37 36 16 18 29 30  6  7 26 13 45
 15 42]",400,0.2,400,0.2,0
