Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate,run_number
0,0.41123449312693866,0.30962246600000043,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],2500,0.2,2500,0.2,0
1,0.6348948881434062,1.0325534750000003,[19  5 16 18  0  7  2  6 12 14  9  1  4 15 17 10 13  8  3 11],2500,0.2,2500,0.2,0
2,0.6348948881434062,1.6652018700000006,[19  5 16 18  0  7  2  6 12 14  9  1  4 15 17 10 13  8  3 11],2500,0.2,2500,0.2,0
4,0.6348948881434062,3.055016502000001,[19  5 16 18  0  7  2  6 12 14  9  1  4 15 17 10 13  8  3 11],2500,0.2,2500,0.2,0
8,0.651604935206958,5.819237262999998,[ 9  8 14 12  3 11  5  7  0 18  4 13  6 16  2  1 15 19 10 17],2500,0.2,2500,0.2,0
16,0.705401287738461,10.276135304,[ 4  8 12  3  1  0  7 18 19 11  5  9 15 14 17  6 10  2 13 16],2500,0.2,2500,0.2,0
32,0.7562138196292666,18.137914627999997,[ 7  0 18  6 16 14  4 13  2  8 17 10  9 15  1 12  3  5 19 11],2500,0.2,2500,0.2,0
64,0.9085584138487022,34.666478811,[ 6  2  7 18  0 19 11  5  3 12  1  9  4  8 14 13 15 17 10 16],2500,0.2,2500,0.2,0
128,1.007362195039991,67.813664331,[16  6  2 18  7  0 19 11  5  3 12  9 14  8  4 15  1 13 17 10],2500,0.2,2500,0.2,0
256,1.037090476203483,128.73512481900002,[17 10 16  6  2 18  7  0 19 11  5  3 12  9 14 15  1 13  4  8],2500,0.2,2500,0.2,0
512,1.0447379543093827,248.39080952,[ 1 13  4  8 17 10 16  6  2 18  7  0 19 11  5  3 12 14  9 15],2500,0.2,2500,0.2,0
1024,1.0447379543093827,495.111478831,[ 1 13  4  8 17 10 16  6  2 18  7  0 19 11  5  3 12 14  9 15],2500,0.2,2500,0.2,0
2048,1.0447379543093827,1022.991263833,[ 1 13  4  8 17 10 16  6  2 18  7  0 19 11  5  3 12 14  9 15],2500,0.2,2500,0.2,0
