Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters,run_number
0,3.2018159293929243,0.22156443699999784,"[2, 1, 0]",2500,0.2,4096,0
1,3.2018159293929243,0.5569764350000028,"[2, 1, 0]",2500,0.2,4096,0
2,3.2018159293929243,0.8682589109999981,"[2, 1, 0]",2500,0.2,4096,0
4,3.2018159293929243,1.4766988060000017,"[2, 1, 0]",2500,0.2,4096,0
8,3.2018159293929243,2.7074118510000034,"[2, 1, 0]",2500,0.2,4096,0
16,3.2018159293929243,5.297959466999998,"[2, 1, 0]",2500,0.2,4096,0
32,3.2018159293929243,10.306620067000004,"[2, 1, 0]",2500,0.2,4096,0
64,3.2018159293929243,20.298651017000005,"[2, 1, 0]",2500,0.2,4096,0
128,3.2018159293929243,40.942636404000005,"[2, 1, 0]",2500,0.2,4096,0
256,3.2018159293929243,81.15173866399999,"[2, 1, 0]",2500,0.2,4096,0
512,3.2018159293929243,167.925605529,"[2, 1, 0]",2500,0.2,4096,0
1024,3.2018159293929243,344.925337006,"[2, 1, 0]",2500,0.2,4096,0
2048,3.2018159293929243,691.91171536,"[2, 1, 0]",2500,0.2,4096,0
4096,3.2018159293929243,1434.5634758499998,"[2, 1, 0]",2500,0.2,4096,0
0,3.2018159293929243,0.23869968000008157,"[0, 2, 1]",2500,0.2,4096,1
1,3.2018159293929243,0.5954994640001132,"[0, 2, 1]",2500,0.2,4096,1
2,3.2018159293929243,0.9632158890001392,"[0, 2, 1]",2500,0.2,4096,1
4,3.2018159293929243,1.6735946890000832,"[0, 2, 1]",2500,0.2,4096,1
8,3.2018159293929243,3.179629456000157,"[0, 2, 1]",2500,0.2,4096,1
16,3.2018159293929243,6.109497596999972,"[0, 2, 1]",2500,0.2,4096,1
32,3.2018159293929243,11.829280283000116,"[0, 2, 1]",2500,0.2,4096,1
64,3.2018159293929243,24.001272353000104,"[0, 2, 1]",2500,0.2,4096,1
128,3.2018159293929243,48.638116868,"[0, 2, 1]",2500,0.2,4096,1
256,3.2018159293929243,95.81926220700007,"[0, 2, 1]",2500,0.2,4096,1
512,3.2018159293929243,188.9104697780001,"[0, 2, 1]",2500,0.2,4096,1
1024,3.2018159293929243,374.7027470590001,"[0, 2, 1]",2500,0.2,4096,1
2048,3.2018159293929243,762.0253525370001,"[0, 2, 1]",2500,0.2,4096,1
4096,3.2018159293929243,1532.2790186979998,"[0, 2, 1]",2500,0.2,4096,1
0,3.2018159293929243,0.24396901199997956,"[2, 1, 0]",2500,0.2,4096,2
1,3.2018159293929243,0.6133887070000128,"[2, 1, 0]",2500,0.2,4096,2
2,3.2018159293929243,0.9829924769996978,"[2, 1, 0]",2500,0.2,4096,2
4,3.2018159293929243,1.7168501279998054,"[2, 1, 0]",2500,0.2,4096,2
8,3.2018159293929243,3.191315614999894,"[2, 1, 0]",2500,0.2,4096,2
16,3.2018159293929243,6.327339901999949,"[2, 1, 0]",2500,0.2,4096,2
32,3.2018159293929243,13.196586943000057,"[2, 1, 0]",2500,0.2,4096,2
64,3.2018159293929243,25.406206630999804,"[2, 1, 0]",2500,0.2,4096,2
128,3.2018159293929243,49.385385821,"[2, 1, 0]",2500,0.2,4096,2
256,3.2018159293929243,99.09942086399997,"[2, 1, 0]",2500,0.2,4096,2
512,3.2018159293929243,198.11972009300007,"[2, 1, 0]",2500,0.2,4096,2
1024,3.2018159293929243,391.12901488199986,"[2, 1, 0]",2500,0.2,4096,2
2048,3.2018159293929243,797.846509426,"[2, 1, 0]",2500,0.2,4096,2
4096,3.2018159293929243,1507.38606231,"[2, 1, 0]",2500,0.2,4096,2
0,3.2018159293929243,0.20685373900050763,"[1, 0, 2]",2500,0.2,4096,3
1,3.2018159293929243,0.5295207970002593,"[1, 0, 2]",2500,0.2,4096,3
2,3.2018159293929243,0.8690311800000927,"[1, 0, 2]",2500,0.2,4096,3
4,3.2018159293929243,1.5101042490005057,"[1, 0, 2]",2500,0.2,4096,3
8,3.2018159293929243,2.807083849999799,"[1, 0, 2]",2500,0.2,4096,3
16,3.2018159293929243,5.387409349000336,"[1, 0, 2]",2500,0.2,4096,3
32,3.2018159293929243,10.576009622999663,"[1, 0, 2]",2500,0.2,4096,3
64,3.2018159293929243,20.91314283599968,"[1, 0, 2]",2500,0.2,4096,3
128,3.2018159293929243,44.10678803799965,"[1, 0, 2]",2500,0.2,4096,3
256,3.2018159293929243,88.85446055900047,"[1, 0, 2]",2500,0.2,4096,3
512,3.2018159293929243,175.45283958799973,"[1, 0, 2]",2500,0.2,4096,3
1024,3.2018159293929243,353.01726685300036,"[1, 0, 2]",2500,0.2,4096,3
2048,3.2018159293929243,713.4662685599997,"[1, 0, 2]",2500,0.2,4096,3
4096,3.2018159293929243,1459.6974139029999,"[1, 0, 2]",2500,0.2,4096,3
0,3.2018159293929243,0.28568223800084525,"[1, 0, 2]",2500,0.2,4096,4
1,3.2018159293929243,0.6298201080007857,"[1, 0, 2]",2500,0.2,4096,4
2,3.2018159293929243,0.9696964370004935,"[1, 0, 2]",2500,0.2,4096,4
4,3.2018159293929243,1.712805858000138,"[1, 0, 2]",2500,0.2,4096,4
8,3.2018159293929243,3.370094016000621,"[1, 0, 2]",2500,0.2,4096,4
16,3.2018159293929243,6.271181609999985,"[1, 0, 2]",2500,0.2,4096,4
32,3.2018159293929243,11.394633700000668,"[1, 0, 2]",2500,0.2,4096,4
64,3.2018159293929243,22.07756676000008,"[1, 0, 2]",2500,0.2,4096,4
128,3.2018159293929243,43.387573403000715,"[1, 0, 2]",2500,0.2,4096,4
256,3.2018159293929243,87.00895675100037,"[1, 0, 2]",2500,0.2,4096,4
512,3.2018159293929243,171.88314356900082,"[1, 0, 2]",2500,0.2,4096,4
1024,3.2018159293929243,353.0606513370003,"[1, 0, 2]",2500,0.2,4096,4
2048,3.2018159293929243,721.0650998680003,"[1, 0, 2]",2500,0.2,4096,4
4096,3.2018159293929243,1434.7582705640007,"[1, 0, 2]",2500,0.2,4096,4
