Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent,run_number
0,535.0,0.008695421001903014,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",200,0.2,200,0.2,0
1,800.0,1.1327724310031044,"[4. 3. 4. 2. 3. 2. 0. 3. 4. 3. 2. 4. 1. 3. 4. 1. 4. 3. 3. 4. 4. 0. 4. 1.
 3. 3. 4. 0. 3. 2. 3. 4. 4. 1. 3. 3. 2. 3. 2. 1. 4. 4. 0. 3. 3. 3. 3. 4.
 2. 2.]",200,0.2,200,0.2,0
2,889.0,2.2157731290026277,"[3. 2. 2. 2. 4. 4. 4. 3. 4. 2. 4. 0. 4. 2. 1. 2. 4. 0. 4. 4. 0. 0. 2. 0.
 4. 4. 4. 4. 4. 3. 2. 0. 2. 3. 4. 4. 4. 2. 4. 3. 2. 3. 4. 4. 3. 4. 4. 3.
 4. 2.]",200,0.2,200,0.2,0
4,941.0,4.455928913001117,"[3. 4. 1. 2. 0. 4. 2. 0. 4. 1. 4. 4. 4. 2. 4. 2. 4. 3. 3. 4. 3. 3. 3. 2.
 3. 4. 3. 4. 3. 4. 2. 2. 2. 3. 4. 4. 4. 4. 3. 2. 4. 3. 4. 4. 3. 3. 3. 4.
 4. 4.]",200,0.2,200,0.2,0
8,1009.0,8.853931469002418,"[3. 4. 3. 4. 4. 4. 2. 3. 4. 4. 4. 4. 4. 2. 4. 2. 4. 1. 4. 4. 3. 4. 3. 0.
 0. 4. 4. 4. 4. 4. 4. 1. 0. 2. 4. 4. 4. 4. 4. 2. 1. 4. 3. 4. 4. 4. 4. 4.
 4. 4.]",200,0.2,200,0.2,0
16,1037.0,16.99823650500184,"[3. 4. 3. 4. 4. 4. 2. 0. 4. 4. 4. 4. 4. 4. 4. 2. 4. 0. 4. 4. 4. 4. 3. 1.
 4. 4. 4. 3. 4. 4. 4. 1. 0. 2. 4. 4. 4. 4. 3. 4. 1. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",200,0.2,200,0.2,0
32,1037.0,33.415537477001635,"[3. 4. 3. 4. 4. 4. 2. 0. 4. 4. 4. 4. 4. 4. 4. 2. 4. 0. 4. 4. 4. 4. 3. 1.
 4. 4. 4. 3. 4. 4. 4. 1. 0. 2. 4. 4. 4. 4. 3. 4. 1. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",200,0.2,200,0.2,0
64,1037.0,66.26215332799984,"[3. 4. 3. 4. 4. 4. 2. 0. 4. 4. 4. 4. 4. 4. 4. 2. 4. 0. 4. 4. 4. 4. 3. 1.
 4. 4. 4. 3. 4. 4. 4. 1. 0. 2. 4. 4. 4. 4. 3. 4. 1. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",200,0.2,200,0.2,0
128,1037.0,131.69773040099972,"[3. 4. 3. 4. 4. 4. 2. 0. 4. 4. 4. 4. 4. 4. 4. 2. 4. 0. 4. 4. 4. 4. 3. 1.
 4. 4. 4. 3. 4. 4. 4. 1. 0. 2. 4. 4. 4. 4. 3. 4. 1. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",200,0.2,200,0.2,0
256,1037.0,262.61188900800335,"[3. 4. 3. 4. 4. 4. 2. 0. 4. 4. 4. 4. 4. 4. 4. 2. 4. 0. 4. 4. 4. 4. 3. 1.
 4. 4. 4. 3. 4. 4. 4. 1. 0. 2. 4. 4. 4. 4. 3. 4. 1. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",200,0.2,200,0.2,0
