Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,run_number
0,0.0,0.11857269599931897,"[4, 0, 3, 3, 3]",False,3000,0.2,8192,0
1,93.0,0.17813148899949738,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
2,93.0,0.2361508979993232,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
4,93.0,0.3409419429999616,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
8,93.0,0.5532296129995302,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
16,93.0,0.9797935299993696,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
32,93.0,1.8882192040000518,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
64,93.0,3.628914905999409,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
128,93.0,7.104433236999284,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
256,93.0,14.0812950669997,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
512,93.0,27.59963012499975,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
1024,93.0,57.32656706599937,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
2048,93.0,113.24458099399999,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
4096,93.0,221.50953238799957,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
8192,93.0,271.34347142299885,"[4.0, 4.0, 4.0, 4.0, 1.0]",False,3000,0.2,8192,0
