Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent,run_number
0,535.0,0.1330218610000884,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",3000,0.2,3000,0.2,0
1,878.0,1.387415754000358,"[0. 4. 4. 4. 3. 3. 3. 3. 4. 4. 4. 3. 2. 0. 4. 1. 4. 4. 3. 3. 4. 3. 1. 4.
 3. 4. 2. 0. 4. 3. 3. 0. 3. 0. 2. 4. 3. 3. 2. 4. 4. 4. 4. 4. 3. 4. 1. 4.
 1. 4.]",3000,0.2,3000,0.2,0
2,923.0,2.59865548200014,"[4. 2. 4. 2. 3. 4. 4. 4. 4. 4. 4. 0. 2. 3. 4. 4. 4. 1. 3. 1. 4. 0. 1. 3.
 4. 4. 4. 4. 4. 2. 4. 3. 0. 3. 4. 4. 4. 0. 3. 2. 3. 4. 4. 4. 4. 2. 4. 3.
 3. 4.]",3000,0.2,3000,0.2,0
4,970.0,4.981054507999943,"[4. 4. 3. 3. 4. 4. 4. 0. 4. 3. 3. 4. 3. 4. 4. 4. 4. 0. 3. 4. 0. 3. 3. 3.
 3. 4. 3. 0. 4. 4. 3. 1. 4. 4. 4. 4. 4. 4. 0. 0. 3. 4. 4. 4. 3. 3. 3. 4.
 1. 4.]",3000,0.2,3000,0.2,0
8,1051.0,9.622699870999895,"[4. 4. 3. 4. 4. 3. 0. 0. 4. 4. 4. 4. 4. 3. 4. 4. 4. 4. 4. 4. 4. 4. 3. 0.
 0. 4. 4. 1. 4. 3. 4. 3. 1. 4. 4. 4. 4. 3. 3. 4. 3. 4. 4. 4. 4. 3. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
16,1085.0,18.646719823999774,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
32,1085.0,37.33625034000033,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
64,1085.0,78.04277351200017,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
128,1085.0,155.1086305560002,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
256,1085.0,311.5025446999998,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
512,1085.0,846.7920333350003,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
1024,1085.0,1480.7092081870005,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
2048,1085.0,2725.4780575779996,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
4096,1085.0,5073.118778110001,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
8192,1085.0,6108.768952317,"[4. 4. 4. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 1. 4. 4. 4. 2. 4. 0.
 3. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 0. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.
 4. 4.]",3000,0.2,3000,0.2,0
