Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters,run_number
0,0.0,0.09211497599972063,"[0, 1, 1, 0, 1]",False,3000,0.2,8192,0
1,8.0,0.13304876500023965,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
2,8.0,0.17306143600035284,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
4,8.0,0.2583412860003591,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
8,8.0,0.4062104229997203,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
16,8.0,0.7875432359996921,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
32,8.0,1.507848520999687,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
64,8.0,3.0087462080000478,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
128,8.0,5.885189958999945,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
256,8.0,11.317146989000321,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
512,8.0,21.11595739600034,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
1024,8.0,40.255275442999846,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
2048,8.0,78.5498886129999,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
4096,8.0,157.86818019099974,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
8192,8.0,191.39036060200033,"[1.0, 1.0, 0.0, 0.0, 0.0]",False,3000,0.2,8192,0
0,2.0,0.09455658200022299,"[1, 1, 0, 0, 1]",False,3000,0.2,8192,1
1,8.0,0.14648640799987334,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
2,8.0,0.19430931199985935,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
4,8.0,0.27655214500009606,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
8,8.0,0.4262215569997352,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
16,8.0,0.7096371910001835,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
32,8.0,1.3841215909997118,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
64,8.0,2.569046221999997,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
128,8.0,5.276458184999683,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
256,8.0,10.098829958999886,"[1.0, 1.0, 1.0, 0.0, 0.0]",False,3000,0.2,8192,1
