Iteration,Fitness,Time,State,pop_size,keep_pct,Population Size,Keep Percent,run_number
0,0.41123449312693866,0.29588203000093927,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],3000,0.2,3000,0.2,0
1,0.6666861182852402,4.053357335000328,[ 1 11 19 18  0  5  3 12  4 16 10 14 15  8 13 17  9  6  2  7],3000,0.2,3000,0.2,0
2,0.6912638260103688,7.854383773999871,[12 19 11 15  8  9 17 10 16  0 18  7  2  6 13  4 14  1  5  3],3000,0.2,3000,0.2,0
4,0.7553803781929459,14.992997868999737,[ 5 11  3 12  8 17  9 15 14  4 18  0  7  2 10  6 16 13  1 19],3000,0.2,3000,0.2,0
8,0.831032348986867,29.247060945999692,[ 5 11 19 13  1  7  0 18  2  6 16  8 14  9 17 10  4 15 12  3],3000,0.2,3000,0.2,0
16,0.9026026895789824,57.76241177200063,[ 5 11 19  1 13  7  0 18  2  6 16 10 17 14  4  8 15  9 12  3],3000,0.2,3000,0.2,0
32,0.906623190835428,115.20251420599925,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
64,0.906623190835428,229.74836814300033,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
128,0.906623190835428,459.31500229499943,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
256,0.906623190835428,917.3776231989996,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
512,0.906623190835428,1834.6711152139997,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
1024,0.906623190835428,3662.4430045030003,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
2048,0.906623190835428,7321.556380619999,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
4096,0.906623190835428,14625.229703767001,[ 5 11 19 15  1  0  7 18  2  6 16 10 17  4 13  8 14  9 12  3],3000,0.2,3000,0.2,0
0,0.5144117474007559,0.2984428650015616,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],3000,0.2,3000,0.2,1
1,0.6257799014650194,3.9361677690030774,[ 0 18 16 17 15 10 13 14  9  3 12  1  8  2  4  6  7 19 11  5],3000,0.2,3000,0.2,1
2,0.8067675717542202,7.546534119002899,[ 5 11 19  0  7 18  6  4  2 16 10 13 17 15 14  9  8  1 12  3],3000,0.2,3000,0.2,1
4,0.8214949562501902,14.685176154001965,[ 5 11 19  0  7 18  6  2 14  9  4  8 15  1 16 10 17 13 12  3],3000,0.2,3000,0.2,1
8,0.9837364801921423,29.000291183001536,[ 5 11 19  0 18  7  2  6 16 10 17  8  1  4 13  9 15 14 12  3],3000,0.2,3000,0.2,1
16,1.0129796422414532,57.66855775899967,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
32,1.0129796422414532,114.74713773199983,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
64,1.0129796422414532,228.71851656000217,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
128,1.0129796422414532,456.7986381130031,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
256,1.0129796422414532,914.4280696480018,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
512,1.0129796422414532,1829.516964153001,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
1024,1.0129796422414532,3657.662133951002,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
2048,1.0129796422414532,7314.851988162001,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
4096,1.0129796422414532,14914.924227362004,[ 5 11 19  0 18  7  2  6 16 10 17 13  4  8 14  9 15  1 12  3],3000,0.2,3000,0.2,1
