,Iteration,Time,Fitness,current_restart,Restarts
0,0,0.0001475870000000601,4.0,0,2
1,1,0.00042152799999994883,4.0,0,2
2,2,0.000631475000000048,4.0,0,2
3,3,0.0007484200000000829,4.0,0,2
4,4,0.0008653650000001178,4.0,0,2
5,5,0.000989372750000106,4.0,0,2
6,6,0.001113380500000094,4.0,0,2
7,7,0.0012373882500000821,4.0,0,2
8,8,0.0013613960000000702,4.0,0,2
9,9,0.0014194300000000548,4.0,0,2
10,10,0.0014774640000000394,4.0,0,2
11,11,0.001535498000000024,4.0,0,2
12,12,0.0015935320000000086,4.0,0,2
13,13,0.0016515659999999932,4.0,0,2
14,14,0.0017095999999999778,4.0,0,2
15,15,0.0017676339999999624,4.0,0,2
16,16,0.001825667999999947,4.0,0,2
17,17,0.0018803116249999502,4.0,0,2
18,18,0.0019349552499999534,4.0,0,2
19,19,0.0019895988749999566,4.0,0,2
20,20,0.0020442424999999598,4.0,0,2
21,21,0.002098886124999963,4.0,0,2
22,22,0.002153529749999966,4.0,0,2
23,23,0.0022081733749999694,4.0,0,2
24,24,0.0022628169999999725,4.0,0,2
25,25,0.0023174606249999757,4.0,0,2
26,26,0.002372104249999979,5.0,0,2
27,27,0.002426747874999982,5.0,0,2
28,28,0.0024813914999999853,5.0,0,2
29,29,0.0025360351249999885,5.0,0,2
30,30,0.0025906787499999917,5.0,0,2
31,31,0.002645322374999995,5.0,0,2
32,32,0.002699965999999998,5.0,0,2
33,33,0.002747602937500003,5.0,0,2
34,34,0.002795239875000008,5.0,0,2
35,35,0.002842876812500013,5.0,0,2
36,36,0.0028905137500000178,5.0,0,2
37,37,0.0029381506875000227,5.0,0,2
38,38,0.0029857876250000276,5.0,0,2
39,39,0.0030334245625000325,5.0,0,2
40,40,0.0030810615000000374,5.0,0,2
41,41,0.0031286984375000423,5.0,0,2
42,42,0.0031763353750000473,5.0,0,2
43,43,0.003223972312500052,5.0,0,2
44,44,0.003271609250000057,6.0,0,2
45,45,0.003319246187500062,6.0,0,2
46,46,0.003366883125000067,6.0,0,2
47,47,0.003414520062500072,6.0,0,2
48,48,0.0034621570000000768,6.0,0,2
49,49,0.0035097939375000817,6.0,0,2
50,50,0.0035574308750000866,6.0,0,2
51,51,0.0036050678125000915,6.0,0,2
52,52,0.0036527047500000964,6.0,0,2
53,53,0.0037003416875001013,6.0,0,2
54,54,0.0037479786250001063,6.0,0,2
55,55,0.003795615562500111,6.0,0,2
56,56,0.003843252500000116,6.0,0,2
57,57,0.003890889437500121,6.0,0,2
58,58,0.003938526375000126,6.0,0,2
59,59,0.003986163312500131,6.0,0,2
60,60,0.004033800250000136,6.0,0,2
61,61,0.004081437187500141,6.0,0,2
62,62,0.004129074125000146,6.0,0,2
63,63,0.0041767110625001505,6.0,0,2
64,64,0.004224348000000155,6.0,0,2
65,65,0.004271219234375154,6.0,0,2
66,66,0.004318090468750153,6.0,0,2
67,67,0.004364961703125152,6.0,0,2
68,68,0.004411832937500151,6.0,0,2
69,69,0.00445870417187515,6.0,0,2
70,70,0.004505575406250149,6.0,0,2
71,71,0.004552446640625148,6.0,0,2
72,72,0.004599317875000147,6.0,0,2
73,73,0.004646189109375146,6.0,0,2
74,74,0.004693060343750145,6.0,0,2
75,75,0.004739931578125144,6.0,0,2
76,76,0.004786802812500143,6.0,0,2
77,77,0.004833674046875142,6.0,0,2
78,78,0.004880545281250141,6.0,0,2
79,79,0.00492741651562514,6.0,0,2
80,80,0.004974287750000139,6.0,0,2
81,81,0.005021158984375138,6.0,0,2
82,82,0.005068030218750137,6.0,0,2
83,83,0.005114901453125136,6.0,0,2
84,84,0.005161772687500135,6.0,0,2
85,85,0.005208643921875134,6.0,0,2
86,86,0.005255515156250133,6.0,0,2
87,87,0.005302386390625132,6.0,0,2
88,88,0.005349257625000131,6.0,0,2
89,89,0.00539612885937513,6.0,0,2
90,90,0.005443000093750129,6.0,0,2
91,91,0.005489871328125128,6.0,0,2
92,92,0.005536742562500127,6.0,0,2
93,93,0.005583613796875126,6.0,0,2
94,94,0.005630485031250125,6.0,0,2
95,95,0.005677356265625124,6.0,0,2
96,96,0.005724227500000123,6.0,0,2
97,97,0.005771098734375122,6.0,0,2
98,98,0.005817969968750121,6.0,0,2
99,99,0.00586484120312512,6.0,0,2
100,100,0.005911712437500119,6.0,0,2
101,101,0.005958583671875118,6.0,0,2
102,102,0.006005454906250117,6.0,0,2
103,103,0.006052326140625116,6.0,0,2
104,104,0.006099197375000115,6.0,0,2
105,105,0.006146068609375114,6.0,0,2
106,106,0.006192939843750113,6.0,0,2
107,107,0.006239811078125112,6.0,0,2
108,108,0.006286682312500111,6.0,0,2
109,109,0.00633355354687511,6.0,0,2
110,110,0.006380424781250109,6.0,0,2
111,111,0.006427296015625108,6.0,0,2
112,112,0.006474167250000107,6.0,0,2
113,113,0.006521038484375106,6.0,0,2
114,114,0.006567909718750105,6.0,0,2
115,115,0.006614780953125104,6.0,0,2
116,116,0.006661652187500103,6.0,0,2
117,117,0.006708523421875102,6.0,0,2
118,118,0.006755394656250101,6.0,0,2
119,119,0.0068022658906251,6.0,0,2
120,120,0.006849137125000099,6.0,0,2
121,121,0.006896008359375098,6.0,0,2
122,122,0.006942879593750097,6.0,0,2
123,123,0.006989750828125096,6.0,0,2
124,124,0.007036622062500095,6.0,0,2
125,125,0.007083493296875094,6.0,0,2
126,126,0.007130364531250093,6.0,0,2
127,127,0.007177235765625092,6.0,0,2
128,128,0.007224107000000091,6.0,0,2
129,129,0.00726618234375009,6.0,0,2
130,130,0.00730825768750009,6.0,0,2
131,131,0.00735033303125009,6.0,0,2
132,132,0.00739240837500009,6.0,0,2
133,133,0.007434483718750089,6.0,0,2
134,134,0.007476559062500089,6.0,0,2
135,135,0.007518634406250089,6.0,0,2
136,136,0.007560709750000089,6.0,0,2
137,137,0.007602785093750088,6.0,0,2
138,138,0.007644860437500088,6.0,0,2
139,139,0.007686935781250088,6.0,0,2
140,140,0.007729011125000088,6.0,0,2
141,141,0.007771086468750087,6.0,0,2
142,142,0.007813161812500087,6.0,0,2
143,143,0.007855237156250087,6.0,0,2
