Iteration,Fitness,Time,State,current_restart,Restarts,run_number
0,0.0,0.0001230940000001013,[4 0 3],0,1,0
1,0.0,0.000588379999999944,[4 0 3],0,1,0
2,0.0,0.0008546209999999999,[4 0 3],0,1,0
4,33.0,0.0012500820000000967,[3 0 3],0,1,0
8,37.0,0.0018208630000000614,[3 0 4],0,1,0
16,41.0,0.0027524210000000604,[3 2 4],0,1,0
32,41.0,0.004244109000000051,[3 2 4],0,1,0
64,41.0,0.007528297999999989,[3 2 4],0,1,0
128,41.0,0.013041620999999948,[3 2 4],0,1,0
256,41.0,0.022753970000000123,[3 2 4],0,1,0
512,41.0,0.04531567400000003,[3 2 4],0,1,0
1024,41.0,0.10502036699999984,[3 2 4],0,1,0
2048,41.0,0.284012562,[3 2 4],0,1,0
4096,41.0,0.8435433900000002,[3 2 4],0,1,0
8192,41.0,1.1727984020000002,[3 2 4],0,1,0
0,29.0,0.00013591299999982098,[3 4 0],0,1,1
1,29.0,0.0003923679999999763,[3 4 0],0,1,1
2,29.0,0.0006057359999998013,[3 4 0],0,1,1
4,29.0,0.0008737289999998232,[3 4 0],0,1,1
8,37.0,0.001300462999999752,[3 4 2],0,1,1
16,37.0,0.0021302709999999614,[3 4 2],0,1,1
32,37.0,0.003919025000000076,[3 4 2],0,1,1
64,37.0,0.006322654999999955,[3 4 2],0,1,1
128,37.0,0.012690901000000032,[3 4 2],0,1,1
256,37.0,0.022955837999999673,[3 4 2],0,1,1
512,37.0,0.04554568999999997,[3 4 2],0,1,1
1024,37.0,0.10225558199999973,[3 4 2],0,1,1
2048,37.0,0.291980589,[3 4 2],0,1,1
4096,37.0,0.8583538239999999,[3 4 2],0,1,1
8192,37.0,1.2008272579999995,[3 4 2],0,1,1
0,12.0,0.00014808899999962932,[0 0 3],0,1,2
1,16.0,0.00040814699999991433,[0 0 4],0,1,2
2,16.0,0.0005951749999999478,[0 0 4],0,1,2
4,24.0,0.0009169309999998987,[0 4 4],0,1,2
8,31.0,0.0016392009999997015,[1 4 4],0,1,2
16,31.0,0.005696097999999594,[1 4 4],0,1,2
32,31.0,0.007549627999999586,[1 4 4],0,1,2
64,38.0,0.009934882999999672,[2 4 4],0,1,2
128,38.0,0.01507308099999971,[2 4 4],0,1,2
256,38.0,0.02815059399999953,[2 4 4],0,1,2
512,38.0,0.05069233800000017,[2 4 4],0,1,2
1024,38.0,0.10931577000000026,[2 4 4],0,1,2
2048,38.0,0.30095775699999994,[2 4 4],0,1,2
4096,38.0,0.8704653869999994,[2 4 4],0,1,2
8192,38.0,1.24214146,[2 4 4],0,1,2
0,18.0,0.00013448599999943411,[2 0 1],0,1,3
1,18.0,0.00038590700000007416,[2 0 1],0,1,3
2,18.0,0.0005767629999997581,[2 0 1],0,1,3
4,38.0,0.0008681099999998665,[2 4 4],0,1,3
8,38.0,0.001256643999999696,[2 4 4],0,1,3
16,38.0,0.0021111400000002334,[2 4 4],0,1,3
32,38.0,0.0032137990000000727,[2 4 4],0,1,3
64,38.0,0.005356067000000131,[2 4 4],0,1,3
128,38.0,0.00978939099999998,[2 4 4],0,1,3
256,38.0,0.018921090000000085,[2 4 4],0,1,3
512,38.0,0.04149206999999944,[2 4 4],0,1,3
1024,38.0,0.0991710010000002,[2 4 4],0,1,3
2048,38.0,0.30450834999999987,[2 4 4],0,1,3
4096,38.0,0.8603943300000001,[2 4 4],0,1,3
8192,38.0,1.1961826889999996,[2 4 4],0,1,3
0,16.0,0.00011374299999999948,[2 1 0],0,1,4
1,23.0,0.00034170099999997205,[3 1 0],0,1,4
2,27.0,0.0005371609999995641,[3 3 0],0,1,4
4,27.0,0.0007673319999996764,[3 3 0],0,1,4
8,39.0,0.0011349849999993111,[3 3 3],0,1,4
16,39.0,0.0017147330000000238,[3 3 3],0,1,4
32,39.0,0.0027602220000000344,[3 3 3],0,1,4
64,39.0,0.004814580999999762,[3 3 3],0,1,4
128,39.0,0.009138921999999994,[3 3 3],0,1,4
256,39.0,0.018454703999999822,[3 3 3],0,1,4
512,39.0,0.039992658999999264,[3 3 3],0,1,4
1024,39.0,0.09880452099999992,[3 3 3],0,1,4
2048,39.0,0.2936187619999995,[3 3 3],0,1,4
4096,39.0,0.8459717789999992,[3 3 3],0,1,4
8192,39.0,1.2000027149999992,[3 3 3],0,1,4
