Iteration,Fitness,Time,State,Restarts,max_iters,current_restart,run_number
0,0.0,0.00010964000000002194,"[4, 0, 3, 3, 3]",1,8192,0,0
1,0.0,0.0004338259999998595,"[4, 0, 3, 3, 3]",1,8192,0,0
2,25.0,0.00818417699999996,"[4, 0, 0, 3, 3]",1,8192,0,0
4,25.0,0.014620886999999971,"[4, 0, 0, 3, 3]",1,8192,0,0
8,25.0,0.02024735199999994,"[4, 0, 0, 3, 3]",1,8192,0,0
16,25.0,0.02593145599999991,"[4, 0, 0, 3, 3]",1,8192,0,0
32,32.0,0.034539271999999954,"[4, 0, 1, 3, 3]",1,8192,0,0
64,32.0,0.043146716999999946,"[4, 0, 1, 3, 3]",1,8192,0,0
128,32.0,0.05490181399999994,"[4, 0, 1, 3, 3]",1,8192,0,0
256,32.0,0.07734609000000003,"[4, 0, 1, 3, 3]",1,8192,0,0
512,32.0,0.12057865499999987,"[4, 0, 1, 3, 3]",1,8192,0,0
1024,32.0,0.20387584800000003,"[4, 0, 1, 3, 3]",1,8192,0,0
2048,32.0,0.3893270790000001,"[4, 0, 1, 3, 3]",1,8192,0,0
4096,32.0,1.018585275,"[4, 0, 1, 3, 3]",1,8192,0,0
8192,32.0,1.5520533840000001,"[4, 0, 1, 3, 3]",1,8192,0,0
0,50.0,1.621814702,"[3, 1, 3, 3, 1]",1,8192,1,0
1,52.0,1.62256766,"[3, 1, 3, 3, 3]",1,8192,1,0
2,52.0,1.6998928420000001,"[3, 1, 3, 3, 3]",1,8192,1,0
4,52.0,1.7818750890000001,"[3, 1, 3, 3, 3]",1,8192,1,0
8,52.0,1.8652392729999998,"[3, 1, 3, 3, 3]",1,8192,1,0
16,69.0,1.9459148160000002,"[3, 2, 4, 3, 3]",1,8192,1,0
32,69.0,2.022635579,"[3, 2, 4, 3, 3]",1,8192,1,0
64,69.0,2.114661993,"[3, 2, 4, 3, 3]",1,8192,1,0
128,69.0,2.241429021,"[3, 2, 4, 3, 3]",1,8192,1,0
256,69.0,2.4072412549999997,"[3, 2, 4, 3, 3]",1,8192,1,0
512,69.0,2.6252681969999996,"[3, 2, 4, 3, 3]",1,8192,1,0
1024,69.0,3.041523496,"[3, 2, 4, 3, 3]",1,8192,1,0
2048,69.0,3.7555556359999995,"[3, 2, 4, 3, 3]",1,8192,1,0
4096,69.0,5.158818933,"[3, 2, 4, 3, 3]",1,8192,1,0
8192,69.0,5.916190628,"[3, 2, 4, 3, 3]",1,8192,1,0
0,57.0,0.00011445599999948541,"[3, 4, 0, 1, 3]",1,8192,0,1
1,57.0,0.0004568659999995006,"[3, 4, 0, 1, 3]",1,8192,0,1
2,57.0,0.005434296999999866,"[3, 4, 0, 1, 3]",1,8192,0,1
4,57.0,0.010274906999999445,"[3, 4, 0, 1, 3]",1,8192,0,1
8,64.0,0.01699460199999958,"[3, 4, 1, 1, 3]",1,8192,0,1
16,64.0,0.022317412999999675,"[3, 4, 1, 1, 3]",1,8192,0,1
32,75.0,0.029078736999999855,"[3, 4, 2, 3, 3]",1,8192,0,1
64,75.0,0.037201028000000136,"[3, 4, 2, 3, 3]",1,8192,0,1
128,75.0,0.049385688000000094,"[3, 4, 2, 3, 3]",1,8192,0,1
256,75.0,0.06889364899999961,"[3, 4, 2, 3, 3]",1,8192,0,1
512,75.0,0.11710738399999965,"[3, 4, 2, 3, 3]",1,8192,0,1
1024,75.0,0.21563129799999992,"[3, 4, 2, 3, 3]",1,8192,0,1
2048,75.0,0.4120518879999997,"[3, 4, 2, 3, 3]",1,8192,0,1
4096,75.0,1.0318905460000005,"[3, 4, 2, 3, 3]",1,8192,0,1
8192,75.0,1.4454802229999997,"[3, 4, 2, 3, 3]",1,8192,0,1
0,31.0,1.5200013409999995,"[2, 1, 1, 2, 2]",1,8192,1,1
1,31.0,1.520632429,"[2, 1, 1, 2, 2]",1,8192,1,1
2,52.0,1.5770377729999998,"[2, 1, 4, 2, 2]",1,8192,1,1
4,52.0,1.6505899449999992,"[2, 1, 4, 2, 2]",1,8192,1,1
8,64.0,1.7145168929999999,"[4, 1, 4, 4, 2]",1,8192,1,1
16,64.0,1.7780019719999993,"[4, 1, 4, 4, 2]",1,8192,1,1
32,64.0,1.8435311000000008,"[4, 1, 4, 4, 2]",1,8192,1,1
64,64.0,1.908864339,"[4, 1, 4, 4, 2]",1,8192,1,1
128,64.0,1.9929122129999994,"[4, 1, 4, 4, 2]",1,8192,1,1
256,64.0,2.1105040300000004,"[4, 1, 4, 4, 2]",1,8192,1,1
512,64.0,2.3113716690000006,"[4, 1, 4, 4, 2]",1,8192,1,1
1024,64.0,2.6093426479999993,"[4, 1, 4, 4, 2]",1,8192,1,1
2048,64.0,3.1872385250000006,"[4, 1, 4, 4, 2]",1,8192,1,1
4096,64.0,4.431954474,"[4, 1, 4, 4, 2]",1,8192,1,1
8192,64.0,5.152733876,"[4, 1, 4, 4, 2]",1,8192,1,1
0,28.0,0.00011433699999940927,"[0, 0, 3, 2, 3]",1,8192,0,2
1,44.0,0.00041506400000024257,"[4, 0, 3, 2, 3]",1,8192,0,2
2,44.0,0.005746464999999645,"[4, 0, 3, 2, 3]",1,8192,0,2
4,44.0,0.01067138900000053,"[4, 0, 3, 2, 3]",1,8192,0,2
8,44.0,0.016335927000000083,"[4, 0, 3, 2, 3]",1,8192,0,2
16,44.0,0.021828356000000326,"[4, 0, 3, 2, 3]",1,8192,0,2
32,44.0,0.0285867599999996,"[4, 0, 3, 2, 3]",1,8192,0,2
64,44.0,0.036101631999999384,"[4, 0, 3, 2, 3]",1,8192,0,2
128,44.0,0.049182018999999855,"[4, 0, 3, 2, 3]",1,8192,0,2
256,44.0,0.06793155499999948,"[4, 0, 3, 2, 3]",1,8192,0,2
512,44.0,0.10553351899999974,"[4, 0, 3, 2, 3]",1,8192,0,2
1024,44.0,0.21055362899999963,"[4, 0, 3, 2, 3]",1,8192,0,2
2048,44.0,0.42447780500000043,"[4, 0, 3, 2, 3]",1,8192,0,2
4096,44.0,1.0719415750000003,"[4, 0, 3, 2, 3]",1,8192,0,2
8192,44.0,1.5016772669999998,"[4, 0, 3, 2, 3]",1,8192,0,2
0,41.0,1.5599166269999998,"[0, 3, 1, 2, 0]",1,8192,1,2
1,42.0,1.5607759019999996,"[0, 3, 1, 2, 1]",1,8192,1,2
2,42.0,1.6129020579999995,"[0, 3, 1, 2, 1]",1,8192,1,2
4,45.0,1.6851932830000003,"[0, 3, 1, 2, 4]",1,8192,1,2
8,45.0,1.746801485999999,"[0, 3, 1, 2, 4]",1,8192,1,2
16,66.0,1.8077177649999996,"[0, 4, 2, 4, 4]",1,8192,1,2
32,77.0,1.8848262519999999,"[1, 4, 3, 4, 4]",1,8192,1,2
64,77.0,1.9560210619999996,"[1, 4, 3, 4, 4]",1,8192,1,2
128,77.0,2.0394709560000006,"[1, 4, 3, 4, 4]",1,8192,1,2
256,77.0,2.1726429940000003,"[1, 4, 3, 4, 4]",1,8192,1,2
512,77.0,2.382237438999999,"[1, 4, 3, 4, 4]",1,8192,1,2
1024,77.0,2.7132907680000002,"[1, 4, 3, 4, 4]",1,8192,1,2
2048,77.0,3.4124039889999995,"[1, 4, 3, 4, 4]",1,8192,1,2
4096,77.0,4.998774200999998,"[1, 4, 3, 4, 4]",1,8192,1,2
8192,77.0,5.819184508000001,"[1, 4, 3, 4, 4]",1,8192,1,2
0,21.0,0.00011574899999899912,"[2, 0, 1, 3, 0]",1,8192,0,3
1,21.0,0.0004902509999986648,"[2, 0, 1, 3, 0]",1,8192,0,3
2,21.0,0.005369481999998982,"[2, 0, 1, 3, 0]",1,8192,0,3
4,51.0,0.010619469000001658,"[2, 3, 1, 3, 0]",1,8192,0,3
8,57.0,0.015752209999998712,"[3, 3, 1, 3, 2]",1,8192,0,3
16,75.0,0.021618679999999557,"[4, 3, 3, 3, 2]",1,8192,0,3
32,85.0,0.028879306000000327,"[4, 4, 3, 3, 2]",1,8192,0,3
64,85.0,0.03665816000000177,"[4, 4, 3, 3, 2]",1,8192,0,3
128,85.0,0.048546142999999375,"[4, 4, 3, 3, 2]",1,8192,0,3
256,85.0,0.06833472099999938,"[4, 4, 3, 3, 2]",1,8192,0,3
512,85.0,0.1078762210000015,"[4, 4, 3, 3, 2]",1,8192,0,3
1024,85.0,0.1940193679999993,"[4, 4, 3, 3, 2]",1,8192,0,3
