,Iteration,Fitness,Time,State,current_restart,Restarts
0,0,509.0,0.00032505800000137697,"[2 1 0 0 2 1 2 4 1 0 4 2 4 2 4 3 0 1 0 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 2 3 3 0 2]",0,1
1,1,517.0,0.0012643429999883438,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 0 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 2 3 3 0 2]",0,1
2,2,524.0,0.002160474999996609,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 0 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 3 3 3 0 2]",0,1
3,4,544.0,0.0033151879999877565,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 3 3 3 0 2]",0,1
4,8,618.0,0.00510974299999134,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 4
 1 0 1 1 1 3 4 4 3 3 3 2 2]",0,1
5,16,629.0,0.006831309999995483,"[2 1 0 0 2 1 4 4 2 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 4
 1 0 1 2 1 3 4 4 3 3 3 2 2]",0,1
6,32,682.0,0.011292538999995827,"[3 1 0 1 3 1 4 4 2 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 4 3 2 1 4
 1 4 3 4 1 3 4 4 3 3 3 2 2]",0,1
7,64,875.0,0.019578713000001358,"[4 4 0 3 3 2 4 4 2 0 4 2 4 2 4 3 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
8,128,890.0,0.030461247999994612,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
9,256,890.0,0.05230336099999988,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
10,512,890.0,0.10387157099999911,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
11,1024,890.0,0.32607091599999194,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
12,2048,890.0,1.0085521509999893,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
13,4096,890.0,2.932985647999999,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
14,8192,890.0,3.9900440569999915,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,1
15,0,509.0,0.00020907500000078016,"[2 1 0 0 2 1 2 4 1 0 4 2 4 2 4 3 0 1 0 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 2 3 3 0 2]",0,5
16,1,517.0,0.0013259449999907247,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 0 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 2 3 3 0 2]",0,5
17,2,524.0,0.002218522999996253,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 0 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 3 3 3 0 2]",0,5
18,4,544.0,0.0033294809999944164,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 2
 1 0 1 1 1 3 0 4 3 3 3 0 2]",0,5
19,8,618.0,0.005314046999998823,"[2 1 0 0 2 1 4 4 1 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 4
 1 0 1 1 1 3 4 4 3 3 3 2 2]",0,5
20,16,629.0,0.009304452999998603,"[2 1 0 0 2 1 4 4 2 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 2 3 2 1 4
 1 0 1 2 1 3 4 4 3 3 3 2 2]",0,5
21,32,682.0,0.014876419999993118,"[3 1 0 1 3 1 4 4 2 0 4 2 4 2 4 3 0 1 4 2 0 1 2 2 0 0 3 2 1 0 4 3 4 3 2 1 4
 1 4 3 4 1 3 4 4 3 3 3 2 2]",0,5
22,64,875.0,0.023521453000000747,"[4 4 0 3 3 2 4 4 2 0 4 2 4 2 4 3 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,5
23,128,890.0,0.03940276499999129,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,5
24,256,890.0,0.07347512100000131,"[4 4 0 3 3 2 4 4 3 0 4 2 4 2 4 4 4 1 4 2 0 1 4 2 0 0 3 2 4 2 4 3 4 3 4 3 4
 4 4 3 4 3 3 4 4 3 3 3 2 4]",0,5
