Iteration,Fitness,Time,State,Restarts,max_iters,current_restart,run_number
0,3.0,8.344999999998493e-05,"[0, 1, 1, 0, 1]",1,8192,0,0
1,3.0,0.00039077099999995646,"[0, 1, 1, 0, 1]",1,8192,0,0
2,3.0,0.007034015000000116,"[0, 1, 1, 0, 1]",1,8192,0,0
4,3.0,0.012635364000000093,"[0, 1, 1, 0, 1]",1,8192,0,0
8,3.0,0.018853656000000107,"[0, 1, 1, 0, 1]",1,8192,0,0
16,3.0,0.024429688000000116,"[0, 1, 1, 0, 1]",1,8192,0,0
32,3.0,0.030159827999999944,"[0, 1, 1, 0, 1]",1,8192,0,0
64,3.0,0.03646677599999992,"[0, 1, 1, 0, 1]",1,8192,0,0
128,3.0,0.04640785199999997,"[0, 1, 1, 0, 1]",1,8192,0,0
256,3.0,0.062721319,"[0, 1, 1, 0, 1]",1,8192,0,0
512,3.0,0.08919869700000005,"[0, 1, 1, 0, 1]",1,8192,0,0
1024,3.0,0.14580887799999998,"[0, 1, 1, 0, 1]",1,8192,0,0
2048,3.0,0.2927345160000001,"[0, 1, 1, 0, 1]",1,8192,0,0
4096,3.0,0.7599386370000001,"[0, 1, 1, 0, 1]",1,8192,0,0
8192,3.0,1.102787801,"[0, 1, 1, 0, 1]",1,8192,0,0
0,1.0,1.1562040199999999,"[1, 1, 0, 0, 0]",1,8192,1,0
1,1.0,1.1570339850000002,"[1, 1, 0, 0, 0]",1,8192,1,0
2,1.0,1.2220290919999999,"[1, 1, 0, 0, 0]",1,8192,1,0
4,3.0,1.277833616,"[1, 1, 0, 1, 0]",1,8192,1,0
8,3.0,1.3341157870000002,"[1, 1, 0, 1, 0]",1,8192,1,0
16,3.0,1.403716628,"[1, 1, 0, 1, 0]",1,8192,1,0
32,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
64,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
128,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
256,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
512,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
1024,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
2048,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
4096,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
8192,4.0,1.4665401480000002,"[0, 1, 0, 1, 0]",1,8192,1,0
0,2.0,0.00011034500000040026,"[1, 1, 0, 0, 1]",1,8192,0,1
1,2.0,0.0003748040000002284,"[1, 1, 0, 0, 1]",1,8192,0,1
2,2.0,0.005913356000000203,"[1, 1, 0, 0, 1]",1,8192,0,1
4,3.0,0.012737300000000396,"[0, 1, 0, 0, 1]",1,8192,0,1
8,3.0,0.01769915700000002,"[0, 1, 0, 0, 1]",1,8192,0,1
16,3.0,0.022850992000000403,"[0, 1, 0, 0, 1]",1,8192,0,1
32,3.0,0.030582492000000183,"[0, 1, 0, 0, 1]",1,8192,0,1
64,3.0,0.03747259800000036,"[0, 1, 0, 0, 1]",1,8192,0,1
128,3.0,0.04932121500000042,"[0, 1, 0, 0, 1]",1,8192,0,1
256,3.0,0.06708091800000027,"[0, 1, 0, 0, 1]",1,8192,0,1
512,3.0,0.102829689,"[0, 1, 0, 0, 1]",1,8192,0,1
1024,3.0,0.23307290300000005,"[0, 1, 0, 0, 1]",1,8192,0,1
2048,3.0,0.469688514,"[0, 1, 0, 0, 1]",1,8192,0,1
4096,3.0,1.0628772570000002,"[0, 1, 0, 0, 1]",1,8192,0,1
8192,3.0,1.581411804,"[0, 1, 0, 0, 1]",1,8192,0,1
0,4.0,1.646580233,"[1, 0, 1, 0, 1]",1,8192,1,1
1,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
2,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
4,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
8,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
16,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
32,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
64,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
128,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
256,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
512,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
1024,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
2048,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
4096,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
8192,4.0,1.647459951,"[1, 0, 1, 0, 1]",1,8192,1,1
0,2.0,0.00012249799999963784,"[0, 1, 1, 0, 0]",1,8192,0,2
1,2.0,0.0006453979999996307,"[0, 1, 1, 0, 0]",1,8192,0,2
2,2.0,0.011116402999999941,"[0, 1, 1, 0, 0]",1,8192,0,2
4,2.0,0.01937082099999987,"[0, 1, 1, 0, 0]",1,8192,0,2
8,2.0,0.027318735999999788,"[0, 1, 1, 0, 0]",1,8192,0,2
16,3.0,0.037228101999999375,"[0, 1, 1, 0, 1]",1,8192,0,2
32,3.0,0.04608329099999953,"[0, 1, 1, 0, 1]",1,8192,0,2
64,3.0,0.059185951999999986,"[0, 1, 1, 0, 1]",1,8192,0,2
128,3.0,0.09695734199999961,"[0, 1, 1, 0, 1]",1,8192,0,2
256,3.0,0.12284162399999943,"[0, 1, 1, 0, 1]",1,8192,0,2
512,3.0,0.15695348599999992,"[0, 1, 1, 0, 1]",1,8192,0,2
1024,3.0,0.22429380399999932,"[0, 1, 1, 0, 1]",1,8192,0,2
2048,3.0,0.4322635849999994,"[0, 1, 1, 0, 1]",1,8192,0,2
4096,3.0,1.0304611750000001,"[0, 1, 1, 0, 1]",1,8192,0,2
8192,3.0,1.4164378690000001,"[0, 1, 1, 0, 1]",1,8192,0,2
0,1.0,1.4754935699999994,"[1, 1, 1, 0, 0]",1,8192,1,2
1,1.0,1.4762603849999998,"[1, 1, 1, 0, 0]",1,8192,1,2
2,2.0,1.5361034,"[1, 1, 1, 0, 1]",1,8192,1,2
4,2.0,1.5884223079999993,"[1, 1, 1, 0, 1]",1,8192,1,2
8,2.0,1.6425805899999997,"[1, 1, 1, 0, 1]",1,8192,1,2
16,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
32,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
64,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
128,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
256,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
512,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
1024,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
2048,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
4096,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
8192,4.0,1.697412999,"[1, 0, 1, 0, 1]",1,8192,1,2
0,2.0,9.151300000009854e-05,"[0, 0, 1, 1, 0]",1,8192,0,3
1,3.0,0.00035292199999936713,"[1, 0, 1, 1, 0]",1,8192,0,3
2,3.0,0.005386280999999826,"[1, 0, 1, 1, 0]",1,8192,0,3
4,3.0,0.010709674999999308,"[1, 0, 1, 1, 0]",1,8192,0,3
8,3.0,0.018301306999999767,"[1, 0, 1, 1, 0]",1,8192,0,3
16,3.0,0.02445525299999929,"[1, 0, 1, 1, 0]",1,8192,0,3
32,3.0,0.03244067199999989,"[1, 0, 1, 1, 0]",1,8192,0,3
64,3.0,0.03994419499999946,"[1, 0, 1, 1, 0]",1,8192,0,3
128,3.0,0.05087128599999957,"[1, 0, 1, 1, 0]",1,8192,0,3
256,3.0,0.07038597699999993,"[1, 0, 1, 1, 0]",1,8192,0,3
512,3.0,0.0998964339999997,"[1, 0, 1, 1, 0]",1,8192,0,3
1024,3.0,0.16289793799999952,"[1, 0, 1, 1, 0]",1,8192,0,3
2048,3.0,0.35815151200000006,"[1, 0, 1, 1, 0]",1,8192,0,3
4096,3.0,0.9136752399999999,"[1, 0, 1, 1, 0]",1,8192,0,3
8192,3.0,1.2670392929999998,"[1, 0, 1, 1, 0]",1,8192,0,3
0,2.0,1.3219593429999996,"[0, 0, 1, 0, 0]",1,8192,1,3
1,3.0,1.3227048630000002,"[0, 0, 1, 0, 1]",1,8192,1,3
2,3.0,1.3764417459999994,"[0, 0, 1, 0, 1]",1,8192,1,3
4,3.0,1.4270602070000002,"[0, 0, 1, 0, 1]",1,8192,1,3
8,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
16,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
32,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
64,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
128,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
256,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
512,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
1024,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
2048,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
4096,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
8192,4.0,1.4774119579999994,"[1, 0, 1, 0, 1]",1,8192,1,3
0,1.0,0.00010242499999968402,"[0, 0, 1, 1, 1]",1,8192,0,4
1,2.0,0.00036295499999994263,"[1, 0, 1, 1, 1]",1,8192,0,4
2,2.0,0.0062984529999994265,"[1, 0, 1, 1, 1]",1,8192,0,4
4,2.0,0.01262756200000048,"[1, 0, 1, 1, 1]",1,8192,0,4
8,3.0,0.018656669000000292,"[1, 0, 1, 1, 0]",1,8192,0,4
16,3.0,0.026994156999998964,"[1, 0, 1, 1, 0]",1,8192,0,4
32,3.0,0.03370559899999925,"[1, 0, 1, 1, 0]",1,8192,0,4
64,3.0,0.04102662699999904,"[1, 0, 1, 1, 0]",1,8192,0,4
128,3.0,0.05052617399999981,"[1, 0, 1, 1, 0]",1,8192,0,4
256,3.0,0.06485661600000014,"[1, 0, 1, 1, 0]",1,8192,0,4
512,3.0,0.09491584799999941,"[1, 0, 1, 1, 0]",1,8192,0,4
1024,3.0,0.16945714899999942,"[1, 0, 1, 1, 0]",1,8192,0,4
2048,3.0,0.3477204569999994,"[1, 0, 1, 1, 0]",1,8192,0,4
4096,3.0,0.9155339199999997,"[1, 0, 1, 1, 0]",1,8192,0,4
8192,3.0,1.2755257159999989,"[1, 0, 1, 1, 0]",1,8192,0,4
0,4.0,1.3283258379999996,"[0, 1, 0, 1, 0]",1,8192,1,4
1,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
2,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
4,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
8,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
16,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
32,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
