,Fitness,Iteration,Restarts,State,Time,current_restart
0,25.0,0,1,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0001903600000332517,0
1,25.0,1,1,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.000565926000035688,0
2,25.0,2,1,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0009140199999819743,0
3,25.0,4,1,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0014162070000338645,0
4,27.0,8,1,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0029716100000314327,0
5,29.0,16,1,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.00473200299995824,0
6,33.0,32,1,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.00831562500002292,0
7,35.0,64,1,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.014001623000012842,0
8,40.0,128,1,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.02920054200001232,0
9,40.0,256,1,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.05669870899998841,0
10,40.0,512,1,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.10753289900003438,0
11,40.0,1024,1,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.21247463399993194,0
12,40.0,2048,1,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.5026293099999748,0
13,40.0,4096,1,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",1.3437825119999616,0
14,40.0,8192,1,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",1.8217539219999708,0
15,25.0,0,5,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0003405259999453847,0
16,25.0,1,5,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0010064719999718363,0
17,25.0,2,5,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0015590129999054625,0
18,25.0,4,5,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.002137293999908252,0
19,27.0,8,5,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0038501399999404384,0
20,29.0,16,5,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.006951089999915894,0
21,33.0,32,5,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.010404848000007405,0
22,35.0,64,5,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.016505811999991238,0
23,40.0,128,5,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.027700967999976456,0
24,40.0,256,5,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.052391232999980275,0
25,40.0,512,5,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.10195013800000652,0
26,40.0,1024,5,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.21664345299996057,0
27,40.0,2048,5,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.4853328460000057,0
28,40.0,4096,5,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",1.205391254999995,0
29,40.0,8192,5,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",1.7126633329999095,0
30,25.0,0,10,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0001877090001016768,0
31,25.0,1,10,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0005783620000556766,0
32,25.0,2,10,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0009455360000174551,0
33,25.0,4,10,"[0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0014762830001018301,0
34,27.0,8,10,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.002520172000004095,0
35,29.0,16,10,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.004149331000007805,0
36,33.0,32,10,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 0
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.0073154680000016015,0
37,35.0,64,10,"[0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.013154974000030961,0
38,40.0,128,10,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.024778602000083083,0
39,40.0,256,10,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.05687596500001746,0
40,40.0,512,10,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.1081108650000715,0
41,40.0,1024,10,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.22758521299999757,0
42,40.0,2048,10,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",0.5052282410000544,0
43,40.0,4096,10,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",1.2552957350000042,0
44,40.0,8192,10,"[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 1
 0 1 0 0 1 0 0 1 0 0 1 0 1]",1.737501830000042,0
