,Iteration,Fitness,Time,State,current_restart,Restarts
0,0,20.0,0.00025640399999993235,"[0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,1
1,1,20.0,0.0006678949999994188,"[0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,1
2,2,22.0,0.001230105999999509,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,1
3,4,24.0,0.001998611999999511,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,1
4,8,27.0,0.003503645999998639,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 1]",0,1
5,16,31.0,0.005208662999999447,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 1 0 1 1 0 1 0 0 1]",0,1
6,32,35.0,0.008627764999999954,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,1
7,64,39.0,0.01587066799999981,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,1
8,128,39.0,0.03273042000000004,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,1
9,256,39.0,0.05963900399999922,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,1
