Iteration,Fitness,Time,State,Restarts,max_iters,current_restart,run_number
0,0.0,0.000549957999999906,"[0, 1, 1, 0, 1]",1,8192,0,0
1,0.0,0.0008462399999999981,"[0, 1, 1, 0, 1]",1,8192,0,0
2,0.0,0.008561199999999936,"[0, 1, 1, 0, 1]",1,8192,0,0
4,0.0,0.013764590999999937,"[0, 1, 1, 0, 1]",1,8192,0,0
8,8.0,0.019009019999999932,"[1, 1, 1, 0, 0]",1,8192,0,0
16,8.0,0.02547246099999989,"[1, 1, 1, 0, 0]",1,8192,0,0
32,8.0,0.031990946999999936,"[1, 1, 1, 0, 0]",1,8192,0,0
64,8.0,0.03946502399999985,"[1, 1, 1, 0, 0]",1,8192,0,0
128,8.0,0.048589633999999826,"[1, 1, 1, 0, 0]",1,8192,0,0
256,8.0,0.06254345299999997,"[1, 1, 1, 0, 0]",1,8192,0,0
512,8.0,0.08769984999999991,"[1, 1, 1, 0, 0]",1,8192,0,0
1024,8.0,0.14026610399999995,"[1, 1, 1, 0, 0]",1,8192,0,0
2048,8.0,0.27423113499999996,"[1, 1, 1, 0, 0]",1,8192,0,0
4096,8.0,0.7520148539999998,"[1, 1, 1, 0, 0]",1,8192,0,0
8192,8.0,1.109568159,"[1, 1, 1, 0, 0]",1,8192,0,0
0,1.0,1.159619134,"[0, 1, 0, 1, 0]",1,8192,1,0
1,1.0,1.160278996,"[0, 1, 0, 1, 0]",1,8192,1,0
2,3.0,1.2072747189999997,"[0, 1, 0, 0, 0]",1,8192,1,0
4,5.0,1.25460698,"[0, 0, 0, 0, 0]",1,8192,1,0
8,5.0,1.3064977819999999,"[0, 0, 0, 0, 0]",1,8192,1,0
16,5.0,1.359284645,"[0, 0, 0, 0, 0]",1,8192,1,0
32,5.0,1.421688313,"[0, 0, 0, 0, 0]",1,8192,1,0
64,5.0,1.483969791,"[0, 0, 0, 0, 0]",1,8192,1,0
128,5.0,1.5695432309999997,"[0, 0, 0, 0, 0]",1,8192,1,0
256,5.0,1.6732991160000001,"[0, 0, 0, 0, 0]",1,8192,1,0
512,5.0,1.810955352,"[0, 0, 0, 0, 0]",1,8192,1,0
1024,5.0,2.09908351,"[0, 0, 0, 0, 0]",1,8192,1,0
2048,5.0,2.585960761,"[0, 0, 0, 0, 0]",1,8192,1,0
4096,5.0,3.696692723,"[0, 0, 0, 0, 0]",1,8192,1,0
8192,5.0,4.320134283,"[0, 0, 0, 0, 0]",1,8192,1,0
0,2.0,7.127499999981524e-05,"[1, 1, 0, 0, 1]",1,8192,0,1
1,2.0,0.0002739479999993577,"[1, 1, 0, 0, 1]",1,8192,0,1
2,2.0,0.007070125999999455,"[1, 1, 0, 0, 1]",1,8192,0,1
4,2.0,0.012593314999999272,"[1, 1, 0, 0, 1]",1,8192,0,1
8,8.0,0.0184128759999993,"[1, 1, 0, 0, 0]",1,8192,0,1
16,8.0,0.023427875999999515,"[1, 1, 0, 0, 0]",1,8192,0,1
32,8.0,0.029606106999999326,"[1, 1, 0, 0, 0]",1,8192,0,1
64,8.0,0.036385436999999854,"[1, 1, 0, 0, 0]",1,8192,0,1
128,8.0,0.04480379499999998,"[1, 1, 0, 0, 0]",1,8192,0,1
256,8.0,0.0565316539999996,"[1, 1, 0, 0, 0]",1,8192,0,1
512,8.0,0.08526847899999979,"[1, 1, 0, 0, 0]",1,8192,0,1
1024,8.0,0.14469087300000005,"[1, 1, 0, 0, 0]",1,8192,0,1
2048,8.0,0.31713910099999953,"[1, 1, 0, 0, 0]",1,8192,0,1
4096,8.0,0.8347137379999996,"[1, 1, 0, 0, 0]",1,8192,0,1
8192,8.0,1.1705132379999998,"[1, 1, 0, 0, 0]",1,8192,0,1
