,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,57.0,0.00011445599999948541,"[3, 4, 0, 1, 3]",1,8192,0
1,1,57.0,0.0004568659999995006,"[3, 4, 0, 1, 3]",1,8192,0
2,2,57.0,0.005434296999999866,"[3, 4, 0, 1, 3]",1,8192,0
3,4,57.0,0.010274906999999445,"[3, 4, 0, 1, 3]",1,8192,0
4,8,64.0,0.01699460199999958,"[3, 4, 1, 1, 3]",1,8192,0
5,16,64.0,0.022317412999999675,"[3, 4, 1, 1, 3]",1,8192,0
6,32,75.0,0.029078736999999855,"[3, 4, 2, 3, 3]",1,8192,0
7,64,75.0,0.037201028000000136,"[3, 4, 2, 3, 3]",1,8192,0
8,128,75.0,0.049385688000000094,"[3, 4, 2, 3, 3]",1,8192,0
9,256,75.0,0.06889364899999961,"[3, 4, 2, 3, 3]",1,8192,0
10,512,75.0,0.11710738399999965,"[3, 4, 2, 3, 3]",1,8192,0
11,1024,75.0,0.21563129799999992,"[3, 4, 2, 3, 3]",1,8192,0
12,2048,75.0,0.4120518879999997,"[3, 4, 2, 3, 3]",1,8192,0
13,4096,75.0,1.0318905460000005,"[3, 4, 2, 3, 3]",1,8192,0
14,8192,75.0,1.4454802229999997,"[3, 4, 2, 3, 3]",1,8192,0
15,0,31.0,1.5200013409999995,"[2, 1, 1, 2, 2]",1,8192,1
16,1,31.0,1.520632429,"[2, 1, 1, 2, 2]",1,8192,1
17,2,52.0,1.5770377729999998,"[2, 1, 4, 2, 2]",1,8192,1
18,4,52.0,1.6505899449999992,"[2, 1, 4, 2, 2]",1,8192,1
19,8,64.0,1.7145168929999999,"[4, 1, 4, 4, 2]",1,8192,1
20,16,64.0,1.7780019719999993,"[4, 1, 4, 4, 2]",1,8192,1
21,32,64.0,1.8435311000000008,"[4, 1, 4, 4, 2]",1,8192,1
22,64,64.0,1.908864339,"[4, 1, 4, 4, 2]",1,8192,1
23,128,64.0,1.9929122129999994,"[4, 1, 4, 4, 2]",1,8192,1
24,256,64.0,2.1105040300000004,"[4, 1, 4, 4, 2]",1,8192,1
25,512,64.0,2.3113716690000006,"[4, 1, 4, 4, 2]",1,8192,1
26,1024,64.0,2.6093426479999993,"[4, 1, 4, 4, 2]",1,8192,1
27,2048,64.0,3.1872385250000006,"[4, 1, 4, 4, 2]",1,8192,1
28,4096,64.0,4.431954474,"[4, 1, 4, 4, 2]",1,8192,1
29,8192,64.0,5.152733876,"[4, 1, 4, 4, 2]",1,8192,1
