,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.00011574899999899912,21.0,1,8192,0
1,1,0.0004902509999986648,21.0,1,8192,0
2,2,0.005369481999998982,21.0,1,8192,0
3,3,0.010509076000001727,51.0,1,8192,0
4,4,0.010619469000001658,51.0,1,8192,0
5,5,0.01547912999999923,53.0,1,8192,0
6,6,0.015588212000000823,57.0,1,8192,0
7,7,0.015682061999999775,57.0,1,8192,0
8,8,0.015752209999998712,71.0,1,8192,0
9,9,0.02081851599999851,71.0,1,8192,0
10,10,0.02091253200000054,71.0,1,8192,0
11,11,0.020988648999999526,71.0,1,8192,0
12,12,0.021059432000001266,71.0,1,8192,0
13,13,0.02116475700000109,71.0,1,8192,0
14,14,0.02124456199999969,71.0,1,8192,0
15,15,0.021400556999999765,75.0,1,8192,0
16,16,0.021618679999999557,85.0,1,8192,0
17,17,0.027848863999999196,85.0,1,8192,0
18,18,0.027936598000000146,85.0,1,8192,0
19,19,0.028007337999998327,85.0,1,8192,0
20,20,0.02807713900000053,85.0,1,8192,0
21,21,0.028146932999998597,85.0,1,8192,0
22,22,0.02821531200000038,85.0,1,8192,0
23,23,0.028283172000001855,85.0,1,8192,0
24,24,0.028347221000000644,85.0,1,8192,0
25,25,0.028414422000000883,85.0,1,8192,0
26,26,0.028481882000001235,85.0,1,8192,0
27,27,0.0285489400000003,85.0,1,8192,0
28,28,0.028612690999999302,85.0,1,8192,0
29,29,0.028680056999998982,85.0,1,8192,0
30,30,0.028744453000001613,85.0,1,8192,0
31,31,0.02881255300000163,85.0,1,8192,0
32,32,0.028879306000000327,85.0,1,8192,0
33,33,0.03426554800000048,85.0,1,8192,0
34,34,0.03436524700000021,85.0,1,8192,0
35,35,0.034484976000001666,85.0,1,8192,0
36,36,0.034565370999999345,85.0,1,8192,0
37,37,0.034637670999998704,85.0,1,8192,0
38,38,0.0347071810000017,85.0,1,8192,0
39,39,0.034776085000000734,85.0,1,8192,0
40,40,0.03484421099999935,85.0,1,8192,0
41,41,0.03491258700000088,85.0,1,8192,0
42,42,0.03498164100000167,85.0,1,8192,0
43,43,0.03504993299999981,85.0,1,8192,0
44,44,0.035118940000000265,85.0,1,8192,0
