Iteration,Fitness,Time,State,current_restart,Restarts,run_number
0,0.41123449312693866,0.0004309620000000347,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],0,1,0
1,0.41123449312693866,0.0009030660000000079,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],0,1,0
2,0.41123449312693866,0.001248640000000023,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],0,1,0
4,0.44796911244940907,0.0018833680000001074,[15  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 18 12],0,1,0
8,0.48226882784461034,0.002941988999999978,[15  1 19  8 10 16  6 13  4  2  5 14  9  7 18 11  3  0 17 12],0,1,0
16,0.5653061644034508,0.004814006000000148,[18  1  3 17 10 16  6 13  4 12  5 14  9  7  0 11 19 15  8  2],0,1,0
32,0.5757528579142592,0.007717093000000119,[18  7  3 17 10 16  6 13  4 12  5 14  9  1  0 11 19 15  8  2],0,1,0
64,0.6098124723810568,0.013026790000000066,[18  7 19 17 10 16  6 13  4 12 15 14  9  1  0 11  3  5  8  2],0,1,0
128,0.7314071093674173,0.02260850000000003,[18  7  0 17 10 16  6 13  8 12 15  9 14  1 19 11  5  3  4  2],0,1,0
256,0.7762072879063684,0.04875973499999997,[18  7  0 13 16  6 10 17 14 12 15  9  8  4 19 11  5  3  1  2],0,1,0
512,0.8151381516399004,0.09686598700000015,[18  7  2 13 16  6 10 17 14 12  9 15  8  4  1 11  5  3 19  0],0,1,0
1024,0.9686007160149902,0.2005170490000001,[ 7 18  2  6 16 13 10 17 14  8  4  1 15  9 12  3  5 11 19  0],0,1,0
2048,0.9686007160149902,0.4972662379999999,[ 7 18  2  6 16 13 10 17 14  8  4  1 15  9 12  3  5 11 19  0],0,1,0
4096,0.9686007160149902,1.288146534,[ 7 18  2  6 16 13 10 17 14  8  4  1 15  9 12  3  5 11 19  0],0,1,0
0,0.410629068465503,1.29394127,[13  8  1 11 14 10  6 16  3  2  5 12  7  0 17 19  9 18 15  4],1,1,0
1,0.410888748955837,1.294403989,[ 4  8  1 11 14 10  6 16  3  2  5 12  7  0 17 19  9 18 15 13],1,1,0
2,0.410888748955837,1.294754029,[ 4  8  1 11 14 10  6 16  3  2  5 12  7  0 17 19  9 18 15 13],1,1,0
4,0.41535001846595254,1.295274999,[ 4  8 15 11 14 10  6 16  3  2  5 12  7  0 17 19  9 18  1 13],1,1,0
8,0.4564126480675249,1.2961022340000001,[ 4  8 15 11 14 10  6 16  3  9  5 12  7  0 17 13  2 18  1 19],1,1,0
16,0.48407599130992707,1.297427254,[ 4  8 15 11 14 10  6 16  3  9  5 12  7  1 17 13  2 18  0 19],1,1,0
32,0.5028585092292162,1.300109708,[ 4  3 15 11 19  5  6 16  8  9 10 12  0  1 14 13  2 18  7 17],1,1,0
64,0.5381612045636588,1.3050671710000001,[ 4  3 12 15  5 19  6 16  8  9 10  0 11  1 14 13  7 18  2 17],1,1,0
128,0.6116011285323791,1.31760433,[ 8  3 12 15  7  2  6 10  4  1 19  5 11  9 14 13  0 18 16 17],1,1,0
256,0.7534967006420081,1.3372217640000001,[15  3 19  0  7 18  2  4 13  1  5 11 12  9 14 17 16  6 10  8],1,1,0
512,0.8098887847104762,1.382026942,[15  1 19  0  7 18  2  4 13  5 11  3 12  9 14 17 10  6 16  8],1,1,0
1024,0.8287865348825784,1.477455694,[15  1 19  0  7 18  2 13  4 11  5  3 12  9 14 17 10  6 16  8],1,1,0
2048,0.8287865348825784,1.7258562350000002,[15  1 19  0  7 18  2 13  4 11  5  3 12  9 14 17 10  6 16  8],1,1,0
4096,0.8287865348825784,2.418746203,[15  1 19  0  7 18  2 13  4 11  5  3 12  9 14 17 10  6 16  8],1,1,0
0,0.5144117474007559,0.00022241000000011724,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],0,1,1
1,0.5144117474007559,0.0006179920000004557,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],0,1,1
2,0.5144117474007559,0.000977933000000597,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],0,1,1
4,0.5144117474007559,0.0014528500000006161,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],0,1,1
8,0.5321844428675676,0.0023067660000002377,[ 3 16  6  2 10 14  4 17  7  1 13  9 19 18  0 15  8 12 11  5],0,1,1
16,0.5365049279672344,0.0035784110000003366,[ 3 16  6  2 10 14 15 17  7  1 13  9 19 18  0  4  8 12 11  5],0,1,1
32,0.5461765646281667,0.00640820799999986,[ 3  9  6  2 10 14 15  8  7  1 13  4 19 18  0 16 17 12 11  5],0,1,1
64,0.612379754403245,0.011190369000000366,[ 3  9  6  2 10 14 15  8  4  1 13 19  7 18  0 16 17 12 11  5],0,1,1
128,0.7397726334810979,0.020429270000000166,[11  2  6 17 10 16 15  8  4 13  1 19  7 18  0 14  9 12  3  5],0,1,1
