Iteration,Fitness,Time,State,Restarts,max_iters,current_restart,run_number
0,3.2018159293929243,0.0002677620000000047,"[2, 1, 0]",1,4096,0,0
1,3.2018159293929243,0.0007133849999998443,"[2, 1, 0]",1,4096,0,0
2,3.2018159293929243,0.006935731999999861,"[2, 1, 0]",1,4096,0,0
4,3.2018159293929243,0.01142315599999999,"[2, 1, 0]",1,4096,0,0
8,3.2018159293929243,0.01779744399999994,"[2, 1, 0]",1,4096,0,0
16,3.2018159293929243,0.025201388999999796,"[2, 1, 0]",1,4096,0,0
32,3.2018159293929243,0.034995382999999824,"[2, 1, 0]",1,4096,0,0
64,3.2018159293929243,0.04988655499999983,"[2, 1, 0]",1,4096,0,0
128,3.2018159293929243,0.06999440499999987,"[2, 1, 0]",1,4096,0,0
256,3.2018159293929243,0.0979301079999999,"[2, 1, 0]",1,4096,0,0
512,3.2018159293929243,0.15229266299999988,"[2, 1, 0]",1,4096,0,0
1024,3.2018159293929243,0.2943020809999999,"[2, 1, 0]",1,4096,0,0
2048,3.2018159293929243,0.5576867019999998,"[2, 1, 0]",1,4096,0,0
4096,3.2018159293929243,1.278594458,"[2, 1, 0]",1,4096,0,0
0,3.2018159293929243,1.3421744039999999,"[2, 1, 0]",1,4096,1,0
1,3.2018159293929243,1.342720874,"[2, 1, 0]",1,4096,1,0
2,3.2018159293929243,1.408461657,"[2, 1, 0]",1,4096,1,0
4,3.2018159293929243,1.4648689879999999,"[2, 1, 0]",1,4096,1,0
8,3.2018159293929243,1.5114855329999999,"[2, 1, 0]",1,4096,1,0
16,3.2018159293929243,1.5650317360000001,"[2, 1, 0]",1,4096,1,0
32,3.2018159293929243,1.614434226,"[2, 1, 0]",1,4096,1,0
64,3.2018159293929243,1.6854553679999997,"[2, 1, 0]",1,4096,1,0
128,3.2018159293929243,1.7605168439999999,"[2, 1, 0]",1,4096,1,0
256,3.2018159293929243,1.877864521,"[2, 1, 0]",1,4096,1,0
512,3.2018159293929243,2.063187085,"[2, 1, 0]",1,4096,1,0
1024,3.2018159293929243,2.3587840799999995,"[2, 1, 0]",1,4096,1,0
2048,3.2018159293929243,2.9490472920000004,"[2, 1, 0]",1,4096,1,0
4096,3.2018159293929243,4.245585213,"[2, 1, 0]",1,4096,1,0
