Iteration,Fitness,Time,State,schedule,Temperature,run_number
0,535.0,0.00030970099999194645,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",1,1,0
1,535.0,0.001034316999991347,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",1,1,0
2,549.0,0.0015882430000004888,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",1,1,0
4,553.0,0.002366363999996679,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 4 2 0 0 4 0 4 1 4]",1,1,0
8,553.0,0.0034627200000016956,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 4 2 0 0 4 0 4 1 4]",1,1,0
16,592.0,0.006544985999994424,"[4 2 3 3 3 1 3 2 4 0 0 4 2 2 4 1 1 0 1 4 4 1 3 4 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 4 2 0 0 4 0 4 1 4]",1,1,0
32,655.0,0.01172100399999465,"[4 2 4 3 3 1 3 2 4 4 0 4 2 2 4 1 1 0 1 4 4 1 4 4 2 3 0 1 3 3 3 0 1 1 3 0 3
 4 4 3 4 4 2 0 0 4 0 4 1 4]",1,1,0
64,833.0,0.021536797999999635,"[4 4 4 3 3 4 3 2 4 4 0 4 2 2 4 4 1 0 4 4 4 1 4 4 4 3 3 1 3 3 3 1 1 1 3 3 4
 4 4 3 4 4 2 2 1 4 0 4 1 4]",1,1,0
128,926.0,0.039783670999995024,"[4 4 4 3 3 4 3 2 4 4 4 4 2 2 4 4 1 0 4 4 4 2 4 4 4 4 3 1 3 4 3 2 1 2 3 4 4
 4 4 4 4 4 2 2 4 4 1 4 1 4]",1,1,0
256,936.0,0.07690309599999523,"[4 4 4 3 3 4 3 2 4 4 4 4 2 2 4 4 1 0 4 4 4 2 4 4 4 4 3 1 3 4 3 2 1 2 3 4 4
 4 4 4 4 4 2 3 4 4 1 4 1 4]",1,1,0
512,936.0,0.16854912999998817,"[4 4 4 3 3 4 3 2 4 4 4 4 2 2 4 4 1 0 4 4 4 2 4 4 4 4 3 1 3 4 3 2 1 2 3 4 4
 4 4 4 4 4 2 3 4 4 1 4 1 4]",1,1,0
1024,936.0,0.4770615460000016,"[4 4 4 3 3 4 3 2 4 4 4 4 2 2 4 4 1 0 4 4 4 2 4 4 4 4 3 1 3 4 3 2 1 2 3 4 4
 4 4 4 4 4 2 3 4 4 1 4 1 4]",1,1,0
2048,936.0,1.1632429269999989,"[4 4 4 3 3 4 3 2 4 4 4 4 2 2 4 4 1 0 4 4 4 2 4 4 4 4 3 1 3 4 3 2 1 2 3 4 4
 4 4 4 4 4 2 3 4 4 1 4 1 4]",1,1,0
4096,936.0,3.1048518479999956,"[4 4 4 3 3 4 3 2 4 4 4 4 2 2 4 4 1 0 4 4 4 2 4 4 4 4 3 1 3 4 3 2 1 2 3 4 4
 4 4 4 4 4 2 3 4 4 1 4 1 4]",1,1,0
8192,936.0,4.580453793999993,"[4 4 4 3 3 4 3 2 4 4 4 4 2 2 4 4 1 0 4 4 4 2 4 4 4 4 3 1 3 4 3 2 1 2 3 4 4
 4 4 4 4 4 2 3 4 4 1 4 1 4]",1,1,0
