Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,run_number
0,0.0,0.0001063659999971378,"[4, 0, 3, 3, 3]",geometric,10,0.99,0.001,9.99998930986548,10,8192,0
1,0.0,0.0005911659999995322,"[4, 4, 3, 3, 3]",geometric,10,0.99,0.001,9.99994058600805,10,8192,0
2,0.0,0.002898104000003343,"[4, 4, 3, 3, 4]",geometric,10,0.99,0.001,9.999708735056462,10,8192,0
4,71.0,0.005193714999997212,"[0, 4, 3, 3, 4]",geometric,10,0.99,0.001,9.999478027822448,10,8192,0
8,71.0,0.007664875000003235,"[0, 4, 3, 3, 4]",geometric,10,0.99,0.001,9.99922968399061,10,8192,0
16,52.0,0.010621923999998728,"[1, 4, 0, 2, 4]",geometric,10,0.99,0.001,9.998932517943848,10,8192,0
32,67.0,0.01468519800000223,"[2, 3, 3, 2, 4]",geometric,10,0.99,0.001,9.99852419719066,10,8192,0
64,71.0,0.021727738999999247,"[2, 4, 2, 3, 3]",geometric,10,0.99,0.001,9.997816527669404,10,8192,0
128,91.0,0.03200708299999633,"[4, 4, 4, 3, 1]",geometric,10,0.99,0.001,9.99678369800245,10,8192,0
256,89.0,0.0478773480000001,"[4, 4, 4, 2, 1]",geometric,10,0.99,0.001,9.99518932323004,10,8192,0
512,93.0,0.08964112399999635,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.990994823071564,10,8192,0
1024,93.0,0.18292141999999956,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.981632671562794,10,8192,0
2048,93.0,0.43243257700000015,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.956633379607172,10,8192,0
4096,93.0,1.240669742999998,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.876082701088194,10,8192,0
8192,93.0,1.8899517099999983,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.81184612123357,10,8192,0
0,57.0,0.00016069000000129563,"[3, 4, 0, 1, 3]",geometric,10,0.99,0.001,9.999983850128357,10,8192,1
1,57.0,0.0005531170000026009,"[3, 4, 0, 1, 3]",geometric,10,0.99,0.001,9.99994441003835,10,8192,1
2,57.0,0.0037598340000002395,"[3, 4, 0, 1, 3]",geometric,10,0.99,0.001,9.999622131194887,10,8192,1
4,58.0,0.007707657000004531,"[3, 4, 0, 1, 4]",geometric,10,0.99,0.001,9.999225384588065,10,8192,1
8,63.0,0.010374110000000769,"[3, 4, 1, 1, 2]",geometric,10,0.99,0.001,9.998957421455467,10,8192,1
16,58.0,0.014032464000003131,"[1, 3, 2, 4, 2]",geometric,10,0.99,0.001,9.998589789683484,10,8192,1
32,70.0,0.019969418000002293,"[0, 3, 4, 4, 4]",geometric,10,0.99,0.001,9.997993207810698,10,8192,1
64,66.0,0.026947427000003188,"[3, 3, 3, 1, 1]",geometric,10,0.99,0.001,9.997292059795834,10,8192,1
128,90.0,0.037164362000005724,"[4, 4, 4, 2, 2]",geometric,10,0.99,0.001,9.996265554279082,10,8192,1
256,93.0,0.056319802000004415,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.994341272411123,10,8192,1
512,93.0,0.09898344200000508,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.990056778301854,10,8192,1
1024,93.0,0.1840663280000001,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.981517816471904,10,8192,1
2048,93.0,0.425646718000003,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.957312446772663,10,8192,1
4096,93.0,1.1680046170000011,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.883297926741829,10,8192,1
8192,93.0,1.7382722420000007,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.82681499644644,10,8192,1
0,28.0,0.00011174299999794357,"[0, 0, 3, 2, 3]",geometric,10,0.99,0.001,9.999988769459513,10,8192,2
1,44.0,0.00047999499999917816,"[4, 0, 3, 2, 3]",geometric,10,0.99,0.001,9.99995175900678,10,8192,2
2,30.0,0.002847104000004208,"[4, 0, 1, 2, 3]",geometric,10,0.99,0.001,9.999713860579767,10,8192,2
4,32.0,0.005419097000000761,"[4, 0, 1, 3, 3]",geometric,10,0.99,0.001,9.999455377382501,10,8192,2
8,38.0,0.008002832999999043,"[4, 0, 2, 3, 2]",geometric,10,0.99,0.001,9.999195720750695,10,8192,2
16,60.0,0.010974437999998088,"[4, 4, 0, 1, 2]",geometric,10,0.99,0.001,9.998897092947637,10,8192,2
32,72.0,0.015136241000000439,"[4, 4, 2, 1, 0]",geometric,10,0.99,0.001,9.998478872647059,10,8192,2
64,92.0,0.020346699000000967,"[4, 4, 4, 4, 0]",geometric,10,0.99,0.001,9.997955297484317,10,8192,2
128,83.0,0.030265009000004284,"[3, 4, 4, 0, 3]",geometric,10,0.99,0.001,9.996958727510112,10,8192,2
256,93.0,0.04796125000000018,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.995180894857375,10,8192,2
512,93.0,0.08194404500000019,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.991767738632737,10,8192,2
1024,93.0,0.1613912709999994,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.983792783128182,10,8192,2
2048,93.0,0.39591382599999747,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.960288390767936,10,8192,2
4096,93.0,1.081320368,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.891912065172397,10,8192,2
8192,93.0,1.645134057,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.836017890158145,10,8192,2
0,21.0,0.00016208299999931342,"[2, 0, 1, 3, 0]",geometric,10,0.99,0.001,9.999983710127406,10,8192,3
1,21.0,0.0006193830000000844,"[2, 0, 1, 3, 0]",geometric,10,0.99,0.001,9.999937750122033,10,8192,3
2,19.0,0.004018350999999143,"[2, 0, 1, 2, 0]",geometric,10,0.99,0.001,9.999596150383672,10,8192,3
4,41.0,0.006462307999996142,"[0, 3, 1, 2, 0]",geometric,10,0.99,0.001,9.999350537433108,10,8192,3
8,76.0,0.009347742999999298,"[3, 3, 4, 2, 2]",geometric,10,0.99,0.001,9.99906056456349,10,8192,3
16,80.0,0.012429756999999597,"[4, 3, 4, 3, 0]",geometric,10,0.99,0.001,9.998750845701547,10,8192,3
32,76.0,0.017187976999998966,"[4, 3, 3, 4, 1]",geometric,10,0.99,0.001,9.99827269978056,10,8192,3
64,91.0,0.026369238000000905,"[4, 4, 4, 3, 1]",geometric,10,0.99,0.001,9.997350154165172,10,8192,3
128,90.0,0.03545776299999659,"[4, 4, 4, 2, 2]",geometric,10,0.99,0.001,9.996437010627838,10,8192,3
256,93.0,0.05507671600000208,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.994466136812134,10,8192,3
512,93.0,0.10072275200000291,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.989882147145632,10,8192,3
1024,93.0,0.20213448199999817,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.979705427072656,10,8192,3
2048,93.0,0.40882941399999595,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.958995569511305,10,8192,3
4096,93.0,1.1266250309999961,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.887409035000813,10,8192,3
8192,93.0,1.797366445999998,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.820980420719671,10,8192,3
0,20.0,0.00012411099999809494,"[2, 1, 0, 0, 2]",geometric,10,0.99,0.001,9.999987526435449,10,8192,4
1,40.0,0.0005605579999965471,"[2, 3, 0, 0, 2]",geometric,10,0.99,0.001,9.999943662197046,10,8192,4
2,42.0,0.003874057999993852,"[2, 3, 0, 0, 4]",geometric,10,0.99,0.001,9.99961065173964,10,8192,4
4,40.0,0.006513485999995794,"[2, 3, 0, 0, 2]",geometric,10,0.99,0.001,9.999345394207602,10,8192,4
8,46.0,0.009119049999995354,"[3, 3, 0, 0, 4]",geometric,10,0.99,0.001,9.999083546845236,10,8192,4
16,83.0,0.01242962099999545,"[3, 4, 4, 0, 3]",geometric,10,0.99,0.001,9.998750859368297,10,8192,4
32,59.0,0.016588456999997447,"[1, 4, 1, 2, 4]",geometric,10,0.99,0.001,9.998332943327929,10,8192,4
64,90.0,0.02218234699999755,"[4, 4, 4, 3, 0]",geometric,10,0.99,0.001,9.997770848119146,10,8192,4
128,85.0,0.03264408799999785,"[4, 4, 3, 4, 0]",geometric,10,0.99,0.001,9.996719697656548,10,8192,4
256,93.0,0.05349962399999697,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.99462455339691,10,8192,4
512,93.0,0.08882623299999892,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.991076648937224,10,8192,4
1024,93.0,0.17136073399999674,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.982792492633125,10,8192,4
2048,93.0,0.4261582449999963,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.957261256180253,10,8192,4
4096,93.0,1.2174420979999994,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.878388498597936,10,8192,4
8192,93.0,1.888109133999997,"[4, 4, 4, 4, 1]",geometric,10,0.99,0.001,9.812027823663309,10,8192,4
