Iteration,Fitness,Time,State,schedule,Temperature,run_number
0,535.0,9.750899999971807e-05,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",10,10,0
1,535.0,0.0004042369999996964,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",10,10,0
2,549.0,0.0006900180000002365,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",10,10,0
4,553.0,0.0010433350000003117,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 4 2 0 0 4 0 4 1 4]",10,10,0
8,545.0,0.0015363950000004678,"[4 2 3 3 3 1 3 2 4 0 0 4 1 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 4 2 0 0 4 0 4 1 4]",10,10,0
16,584.0,0.002361889000001227,"[4 2 3 3 3 1 3 2 4 0 0 4 1 2 4 1 1 0 1 4 4 1 3 4 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 4 2 0 0 4 0 4 1 4]",10,10,0
32,635.0,0.004033366999999899,"[2 2 4 3 3 1 3 2 4 4 0 4 1 0 4 1 1 0 1 4 4 1 4 3 2 3 0 1 3 3 3 0 1 1 3 0 3
 4 4 3 4 4 2 0 0 4 0 4 1 4]",10,10,0
64,784.0,0.00685733899999974,"[2 2 4 2 3 4 3 0 4 4 0 4 1 0 4 4 1 0 4 4 2 1 4 3 4 3 3 1 3 3 3 1 1 1 3 3 4
 4 4 3 3 4 2 2 1 4 0 4 1 4]",10,10,0
128,929.0,0.014148024000000703,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 2 2 4 3 4 4 3 3 3 4 4 2 1 1 3 4 4
 4 4 4 4 4 2 2 3 4 2 4 4 4]",10,10,0
256,975.0,0.02527932799999988,"[3 2 3 3 2 4 4 0 4 4 4 4 1 1 4 4 3 0 4 4 3 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
512,979.0,0.055307677000000055,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
1024,979.0,0.12446854500000093,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
2048,979.0,0.315133427000001,"[3 2 3 3 2 4 4 0 4 4 4 4 1 2 4 4 3 0 4 4 4 2 4 3 4 4 3 3 3 4 4 1 1 2 4 4 4
 4 4 4 4 4 4 4 3 4 2 4 4 4]",10,10,0
