Iteration,Fitness,Time,State,schedule,Temperature,run_number
0,25.0,0.0002324529999988556,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",1,1,0
1,25.0,0.0006519199999992509,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",1,1,0
2,25.0,0.0010754450000014515,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",1,1,0
4,25.0,0.0019495059999989905,"[0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",1,1,0
8,26.0,0.003539722999999384,"[1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 0 1 1 0
 1 0 0 0 1 0 1 1 1 1 1 0 1]",1,1,0
16,34.0,0.005770382000001462,"[1 0 1 0 1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 0 1 1 0
 1 0 1 0 1 0 1 1 1 1 1 0 1]",1,1,0
32,36.0,0.009728102000000405,"[1 0 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 1 1 0
 1 0 1 0 1 0 1 1 1 0 1 0 1]",1,1,0
64,36.0,0.017939302999998574,"[1 0 1 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0
 1 0 1 0 1 0 1 1 0 0 1 0 1]",1,1,0
128,40.0,0.03289355500000113,"[1 0 1 0 1 0 0 0 1 0 1 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0 1 0
 1 0 1 0 1 0 0 1 0 1 1 0 1]",1,1,0
256,44.0,0.06308667100000065,"[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 0 1 0 1 0
 1 0 1 0 0 1 0 1 0 1 1 0 1]",1,1,0
