Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,run_number
0,3.0,0.0001053230000014338,"[0, 1, 1, 0, 1]",geometric,10,0.99,0.001,9.999989414690372,10,8192,0
1,1.0,0.0005361510000003733,"[0, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.999946115168997,10,8192,0
2,1.0,0.0036525480000015875,"[0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.999632913396583,10,8192,0
4,2.0,0.0066708700000006615,"[1, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.999329577634962,10,8192,0
8,2.0,0.009654773000001171,"[1, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.99902970996379,10,8192,0
16,1.0,0.013117068000001453,"[0, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.998681777505032,10,8192,0
32,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
64,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
128,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
256,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
512,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
1024,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
2048,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
4096,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
8192,4.0,0.017416639000000345,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.998249722477553,10,8192,0
0,2.0,8.78010000011642e-05,"[1, 1, 0, 0, 1]",geometric,10,0.99,0.001,9.99999117570851,10,8192,1
1,2.0,0.00036593499999959533,"[1, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.999963222371125,10,8192,1
2,1.0,0.0031570950000006093,"[0, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.999682706383155,10,8192,1
4,1.0,0.0068288570000003546,"[0, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.999313700487972,10,8192,1
8,2.0,0.011122460000001055,"[0, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.998882217891326,10,8192,1
16,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
32,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
64,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
128,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
256,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
512,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
1024,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
2048,4.0,0.015652551000000514,"[1, 0, 1, 0, 1]",geometric,10,0.99,0.001,9.99842698978589,10,8192,1
