Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,run_number
0,0.0,6.482899999937786e-05,"[0, 1, 1, 0, 1]",geometric,10,0.99,0.001,9.999993484469892,10,8192,0
1,0.0,0.0003405139999976825,"[0, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.999965777257932,10,8192,0
2,0.0,0.002491219999999572,"[0, 0, 1, 1, 1]",geometric,10,0.99,0.001,9.99974962715753,10,8192,0
4,1.0,0.004731358000000796,"[1, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.999524493936228,10,8192,0
8,2.0,0.00730886799999908,"[1, 1, 0, 1, 1]",geometric,10,0.99,0.001,9.999265461197595,10,8192,0
16,0.0,0.009892257000000626,"[0, 1, 1, 0, 1]",geometric,10,0.99,0.001,9.999005844368554,10,8192,0
32,2.0,0.012831781999999237,"[1, 1, 0, 0, 1]",geometric,10,0.99,0.001,9.99871044596764,10,8192,0
64,5.0,0.017116134999998422,"[0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.998279918898277,10,8192,0
128,1.0,0.022380214999998316,"[1, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.99775096617335,10,8192,0
256,8.0,0.031466689999998465,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.996837991993159,10,8192,0
512,8.0,0.04941598499999955,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.995034760630473,10,8192,0
1024,8.0,0.09113727499999769,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.99084459140992,10,8192,0
2048,8.0,0.20412431399999775,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.97950585012997,10,8192,0
4096,8.0,0.508295442999998,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.94904486483678,10,8192,0
8192,8.0,1.545179522999998,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.845903888719752,10,8192,0
0,2.0,0.00011658100000033755,"[1, 1, 0, 0, 1]",geometric,10,0.99,0.001,9.999988283224823,10,8192,1
1,1.0,0.0003903039999997304,"[1, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.999960773214088,10,8192,1
2,0.0,0.002467769999999092,"[0, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.99975198390256,10,8192,1
4,0.0,0.005850763999998065,"[0, 0, 0, 0, 1]",geometric,10,0.99,0.001,9.999411995856125,10,8192,1
8,2.0,0.008354929999999428,"[0, 0, 1, 0, 0]",geometric,10,0.99,0.001,9.99916033672837,10,8192,1
16,8.0,0.011262931999997505,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.998868101571585,10,8192,1
32,2.0,0.01512088999999861,"[1, 1, 0, 0, 1]",geometric,10,0.99,0.001,9.998480415239552,10,8192,1
