Iteration,Fitness,Time,State,schedule,Temperature,run_number
0,0.0,0.00020068099999992484,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",10,10,0
1,0.0,0.0005562370000005146,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",10,10,0
2,0.0,0.000842179000000165,"[0 1 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",10,10,0
4,0.0,0.0011837760000004138,"[0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0
 1 1 0 0 1 0 1 1 1 1 1 0 1]",10,10,0
8,3.0,0.0016238780000001896,"[1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 0 1 0 1 0 1 1 1
 1 0 0 0 1 0 1 1 1 1 1 0 1]",10,10,0
16,1.0,0.0022788350000002566,"[1 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 1 1 0 0 0 1 1 1 0 1 1 1
 1 0 0 0 0 0 1 1 1 1 1 0 1]",10,10,0
32,1.0,0.003268831000000638,"[1 0 1 1 0 0 1 1 1 1 1 0 0 1 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0
 1 0 1 1 0 0 1 1 1 1 0 0 1]",10,10,0
64,4.0,0.005505004000000646,"[1 1 1 1 0 0 1 1 1 1 0 0 0 1 0 0 0 1 1 0 0 1 0 1 1 1 1 1 0 1 1 0 0 0 0 1 1
 1 1 1 1 0 1 1 0 1 1 0 0 1]",10,10,0
128,4.0,0.009939337000000492,"[1 1 1 1 0 0 0 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 1 1 1 0 0 0 0 1 0 0 0 1 1]",10,10,0
256,0.0,0.019399509000000315,"[0 1 0 1 1 0 1 1 0 1 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 0 1 0 0 0
 1 0 0 0 0 1 0 1 0 0 1 0 1]",10,10,0
