Iteration,Fitness,Time,State,schedule,Temperature,run_number
0,5525.030464727642,0.0002483570000322288,"[28 11 10 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25  5 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",1,1,0
1,5337.02336093731,0.0007724010000060844,"[28 11  5 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",1,1,0
2,5337.02336093731,0.0012311120000276787,"[28 11  5 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",1,1,0
4,5280.463368000276,0.001942216000031749,"[28 11  5 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 25 29 15 30 32 16
 42 20 43  8 13 48 10 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",1,1,0
8,5177.237142706627,0.0032966590000000906,"[39 11  5 41 19 27 38 31 22  4 33 35 26 34 18  7 14 45 25 29 15 30 32 16
 42 20 43  8 13 48 10 17 40 49  1 12 37 24  6 23 36 21  2  9 28 46  3  0
 47 44]",1,1,0
16,4755.668992466949,0.007100261999994473,"[39 11  5 41 19 27 38 31 47  4 33 35 26 34 18  7 14 45 28  2 15 30 32 16
 42 20 43  8 13 48 10 17 40 49  1 12 37 24  6 23 36 21 29  9 25 46  3  0
 22 44]",1,1,0
32,4640.508964215981,0.012194210000018302,"[39 11  5 41 19 27 38 31 47  4 32 35 26 34 18 20 14 45 28  2 15 30 33 16
 42  7 43  8 13 48 10 17 40 49  1 12 24 37  6 23 36 21 29  9 25 46  3  0
 22 44]",1,1,0
64,4193.558821783226,0.022524091000036606,"[39 11  5 41 47 27 38  3 19  9 32 35  4 34 18 20 12 45 28  2 15 40 33 16
 49  7 43  8 13 48 10 17 30 42  1 14 24  6 37 23 36 21 29 26 25 46 31  0
 22 44]",1,1,0
128,3823.946186519237,0.037285246000010375,"[39 11  5 27 47 42 38  3 19 41 32 35  4 34 18 20 49 45 37  2 15 40 14 12
 43  7 16  8 13 48 10 26 30  9  1 33 17  6 28 23 36 21 29 24 25 46 31  0
 22 44]",1,1,0
256,3228.9937668010107,0.07533915300001581,"[12 11  5  9 47 42 38  3 19 41 43 35  4 18 49 20 36 24 37  2 15 25 27 39
 30 16 17 45 13 48 10 26  0 14  8 33  7 23 28  6 34 32 29  1 40 46 31 21
 44 22]",1,1,0
512,2880.6188558853605,0.1462454530000059,"[12 11 40  9 13 15 38  3  5 41 43 35  4 22 49 20 36 24  2 28 27 31 42  1
 23 16 17 45 47 48 10 26  0 14  8 33  7 30 37  6 34 32 18 29 19 46 25 21
 44 39]",1,1,0
1024,2493.1868693209594,0.3353064960000438,"[12  5 11 25 45 15 38  3 40 35 43 41 20 22 44  4 36 16 24  2 13  9  1 21
 23 28 17 42 47 48 10 33  0 14  8 26  7 30 37  6 34 32 18 29 19 31 46 27
 39 49]",1,1,0
2048,2330.7274786012235,0.7571850950000112,"[12  5 11 25 42 15 46  3 40 21 43 41 39 22 44  4 29 16 35 24 17  9  1 23
  2 28 13 45 47 48 10 33  0 14  8 26  7 30 37  6 34 32 18 36 19 31 38 27
 49 20]",1,1,0
4096,2119.8782461531114,1.8225891069999989,"[27  5 11 25 42 15 19 31 46 21 43 41 39 22 44  4 29 16 35 24 23 33 26 17
 28  2 10 48 47 45 13  9  1  8  0 14  7 30 37  6 34 32 18 36 40  3 38 12
 49 20]",1,1,0
8192,2110.6690470782783,5.44950172800003,"[27  5 11 46 42 15 19 31 25 21 43 41 39 22 44  4 29 16 35 24 23 26 33 17
 28  2 10 48 47 45 13  9  1  8  0 14  7 30 37  6 34 32 18 36 40  3 38 12
 20 49]",1,1,0
0,5525.030464727642,0.0004416749999904823,"[28 11 10 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25  5 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",10,10,0
1,5337.02336093731,0.001211581000006845,"[28 11  5 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",10,10,0
