Iteration,Fitness,Time,State,schedule,Temperature,run_number
0,0.41123449312693866,0.00023566199999791593,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],10,10,0
1,0.41123449312693866,0.0007545659999976806,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],10,10,0
2,0.41123449312693866,0.0011045850000002133,[18  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 15 12],10,10,0
4,0.44796911244940907,0.0016525160000000483,[15  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 18 12],10,10,0
8,0.44796911244940907,0.0024669509999988293,[15  1 19  8 10 17  6 13  4  2  5 14  9  7 16 11  3  0 18 12],10,10,0
16,0.4889750267996332,0.004002530999997589,[15  7 19 16 10 17  6 13  4  2  5 14  9 12  8 11  3  0 18  1],10,10,0
32,0.5465533797887037,0.00696761900000098,[15  8  3 16 10 17  6 13  4  2  5 14  9 12  0 11 19  7 18  1],10,10,0
64,0.6575072467248613,0.012798113999998861,[17 14  9  8 10 16  6 13  1  2  5  3 12 15  0 11 19  7 18  4],10,10,0
128,0.6909376842697281,0.02396208700000102,[17 14  9  8 10 16  6 13  1  2  0  3 12 15  5 11 19  7 18  4],10,10,0
256,0.7316350911829606,0.04732278399999856,[ 8  9 14 17 10 16  6 13  2  1  4  3 12 15  5 11 19  7 18  0],10,10,0
512,0.9786375279990692,0.10038033600000063,[ 2  1  8 17 10  6 16 13  4 14  9 15 12  3  5 11 19  0  7 18],10,10,0
1024,0.9936083989509912,0.2659775189999998,[ 2  1 13 17 10  6 16  4  8 15  9 14 12  3  5 11 19  0  7 18],10,10,0
2048,0.9936083989509912,0.6631347199999986,[ 2  1 13 17 10  6 16  4  8 15  9 14 12  3  5 11 19  0  7 18],10,10,0
4096,0.9936083989509912,1.7614265049999993,[ 2  1 13 17 10  6 16  4  8 15  9 14 12  3  5 11 19  0  7 18],10,10,0
0,0.5144117474007559,0.00031075100000066413,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],10,10,1
1,0.5144117474007559,0.001006527000001256,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],10,10,1
2,0.5144117474007559,0.001669460999998762,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],10,10,1
4,0.5144117474007559,0.0024770109999998624,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12 11  5],10,10,1
8,0.5145945123745521,0.004101011999999571,[ 3 16  6 10  2 14  4 17  7  1 13  0 19 18  9 15  8 12  5 11],10,10,1
16,0.5230571774177732,0.005874708000000339,[ 3 16  6 10  2 14 17  4  7  1 13  0 19 18  9 15  8 12  5 11],10,10,1
32,0.5685981626025333,0.010430814999999427,[ 3 16  6 10  2  9  4 17 14  1 13  0 19 18  7 15  8 12  5 11],10,10,1
64,0.6081666155625799,0.017996952000000732,[ 3 16  6 10  2 17  4 14  9  8  7  0 19 18 13 15  1 11  5 12],10,10,1
128,0.6654803035711249,0.03242831500000065,[13 16 10 17  6  8  4 14  9  2  7  0 18 19  3 15  1 11  5 12],10,10,1
256,0.7711342944998767,0.06708728299999933,[ 8 16  6 10 17 13  9 14  4  2  7  0 18 19  3 12  5 11  1 15],10,10,1
512,0.8241842291255234,0.13321439899999987,[ 4 16  6 10 17 15  9 14 13  2 18  7  0 19 12  3  5 11  1  8],10,10,1
1024,0.8510902893487262,0.2951802689999994,[ 4 16  6 10 17 14  9 15  8  2 18  7  0 19 12  3  5 11  1 13],10,10,1
2048,0.8510902893487262,0.6923807149999988,[ 4 16  6 10 17 14  9 15  8  2 18  7  0 19 12  3  5 11  1 13],10,10,1
4096,0.8510902893487262,1.6784518569999989,[ 4 16  6 10 17 14  9 15  8  2 18  7  0 19 12  3  5 11  1 13],10,10,1
0,0.3944766892001257,0.00018087600000171733,[12  4 18  0  9  5  3 10  1 17  7 16 14  2 11  6 19 13 15  8],10,10,2
1,0.40779266702530853,0.0005914629999992371,[12  4 18  0  9  5  3 10  1 17  7 16 14 11  2  6 19 13 15  8],10,10,2
2,0.4131926521238873,0.0011393720000008045,[12  4 18  0  9 13  3 10  1 17  7 16 14 11  2  6 19  5 15  8],10,10,2
4,0.4280013647127493,0.0018659599999999443,[12  4 18  0 10 13  3  9  1 17  7 16 14 11  2  6 19  5 15  8],10,10,2
8,0.42545452616027674,0.0029405450000012934,[12  4 18  0 10 13  3 14  1 17  7 16  9 11  2  6 19  5 15  8],10,10,2
16,0.5079357020790877,0.004662714000001955,[17  4 18  0 10 13 14  3  1  8  7 16  9 15  2  6 19 11  5 12],10,10,2
32,0.6123122848422083,0.0075565530000005765,[17  4  8  6 10 13 14  3  1 18  7 16  9 15  2  0 19 11  5 12],10,10,2
64,0.6352170277212744,0.013803145000000683,[17  8  4  9 10 15 14  3  0 18  7 16  6 13  2  1 19 11  5 12],10,10,2
128,0.674378071462108,0.02638361300000014,[13  8 15 14 10  4  9 12  1 18  7 16  6 17  2  0 19 11  5  3],10,10,2
256,0.7935516797240718,0.05086557099999922,[15  8 13  4 17 14  9 12  3 10  2 16  6 18  7  0 19 11  5  1],10,10,2
512,0.858466879192468,0.10919379799999973,[15  8  4 13 17 14  9 12  3 10  6 16  2 18  7  0 19 11  5  1],10,10,2
1024,0.890768177407241,0.25189519099999913,[13  4  8 10 17 14  9 12  3 15 16  6  2 18  7  0 19 11  5  1],10,10,2
2048,0.890768177407241,0.6329888060000002,[13  4  8 10 17 14  9 12  3 15 16  6  2 18  7  0 19 11  5  1],10,10,2
4096,0.890768177407241,2.0211086169999994,[13  4  8 10 17 14  9 12  3 15 16  6  2 18  7  0 19 11  5  1],10,10,2
0,0.4464772815664908,0.00031774500000025796,[14  2  1 17  4 16  6  7 15 12  9 11 19 18 13  5  0  8  3 10],10,10,3
1,0.4464772815664908,0.0023225000000017815,[14  2  1 17  4 16  6  7 15 12  9 11 19 18 13  5  0  8  3 10],10,10,3
2,0.45699736809641645,0.003357375000000218,[14  2  1 17  4 16  6  7 18 12  9 11 19 15 13  5  0  8  3 10],10,10,3
4,0.4560805303958381,0.005687399999999343,[14  2  1 17  4 16  6  7 18 12  9 11  0 15 13  5 19  8  3 10],10,10,3
8,0.47097991028616826,0.008539653999999786,[14  2 17 13  4 16  6  7 18 12  9 11  0 15  1  5 19  8  3 10],10,10,3
16,0.47097991028616826,0.013403235000001956,[14  2 17 13  4 16  6  7 18 12  9 11  0 15  1  5 19  8  3 10],10,10,3
32,0.5174124661095362,0.026705183000000687,[14  2  3 13  4  7  6 16 15 12  5 11  0 18  1  9 19  8 17 10],10,10,3
64,0.6718760711862048,0.04972007099999942,[ 8  1  3 13  4 16  6  9 15 12  5 11  0 18 19  7  2 10 17 14],10,10,3
128,0.7003108193353637,0.075765533000002,[ 3  1  8 13  4 16  6 15  9 12  5 11  0 18  7 19  2 10 17 14],10,10,3
256,0.830127156939162,0.1307967750000003,[12 15  8  4 13 16 17 14  9  3  5 11 19  0  7 18  2  6 10  1],10,10,3
512,0.8477438150937281,0.22319476100000202,[12  9 15  8 13 16 17  4  1  3  5 11 19  0  7 18  2  6 10 14],10,10,3
1024,0.8819072389807254,0.43071514400000055,[ 9  1 15  8  4 13  6 16 12  3  5 11 19  0  7 18  2 10 17 14],10,10,3
2048,0.8957201586174502,0.7783507950000015,[ 9 15  1  8  4 13  6 16 12  3  5 11 19  0  7 18  2 10 17 14],10,10,3
4096,0.8957201586174502,1.8485950550000005,[ 9 15  1  8  4 13  6 16 12  3  5 11 19  0  7 18  2 10 17 14],10,10,3
0,0.39458882985438637,0.0002071959999980777,[19  3 18  6 13  4  0 17 12 11 15 10  9  2 16  7  8  1  5 14],10,10,4
1,0.3952725687470074,0.0006627129999969839,[19  3 18  6  8  4  0 17 12 11 15 10  9  2 16  7 13  1  5 14],10,10,4
2,0.39489431496726435,0.0011184079999999597,[19  3 18  6  8  0  4 17 12 11 15 10  9  2 16  7 13  1  5 14],10,10,4
4,0.4137815653983586,0.0020979919999994934,[19 14 18  6  8  0  4 17 12 11 15 10  9  2 16  7 13  1  5  3],10,10,4
8,0.47067888282957926,0.0035067559999966136,[19 14 18  6  7  0  4 17 10 11 15 12  9  2 16  8 13  1  5  3],10,10,4
16,0.4998125013545748,0.005681405999997224,[19 14 18 11  7  0  2 17 10  6  3 12  9  4 16  8 13  1  5 15],10,10,4
32,0.5494636691479761,0.00999338099999747,[17 14 18 11  7  0  5 19 10  8  9 12  3  4 13  6 16  1  2 15],10,10,4
64,0.6253531681094237,0.018302600999998475,[ 9 17 19  0 18 11  5  7 15  8 14 12  3  1 13 10 16  6  2  4],10,10,4
128,0.6950801607416637,0.034384912999996686,[ 9  1 19  7 18  0  5 11 15  8 14 12  3  4 13 10 16  6  2 17],10,10,4
256,0.76583368344366,0.06480874399999692,[ 8  1  0  7 18 19  5 11 15  9 14 12  3  4 17 10 16  6  2 13],10,10,4
512,0.850911173102342,0.12495424399999777,[ 4  1  7 18  0 19 11  5  3  9 14 12 15  8 17 10 16  6  2 13],10,10,4
1024,0.9971510587276665,0.2541046889999983,[ 1  2  7 18  0 19 11  5  3 12 14  9 15  8 17 10  6 16 13  4],10,10,4
2048,1.0045201439011953,0.5751467149999989,[ 1  2 18  7  0 19 11  5  3 12 14  9 15  8 17 10  6 16  4 13],10,10,4
4096,1.0045201439011953,1.5744304879999973,[ 1  2 18  7  0 19 11  5  3 12 14  9 15  8 17 10  6 16  4 13],10,10,4
