Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,run_number
0,3.2018159293929243,0.00018561499999947273,"[2, 1, 0]",geometric,10,0.99,0.001,9.999981345086507,10,4096,0
1,3.2018159293929243,0.0006145430000010776,"[0, 1, 2]",geometric,10,0.99,0.001,9.999938236555273,10,4096,0
2,3.2018159293929243,0.0030713430000020026,"[2, 1, 0]",geometric,10,0.99,0.001,9.999691324477414,10,4096,0
4,3.2018159293929243,0.005597268000002487,"[2, 1, 0]",geometric,10,0.99,0.001,9.999437471589884,10,4096,0
8,3.2018159293929243,0.008453300999999414,"[2, 1, 0]",geometric,10,0.99,0.001,9.999150450947516,10,4096,0
16,3.2018159293929243,0.012239514000000895,"[2, 1, 0]",geometric,10,0.99,0.001,9.99876996339187,10,4096,0
32,3.2018159293929243,0.01792038900000037,"[0, 2, 1]",geometric,10,0.99,0.001,9.998199102900236,10,4096,0
64,3.2018159293929243,0.02967821000000015,"[1, 0, 2]",geometric,10,0.99,0.001,9.997017685018262,10,4096,0
128,3.2018159293929243,0.0457348080000024,"[2, 1, 0]",geometric,10,0.99,0.001,9.99540455442365,10,4096,0
256,3.2018159293929243,0.07656478700000235,"[1, 0, 2]",geometric,10,0.99,0.001,9.992307941667,10,4096,0
512,3.2018159293929243,0.13753433700000173,"[1, 0, 2]",geometric,10,0.99,0.001,9.986186886117718,10,4096,0
1024,3.2018159293929243,0.2955162619999996,"[2, 1, 0]",geometric,10,0.99,0.001,9.970343685153773,10,4096,0
2048,3.2018159293929243,0.6353059370000018,"[0, 2, 1]",geometric,10,0.99,0.001,9.936353030029947,10,4096,0
4096,3.2018159293929243,1.7586402930000027,"[2, 1, 0]",geometric,10,0.99,0.001,9.824803596760297,10,4096,0
0,3.2018159293929243,0.00019393399999856342,"[0, 2, 1]",geometric,10,0.99,0.001,9.999980509000661,10,4096,1
1,3.2018159293929243,0.0006789530000013144,"[0, 1, 2]",geometric,10,0.99,0.001,9.999931763176026,10,4096,1
2,3.2018159293929243,0.0035569219999977975,"[2, 1, 0]",geometric,10,0.99,0.001,9.999642523782569,10,4096,1
4,3.2018159293929243,0.006231393000000196,"[0, 2, 1]",geometric,10,0.99,0.001,9.999373743685815,10,4096,1
8,3.2018159293929243,0.009143824999998884,"[0, 2, 1]",geometric,10,0.99,0.001,9.999081057103034,10,4096,1
16,3.2018159293929243,0.012865342000001334,"[0, 2, 1]",geometric,10,0.99,0.001,9.998707073510449,10,4096,1
32,3.2018159293929243,0.018585245000000583,"[0, 2, 1]",geometric,10,0.99,0.001,9.998132294896141,10,4096,1
64,3.2018159293929243,0.02850609600000098,"[1, 0, 2]",geometric,10,0.99,0.001,9.997135451973417,10,4096,1
128,3.2018159293929243,0.04429567000000034,"[1, 0, 2]",geometric,10,0.99,0.001,9.995549127203882,10,4096,1
256,3.2018159293929243,0.07522377500000132,"[0, 2, 1]",geometric,10,0.99,0.001,9.992442615113726,10,4096,1
512,3.2018159293929243,0.15314387100000104,"[1, 0, 2]",geometric,10,0.99,0.001,9.984620365423416,10,4096,1
1024,3.2018159293929243,0.32155269799999786,"[0, 2, 1]",geometric,10,0.99,0.001,9.967735037529213,10,4096,1
2048,3.2018159293929243,0.6472475399999986,"[0, 2, 1]",geometric,10,0.99,0.001,9.935160569107532,10,4096,1
4096,3.2018159293929243,1.668373373999998,"[1, 0, 2]",geometric,10,0.99,0.001,9.833720829158011,10,4096,1
0,3.2018159293929243,0.00018771200000244903,"[2, 1, 0]",geometric,10,0.99,0.001,9.999981134331358,10,4096,2
1,3.2018159293929243,0.0006069520000018258,"[0, 1, 2]",geometric,10,0.99,0.001,9.999938999471583,10,4096,2
2,3.2018159293929243,0.0030196560000028683,"[1, 0, 2]",geometric,10,0.99,0.001,9.999696519035506,10,4096,2
4,3.2018159293929243,0.007243771000002397,"[2, 1, 0]",geometric,10,0.99,0.001,9.999272003186295,10,4096,2
8,3.2018159293929243,0.011699575000001516,"[1, 0, 2]",geometric,10,0.99,0.001,9.998824222547118,10,4096,2
16,3.2018159293929243,0.016274440000000112,"[0, 2, 1]",geometric,10,0.99,0.001,9.998364497879667,10,4096,2
32,3.2018159293929243,0.021424810000002736,"[0, 2, 1]",geometric,10,0.99,0.001,9.997846966449973,10,4096,2
64,3.2018159293929243,0.030579036000002446,"[0, 2, 1]",geometric,10,0.99,0.001,9.99692717639022,10,4096,2
128,3.2018159293929243,0.045143774000003134,"[2, 1, 0]",geometric,10,0.99,0.001,9.99546392820464,10,4096,2
256,3.2018159293929243,0.07681036000000319,"[1, 0, 2]",geometric,10,0.99,0.001,9.99228327977087,10,4096,2
512,3.2018159293929243,0.13834079600000138,"[2, 1, 0]",geometric,10,0.99,0.001,9.98610594656554,10,4096,2
1024,3.2018159293929243,0.27682272600000246,"[1, 0, 2]",geometric,10,0.99,0.001,9.972217052560687,10,4096,2
2048,3.2018159293929243,0.6781410280000024,"[2, 1, 0]",geometric,10,0.99,0.001,9.932076280642068,10,4096,2
4096,3.2018159293929243,1.637980025000001,"[2, 1, 0]",geometric,10,0.99,0.001,9.836725129443032,10,4096,2
0,3.2018159293929243,0.00019011999999918316,"[1, 0, 2]",geometric,10,0.99,0.001,9.99998089231973,10,4096,3
1,3.2018159293929243,0.0006246640000000525,"[2, 0, 1]",geometric,10,0.99,0.001,9.999937219367116,10,4096,3
2,3.2018159293929243,0.0029469579999990003,"[2, 1, 0]",geometric,10,0.99,0.001,9.9997038252096,10,4096,3
4,3.2018159293929243,0.005921460999999795,"[2, 1, 0]",geometric,10,0.99,0.001,9.999404890990505,10,4096,3
8,3.2018159293929243,0.009623583999999852,"[2, 1, 0]",geometric,10,0.99,0.001,9.999032844259384,10,4096,3
16,3.2018159293929243,0.015502103999999406,"[0, 2, 1]",geometric,10,0.99,0.001,9.998442107847644,10,4096,3
32,3.2018159293929243,0.020843488000000576,"[0, 2, 1]",geometric,10,0.99,0.001,9.997905378854941,10,4096,3
