ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,GM-ICA,2,0.012227418153440152,0.03410783057609847,0.008221857006509351,0.009528160095214844
abalone-ternary,GM-ICA,3,0.07124143536430118,0.06022073705660893,0.06359537836803515,0.01568293571472168
abalone-ternary,GM-ICA,4,0.07702168283854144,0.029736918779388916,0.07590181219348055,0.025394916534423828
abalone-ternary,GM-ICA,5,0.08030351081943904,0.031606955476335574,0.08385784541491992,0.03104686737060547
abalone-ternary,GM-ICA,6,0.08211626448136687,0.033187062899523244,0.08758254056058433,0.03902387619018555
abalone-ternary,GM-ICA,7,0.09225618042878797,0.037461789818568805,0.10517391865476297,0.13422226905822754
abalone-ternary,GM-ICA,8,0.09325107953732804,0.038763382906271585,0.10890755666995276,0.1721649169921875
abalone-ternary,GM-ICA,9,0.10018976994125789,0.050692695284864905,0.124868763721402,0.18856024742126465
abalone-ternary,GM-ICA,10,0.10111853472681742,0.04176164442119176,0.13410804428014214,0.23390674591064453
abalone-ternary,GM-ICA,11,0.10376907291863986,0.05008792209451062,0.13917713839589696,0.24658513069152832
abalone-ternary,GM-ICA,12,0.09884782889760839,0.0501726787529768,0.13457161501210477,0.2997298240661621
abalone-ternary,GM-ICA,13,0.09763425411833575,0.04638786185962761,0.13712502267949406,0.34797215461730957
abalone-ternary,GM-ICA,14,0.1010804757792226,0.052216961217168546,0.1466175723183369,0.3336310386657715
