ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,KMeans-ICA,2,0.012227418153440152,0.03410783057609847,0.008221857006509351,0.08864903450012207
abalone-ternary,KMeans-ICA,3,0.07124143536430118,0.06022073705660893,0.06359537836803515,0.08848714828491211
abalone-ternary,KMeans-ICA,4,0.07559038499895519,0.020524656767768965,0.0750154421019075,0.15170693397521973
abalone-ternary,KMeans-ICA,5,0.10222832874784137,0.041662781739826064,0.1097105472959211,0.162109375
abalone-ternary,KMeans-ICA,6,0.09647566752203593,0.046695493336296134,0.11110066122090331,0.17329692840576172
abalone-ternary,KMeans-ICA,7,0.0949151602779242,0.049403605796804334,0.11233612413603762,0.18041491508483887
abalone-ternary,KMeans-ICA,8,0.09035673943662949,0.053445133722944016,0.11365343623175139,0.19457578659057617
abalone-ternary,KMeans-ICA,9,0.09307462151399902,0.05846676550582071,0.12167504612552868,0.24003982543945312
abalone-ternary,KMeans-ICA,10,0.07986416483540136,0.0537657575662732,0.1110603264478087,0.21939420700073242
abalone-ternary,KMeans-ICA,12,0.08694878483713946,0.05888525667403046,0.12908923982160217,0.27848196029663086
abalone-ternary,KMeans-ICA,14,0.08540465085614884,0.03937801510902696,0.13607946975158622,0.37667298316955566
abalone-ternary,KMeans-ICA,16,0.08489823911095509,0.03991305191743647,0.1403363265537385,0.37844395637512207
abalone-ternary,KMeans-ICA,32,0.0769874422299572,0.020533207963563442,0.15387348937882966,0.5447349548339844
abalone-ternary,KMeans-ICA,64,0.07820301817715168,0.01402148361254637,0.18026361628337,0.8954660892486572
