ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,KMeans-PCA,2,0.09448262387323304,0.016021890545611202,0.06223640794108544,0.029703378677368164
abalone-ternary,KMeans-PCA,3,0.07124143536430119,0.06022073705660893,0.06359537836803517,0.026272058486938477
abalone-ternary,KMeans-PCA,4,0.07431012519715402,0.07517695247095628,0.07557501467573917,0.05954575538635254
abalone-ternary,KMeans-PCA,5,0.07261917108183864,0.08812793261550579,0.08170539159896545,0.06422710418701172
abalone-ternary,KMeans-PCA,6,0.07947639124187661,0.04256018657095467,0.09830539362532674,0.07302117347717285
abalone-ternary,KMeans-PCA,7,0.0826734817206636,0.045561039703132224,0.1075489231622441,0.12558484077453613
abalone-ternary,KMeans-PCA,8,0.0817692005126065,0.048152225064540054,0.11096286644398104,0.129622220993042
abalone-ternary,KMeans-PCA,9,0.08194430453547663,0.0325888920331521,0.11632893295024326,0.12738609313964844
abalone-ternary,KMeans-PCA,10,0.07971762320676933,0.03155108250041405,0.11679592198199293,0.13916587829589844
abalone-ternary,KMeans-PCA,12,0.07786048705854055,0.033289280385472804,0.12021316132383644,0.17900395393371582
abalone-ternary,KMeans-PCA,14,0.0748971437514355,0.026244667983956537,0.12186499612259749,0.23978114128112793
abalone-ternary,KMeans-PCA,16,0.07453199330472815,0.02290159508928841,0.12581069758220847,0.22925996780395508
abalone-ternary,KMeans-PCA,32,0.07834805001614378,0.017281257316222463,0.15789078867337197,0.5111169815063477
abalone-ternary,KMeans-PCA,64,0.07926776666371645,0.010970150755365872,0.18591354976559785,0.6652898788452148
