ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
abalone-ternary,KMeans-SVD,2,0.09448262387323304,0.016021890545611202,0.06223640794108544,0.021533966064453125
abalone-ternary,KMeans-SVD,3,0.07124143536430119,0.06022073705660893,0.06359537836803517,0.022894859313964844
abalone-ternary,KMeans-SVD,4,0.06872485009094559,0.07417393555643764,0.07000624248650907,0.06440997123718262
abalone-ternary,KMeans-SVD,5,0.06422502957492555,0.08533646060087727,0.07240001945341583,0.0743250846862793
abalone-ternary,KMeans-SVD,6,0.07116977083672794,0.03513161569485287,0.08803457992646246,0.0817410945892334
abalone-ternary,KMeans-SVD,7,0.0751959674635725,0.03572733122669716,0.09700064418089187,0.08381104469299316
abalone-ternary,KMeans-SVD,8,0.0735755809436054,0.03795545492261325,0.09895062273734372,0.0967869758605957
abalone-ternary,KMeans-SVD,9,0.07142380170680963,0.02642632951434656,0.10041198959559884,0.13790416717529297
abalone-ternary,KMeans-SVD,10,0.0702110051959606,0.026737334062338313,0.10188768931552088,0.1346721649169922
abalone-ternary,KMeans-SVD,12,0.06841217103718286,0.02994773781113066,0.10521699600947572,0.21221399307250977
abalone-ternary,KMeans-SVD,14,0.07100860625760437,0.023736875091526582,0.1144669901218476,0.18529367446899414
abalone-ternary,KMeans-SVD,16,0.08028150158571588,0.027750585393079175,0.13442130514516903,0.20603704452514648
abalone-ternary,KMeans-SVD,32,0.0786898646183145,0.018770231032316297,0.15810611400651112,0.40759706497192383
abalone-ternary,KMeans-SVD,64,0.07801589453841896,0.011700964449291534,0.1817063724538124,0.7353489398956299
