ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
wine-quality,GM-SVD,2,0.010281790351775896,-0.0015558545687557287,0.009403680347627723,0.01052999496459961
wine-quality,GM-SVD,3,0.01117560877756216,-0.0020851030430006265,0.010825928636923943,0.051921844482421875
wine-quality,GM-SVD,4,0.030314813968745122,-0.0003729601499701356,0.031189760709562492,0.056159019470214844
wine-quality,GM-SVD,5,0.049811980380261155,0.012546317160019926,0.057122754229222535,0.11061310768127441
wine-quality,GM-SVD,6,0.06856367538851091,0.045402498349193805,0.09340329771717522,0.16415166854858398
wine-quality,GM-SVD,7,0.05570514439419909,0.02809353642132133,0.08380035983524667,0.275360107421875
wine-quality,GM-SVD,8,0.07812907007906823,0.04244515872120427,0.11169290580311325,0.3638341426849365
wine-quality,GM-SVD,9,0.05931425519502588,0.025407011332938177,0.09318821529206625,0.2856428623199463
wine-quality,GM-SVD,10,0.05620482322243864,0.02341933048555252,0.09253633082182995,0.47237205505371094
wine-quality,GM-SVD,11,0.05652714205565464,0.022402796490464998,0.0941982789958882,0.484356164932251
wine-quality,GM-SVD,12,0.059211060476690225,0.019895096899909027,0.10281460654087163,0.510556697845459
wine-quality,GM-SVD,13,0.06483050186015854,0.024553547298456085,0.11476076052501714,0.4226219654083252
wine-quality,GM-SVD,14,0.06567901325903035,0.023573982697474193,0.11914766141199215,0.4774160385131836
