ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
wine-quality,KMeans-RP,2,0.010281790351775896,-0.0015558545687557287,0.009403680347627723,0.021807193756103516
wine-quality,KMeans-RP,3,0.060241532427015736,0.048522545003151445,0.07076422874467683,0.05609703063964844
wine-quality,KMeans-RP,4,0.059428526494233413,0.03717011175055731,0.0789749283993389,0.09823465347290039
wine-quality,KMeans-RP,5,0.07179667492266371,0.04101947779097316,0.10131803936305162,0.13175177574157715
wine-quality,KMeans-RP,6,0.07482128619666287,0.04083953226647169,0.1134866478994677,0.12816691398620605
wine-quality,KMeans-RP,7,0.07846924364585221,0.03842914131313798,0.12276010425815587,0.18236398696899414
wine-quality,KMeans-RP,8,0.08008751363699419,0.036820656611895854,0.1317012516847298,0.20472097396850586
wine-quality,KMeans-RP,9,0.08440488269041227,0.03725276867473443,0.1417982196798465,0.2542867660522461
wine-quality,KMeans-RP,10,0.08538278611043701,0.0366550580484138,0.1455471097017171,0.30948305130004883
wine-quality,KMeans-RP,12,0.08675509291942671,0.031941628390178355,0.15847773641334675,0.3692202568054199
wine-quality,KMeans-RP,14,0.0818064294903786,0.02985149434613768,0.15398125189948317,0.42934107780456543
wine-quality,KMeans-RP,16,0.0854772694570419,0.02583754809370084,0.17074845339302339,0.5287158489227295
wine-quality,KMeans-RP,32,0.08859532592138057,0.015657575486643732,0.2063734988606491,0.7565608024597168
wine-quality,KMeans-RP,64,0.08922270547355603,0.009855592496028194,0.2356858219295015,1.409519910812378
