ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
wine-quality,KMeans-SVD,2,0.010281790351775896,-0.0015558545687557287,0.009403680347627723,0.01922607421875
wine-quality,KMeans-SVD,3,0.05954371795561568,0.04950451828634685,0.06980204140088993,0.04298806190490723
wine-quality,KMeans-SVD,4,0.06846620018592416,0.052637420551413835,0.08571680435787274,0.08043599128723145
wine-quality,KMeans-SVD,5,0.06878716132432362,0.04831824320508754,0.09633230528503843,0.11472201347351074
wine-quality,KMeans-SVD,6,0.06530143769745692,0.04136427291626382,0.0984597743418504,0.1741471290588379
wine-quality,KMeans-SVD,7,0.06567647531801338,0.03740818805774129,0.10248082949282042,0.19124102592468262
wine-quality,KMeans-SVD,8,0.06345169675414294,0.028939427743916113,0.10490175257402068,0.2096550464630127
wine-quality,KMeans-SVD,9,0.06711969292203593,0.030295927738758315,0.11304419498253411,0.2901029586791992
wine-quality,KMeans-SVD,10,0.07200722180092156,0.029479236455505823,0.12636368698123082,0.3187429904937744
wine-quality,KMeans-SVD,12,0.07228603806303144,0.02723652111329829,0.13266228628081503,0.33196020126342773
wine-quality,KMeans-SVD,14,0.07374078830945838,0.02373387306794919,0.1393536606754811,0.4598388671875
wine-quality,KMeans-SVD,16,0.07787898798302213,0.02443101679589501,0.15334241444777794,0.5229771137237549
wine-quality,KMeans-SVD,32,0.07453520997054427,0.013668771439716695,0.17256095474619076,0.7649509906768799
wine-quality,KMeans-SVD,64,0.07772482773854904,0.007670104315664111,0.20619195701011814,1.1002979278564453
