env_name,algname,gamma,epsilon,threshold,Iteration,V_variation,V_max_diff,V_average,V_sum,clock_time,# chg action at iter,# chg actions
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,1,4.999999999999996,4.999999999999996,-0.961743744847458,-865.5693703627121,0.015228033065795898,272,272
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,2,4.899999999999996,4.899999999999996,-0.843503850025879,-759.1534650232911,0.030812978744506836,121,393
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,3,3.8415999999999957,3.8415999999999957,-0.8011355551482466,-721.021999633422,0.04561281204223633,86,479
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,4,3.7647679999999952,3.7647679999999952,-0.7797826386174196,-701.8043747556776,0.06176567077636719,68,547
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,5,1.5035247807999998,1.5035247807999998,-0.7684438510054287,-691.5994659048858,0.0791177749633789,63,610
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,6,1.395054285184,1.395054285184,-0.7517306193410812,-676.557557406973,0.09275484085083008,78,688
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,7,1.20875319948032,1.20875319948032,-0.7330056244576373,-659.7050620118736,0.10586857795715332,81,769
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,8,1.0824865727808994,1.0824865727808994,-0.717138163277437,-645.4243469496932,0.11975240707397461,71,840
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,9,0.9024368413252813,0.9024368413252813,-0.7041461293094766,-633.7315163785289,0.13302040100097656,64,904
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,10,0.8043881044987757,0.8043881044987757,-0.6959307387664936,-626.3376648898442,0.1475224494934082,55,959
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,11,0.7083003424088001,0.7083003424088001,-0.6871040489880897,-618.3936440892808,0.16254448890686035,65,1024
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,12,0.5898146158724235,0.5898146158724235,-0.6756889019025719,-608.1200117123147,0.17726731300354004,61,1085
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,13,0.43141461587242347,0.43141461587242347,-0.6661480188152703,-599.5332169337432,0.1934504508972168,46,1131
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,14,0.25593059708387556,0.25593059708387556,-0.6616267061477413,-595.4640355329672,0.21650433540344238,34,1165
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,15,0.1708119851421981,0.1708119851421981,-0.6607467757003582,-594.6720981303224,0.23104643821716309,19,1184
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,16,0.08739574543935413,0.08739574543935413,-0.6602651280366036,-594.2386152329433,0.24646735191345215,17,1201
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,17,0.005647830530567055,0.005647830530567055,-0.6602463019348351,-594.2216717413517,0.2625722885131836,13,1214
"frozen-lake-(30, 30)",PI,0.98,0.001,2.0408163265306143e-05,18,4.440892098500626e-16,4.440892098500626e-16,-0.6602463019348351,-594.2216717413517,0.2776792049407959,13,1227
