algname,gamma,num_states,Iteration,# chg action at iter,variation,V_max_diff,# chg actions,clock_time
pi-forest,0.95,1000,1,1,24.4074728134585,33.62580165442884,1,0.03358197212219238
pi-forest,0.95,1000,2,1,19.86838925550702,19.86838925550701,2,0.053611040115356445
pi-forest,0.95,1000,3,1,16.448389255507024,16.44838925550698,3,0.07362723350524902
pi-forest,0.95,1000,4,1,13.524289255507027,13.524289255506998,4,0.09373211860656738
pi-forest,0.95,1000,5,1,11.024183755506995,11.02418375550703,5,0.11362719535827637
pi-forest,0.95,1000,6,1,8.886593553007009,8.886593553007033,6,0.1334514617919922
pi-forest,0.95,1000,7,1,7.058953929869515,7.058953929869423,7,0.15347862243652344
pi-forest,0.95,1000,8,1,5.496322052086976,5.496322052087015,8,0.17337775230407715
pi-forest,0.95,1000,9,1,4.160271796582819,4.160271796582785,9,0.1968977451324463
pi-forest,0.95,1000,10,1,3.0179488281268423,3.017948828126743,10,0.22344470024108887
pi-forest,0.95,1000,11,1,2.0412626900969837,2.0412626900969286,11,0.24448251724243164
pi-forest,0.95,1000,12,1,1.2061960420814657,1.2061960420814124,12,0.268648624420166
pi-forest,0.95,1000,13,0,0.49221405802817664,0.4922140580281411,12,0.2923448085784912
