episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type
0,0.5,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003352165222167969,0.0003352165222167969,3,5,True,7,16,0.999,1
1,0.4995,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002961158752441406,0.0006313323974609375,5,5,True,9,16,0.999,1
2,0.4990005,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00017404556274414062,0.0008053779602050781,3,3,True,5,16,0.999,1
3,0.4985014995,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.584426879882812e-05,0.0009012222290039062,1,2,True,2,16,0.999,1
4,0.4980029980005,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001380443572998047,0.001039266586303711,3,2,True,4,16,0.999,1
5,0.4975049950024995,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006988048553466797,0.0017380714416503906,20,8,True,27,16,0.999,1
6,0.497007490007497,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001919269561767578,0.0019299983978271484,4,3,True,6,16,0.999,1
7,0.4965104825174895,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00028896331787109375,0.002218961715698242,7,4,True,10,16,0.999,1
8,0.49601397203497205,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001590251922607422,0.0023779869079589844,1,4,True,4,16,0.999,1
9,0.4955179580629371,0.0,0.0,0.0,0.0,0.0,0.98,0.8,7.104873657226562e-05,0.00244903564453125,0,2,True,1,16,0.999,1
10,0.4950224401048741,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0005011558532714844,0.0029501914978027344,6,11,True,16,16,0.999,1
11,0.49452741766476926,0.0,0.0,0.0,0.0,0.0,0.98,0.8,8.296966552734375e-05,0.003033161163330078,2,1,True,2,16,0.999,1
12,0.4940328902471045,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00039124488830566406,0.003424406051635742,4,9,True,12,16,0.999,1
13,0.4935388573568574,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003719329833984375,0.0037963390350341797,3,7,True,9,16,0.999,1
14,0.4930453184995005,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003008842468261719,0.0040972232818603516,6,5,True,10,16,0.999,1
15,0.49255227318100103,0.0,0.0,0.0,0.0,0.0,0.98,0.8,7.104873657226562e-05,0.004168272018432617,0,2,True,1,16,0.999,1
16,0.49205972090782,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00012803077697753906,0.004296302795410156,1,3,True,3,16,0.999,1
17,0.4915676611869122,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00020122528076171875,0.004497528076171875,3,4,True,6,16,0.999,1
18,0.4910760935257253,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0002129077911376953,0.00471043586730957,5,3,True,7,16,0.999,1
19,0.49058501743219957,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0005030632019042969,0.005213499069213867,4,7,True,10,16,0.999,1
20,0.49009443241476736,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00022602081298828125,0.0054395198822021484,7,2,True,8,16,0.999,1
21,0.4896043379823526,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00019478797912597656,0.005634307861328125,4,3,True,6,16,0.999,1
22,0.48911473364437025,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00011706352233886719,0.005751371383666992,2,2,True,3,16,0.999,1
23,0.48862561891072587,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00010395050048828125,0.0058553218841552734,3,1,True,3,16,0.999,1
24,0.48813699329181515,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00013685226440429688,0.00599217414855957,3,2,True,4,16,0.999,1
