episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type,decay
0,0.5,-1.0,-1.498303096003598,-1.5,-0.1875,-0.1875,0.999,0.8,0.000476837158203125,0.000476837158203125,3,5,True,7,900,0.999,1,non-linear - epsilon: 0.5
100,0.4523960735568548,-1.0,-4.341149296301555,-4.400000000000002,-0.12571428571428572,-0.10332382065721579,0.999,0.8,0.0019118785858154297,0.13102960586547852,15,20,True,34,900,0.999,1,non-linear - epsilon: 0.5
200,0.409324414739318,-1.0,-1.0999,-1.1,-0.1375,0.0,0.999,0.8,0.00033926963806152344,0.27655458450317383,4,4,True,7,900,0.999,1,non-linear - epsilon: 0.5
300,0.37035351607804984,-1.0,-1.2994003999000001,-1.3,-0.26,0.0,0.999,0.8,0.00015997886657714844,0.4364895820617676,1,4,True,4,900,0.999,1,non-linear - epsilon: 0.5
400,0.33509295300337016,-1.0,-1.3957272898074717,-1.4,-0.05384615384615384,0.0,0.999,0.8,0.0006690025329589844,0.6284873485565186,17,9,True,25,900,0.999,1,non-linear - epsilon: 0.5
500,0.3031894724305924,-1.0,-4.737688115497204,-5.000000000000002,-0.03067484662576687,0.0,0.999,0.8,0.004828929901123047,0.8472206592559814,110,53,True,162,900,0.999,1,non-linear - epsilon: 0.5
600,0.27432345374274825,-1.0,-4.972554941118153,-5.5,-0.01751592356687898,0.0,0.999,0.8,0.008600950241088867,1.1334993839263916,242,72,True,313,900,0.999,1,non-linear - epsilon: 0.5
700,0.24820570671554945,-1.0,-1.8587985155384135,-1.9,-0.015833333333333335,0.0,0.999,0.8,0.002839803695678711,1.5192844867706299,93,27,True,119,900,0.999,1,non-linear - epsilon: 0.5
800,0.2245745743050374,-1.0,-1.0999,-1.1,-0.05,0.0,0.999,0.8,0.00046634674072265625,1.930114984512329,19,3,True,21,900,0.999,1,non-linear - epsilon: 0.5
900,0.20319331127260196,-1.0,-1.6641243750254682,-1.7,-0.018681318681318684,0.0,0.999,0.8,0.002019166946411133,2.3493754863739014,70,21,True,90,900,0.999,1,non-linear - epsilon: 0.5
1000,0.18384771238548175,-1.0,-4.940789345949247,-5.999999999999998,-0.012345679012345678,0.0,0.999,0.8,0.011077165603637695,2.8545496463775635,387,99,True,485,900,0.999,1,non-linear - epsilon: 0.5
1100,0.16634396643120383,0.0,-3.390655374974864,-4.300000000000001,-0.008600000000000002,0.0,0.999,0.8,0.010834217071533203,3.406984329223633,421,79,False,499,900,0.999,1,non-linear - epsilon: 0.5
1200,0.1505067145466996,-1.0,-2.8301517311937587,-3.1000000000000005,-0.008908045977011494,0.0,0.999,0.8,0.008725166320800781,4.026521682739258,298,50,True,347,900,0.999,1,non-linear - epsilon: 0.5
