episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type
0,0.5,-1.0,-2.270845731667544,-2.5,-0.11904761904761907,-0.10685714285714287,0.98,0.8,0.0009949207305908203,0.0009949207305908203,7,14,True,20,64,0.999,1
1,0.4995,-1.0,-5.139712200058656,-12.099999999999977,-0.09379844961240309,-0.06343135814861273,0.98,0.8,0.004257917404174805,0.005252838134765625,51,78,True,128,64,0.999,1
2,0.4990005,-1.0,-2.4092717064847324,-2.7,-0.1125,-0.08185892735366994,0.98,0.8,0.0007050037384033203,0.005957841873168945,10,14,True,23,64,0.999,1
3,0.4985014995,-1.0,-3.1169167378447087,-3.800000000000001,-0.12666666666666668,-0.11229898801923065,0.98,0.8,0.0008623600006103516,0.006820201873779297,16,14,True,29,64,0.999,1
4,0.4980029980005,-1.0,-2.05331862025201,-2.2,-0.1375,-0.1190962626323789,0.98,0.8,0.00043702125549316406,0.007257223129272461,9,7,True,15,64,0.999,1
5,0.4975049950024995,-1.0,-2.9405843339508295,-3.500000000000001,-0.12500000000000003,-0.09159292964700796,0.98,0.8,0.0008890628814697266,0.008146286010742188,14,14,True,27,64,0.999,1
6,0.497007490007497,-1.0,-2.548243717937935,-2.9000000000000004,-0.12083333333333335,-0.08771454756243537,0.98,0.8,0.0007531642913818359,0.008899450302124023,10,14,True,23,64,0.999,1
7,0.4965104825174895,-1.0,-3.5343038793205497,-4.8000000000000025,-0.09999999999999999,-0.07282193167411477,0.98,0.8,0.0015652179718017578,0.010464668273925781,20,28,True,47,64,0.999,1
8,0.49601397203497205,-1.0,-3.8856106786328732,-5.4,-0.11999999999999997,-0.08300260272584518,0.98,0.8,0.0014739036560058594,0.01193857192993164,28,17,True,44,64,0.999,1
9,0.4955179580629371,-1.0,-3.110385069160388,-4.100000000000001,-0.10250000000000001,-0.06954893910682472,0.98,0.8,0.0013051033020019531,0.013243675231933594,16,24,True,39,64,0.999,1
10,0.4950224401048741,-1.0,-4.262998358520026,-6.599999999999996,-0.09295774647887321,-0.0602760422228374,0.98,0.8,0.0020296573638916016,0.015273332595825195,30,41,True,70,64,0.999,1
11,0.49452741766476926,-1.0,-2.750566923649629,-3.2000000000000006,-0.1142857142857143,-0.08555732851947481,0.98,0.8,0.0007700920104980469,0.016043424606323242,15,13,True,27,64,0.999,1
12,0.4940328902471045,-1.0,-4.346313401423878,-6.799999999999995,-0.11147540983606555,-0.060748697457959806,0.98,0.8,0.0018172264099121094,0.01786065101623535,32,29,True,60,64,0.999,1
13,0.4935388573568574,-1.0,-2.2071544867729807,-2.4000000000000004,-0.16000000000000003,-0.1179362145245159,0.98,0.8,0.0004458427429199219,0.018306493759155273,9,6,True,14,64,0.999,1
14,0.4930453184995005,-1.0,-2.621766747572787,-3.0000000000000004,-0.13636363636363638,-0.06422659947449963,0.98,0.8,0.0006151199340820312,0.018921613693237305,12,10,True,21,64,0.999,1
15,0.49255227318100103,-1.0,-3.5312892455355778,-4.600000000000001,-0.11794871794871796,-0.08429197930181226,0.98,0.8,0.0017342567443847656,0.02065587043762207,21,18,True,38,64,0.999,1
16,0.49205972090782,-1.0,-3.3329726123590264,-4.200000000000001,-0.12000000000000001,-0.06339098505486225,0.98,0.8,0.0012428760528564453,0.021898746490478516,18,17,True,34,64,0.999,1
17,0.4915676611869122,-1.0,-2.2071544867729807,-2.4000000000000004,-0.16000000000000003,-0.09933393452994745,0.98,0.8,0.0004978179931640625,0.022396564483642578,8,7,True,14,64,0.999,1
18,0.4910760935257253,-1.0,-3.6705883875841216,-4.900000000000002,-0.11395348837209303,-0.055498331823199014,0.98,0.8,0.0012390613555908203,0.0236356258392334,20,23,True,42,64,0.999,1
19,0.49058501743219957,-1.0,-2.4243233457148357,-2.7,-0.15000000000000002,-0.11136875862352981,0.98,0.8,0.0004508495330810547,0.024086475372314453,14,4,True,17,64,0.999,1
20,0.49009443241476736,-1.0,-1.89634324625102,-2.0,-0.18181818181818182,-0.12274441851113513,0.98,0.8,0.00027871131896972656,0.02436518669128418,8,3,True,10,64,0.999,1
21,0.4896043379823526,-1.0,-2.9998204416784118,-3.600000000000001,-0.12000000000000002,-0.043619000848011985,0.98,0.8,0.0008008480072021484,0.025166034698486328,18,12,True,29,64,0.999,1
22,0.48911473364437025,-1.0,-4.732525363648229,-8.09999999999999,-0.11095890410958903,-0.06157943763222618,0.98,0.8,0.002044200897216797,0.027210235595703125,32,41,True,72,64,0.999,1
23,0.48862561891072587,-1.0,-3.1637561526688565,-4.000000000000002,-0.1,-0.058565073788410874,0.98,0.8,0.0010809898376464844,0.02829122543334961,22,18,True,39,64,0.999,1
24,0.48813699329181515,-1.0,-3.9158242058615422,-5.5,-0.11458333333333333,-0.07155312278427138,0.98,0.8,0.0013799667358398438,0.029671192169189453,28,20,True,47,64,0.999,1
25,0.48764885629852334,-1.0,-2.3833103246450094,-2.7,-0.1,-0.04046661657128763,0.98,0.8,0.0008001327514648438,0.030471324920654297,15,12,True,26,64,0.999,1
26,0.4871612074422248,-1.0,-2.2910934690460913,-2.6000000000000005,-0.0962962962962963,-0.05795515780781595,0.98,0.8,0.0007841587066650391,0.031255483627319336,18,9,True,26,64,0.999,1
27,0.48667404623478255,-1.0,-3.6705883875841216,-4.900000000000002,-0.11395348837209303,-0.06517040884427838,0.98,0.8,0.001714944839477539,0.032970428466796875,25,18,True,42,64,0.999,1
28,0.4861873721885478,-1.0,-2.556341166340787,-2.9000000000000004,-0.1380952380952381,-0.08023617692399572,0.98,0.8,0.0009558200836181641,0.03392624855041504,11,10,True,20,64,0.999,1
29,0.48570118481635927,-1.0,-3.2805842983255373,-4.100000000000001,-0.128125,-0.04881315575194585,0.98,0.8,0.001313924789428711,0.03524017333984375,13,19,True,31,64,0.999,1
30,0.48521548363154293,-1.0,-1.646184887091072,-1.7,-0.17,-0.038356586445959115,0.98,0.8,0.0003101825714111328,0.03555035591125488,3,7,True,9,64,0.999,1
31,0.48473026814791137,-1.0,-2.9351080011394695,-3.600000000000001,-0.10909090909090911,-0.05695036306230908,0.98,0.8,0.0008790493011474609,0.036429405212402344,19,14,True,32,64,0.999,1
32,0.48424553787976343,-1.0,-2.694146519632037,-3.1000000000000005,-0.11481481481481481,-0.06473877766880232,0.98,0.8,0.0009059906005859375,0.03733539581298828,16,11,True,26,64,0.999,1
33,0.48376129234188364,-1.0,-2.4157234589007377,-2.7,-0.12272727272727275,-0.055056090253089544,0.98,0.8,0.0005848407745361328,0.037920236587524414,13,9,True,21,64,0.999,1
34,0.48327753104954174,-1.0,-3.2005226664907953,-4.400000000000002,-0.08627450980392158,-0.04042449136978787,0.98,0.8,0.00131988525390625,0.039240121841430664,30,21,True,50,64,0.999,1
35,0.4827942535184922,-1.0,-4.079151599564415,-5.899999999999999,-0.118,-0.03155919304454656,0.98,0.8,0.0013620853424072266,0.04060220718383789,29,21,True,49,64,0.999,1
36,0.4823114592649737,-1.0,-2.2071544867729807,-2.4000000000000004,-0.15000000000000002,-0.05459175291796978,0.98,0.8,0.0004949569702148438,0.041097164154052734,9,7,True,15,64,0.999,1
37,0.48182914780570874,-1.0,-3.9212993072814104,-5.5,-0.09821428571428571,-0.00826975568970365,0.98,0.8,0.0016319751739501953,0.04272913932800293,25,31,True,55,64,0.999,1
38,0.48134731865790303,-1.0,-2.10912254145467,-2.3,-0.14375000000000002,-0.07140756300697085,0.98,0.8,0.0007638931274414062,0.043493032455444336,8,8,True,15,64,0.999,1
39,0.48086597133924514,-1.0,-2.1224665895890613,-2.3,-0.14375000000000002,-0.02977387695027635,0.98,0.8,0.0005829334259033203,0.044075965881347656,5,11,True,15,64,0.999,1
40,0.4803851053679059,-1.0,-3.0364222467433124,-3.700000000000001,-0.10882352941176472,-0.028251864379633868,0.98,0.8,0.0011687278747558594,0.045244693756103516,20,14,True,33,64,0.999,1
41,0.479904720262538,-1.0,-3.4285268100056796,-4.400000000000002,-0.11891891891891893,-0.06045856094017341,0.98,0.8,0.0010738372802734375,0.04631853103637695,16,21,True,36,64,0.999,1
42,0.47942481554227545,-1.0,-4.135274022030147,-6.299999999999997,-0.09843749999999998,-0.05213849649659148,0.98,0.8,0.0017092227935791016,0.048027753829956055,41,23,True,63,64,0.999,1
43,0.4789453907267332,-1.0,-2.0493487887136963,-2.3,-0.10454545454545455,-0.006842680623586051,0.98,0.8,0.0006022453308105469,0.0486299991607666,12,10,True,21,64,0.999,1
44,0.47846644533600646,-1.0,-2.556563677746184,-2.9000000000000004,-0.12083333333333333,-0.02067988328317291,0.98,0.8,0.0006818771362304688,0.04931187629699707,15,9,True,23,64,0.999,1
45,0.47798797889067046,-1.0,-3.270827066318678,-4.100000000000001,-0.11714285714285716,-0.03400633856555894,0.98,0.8,0.0011310577392578125,0.05044293403625488,18,17,True,34,64,0.999,1
46,0.4775099909117798,-1.0,-1.54745192645988,-1.6,-0.1142857142857143,-0.012860314129699306,0.98,0.8,0.0004432201385498047,0.05088615417480469,8,6,True,13,64,0.999,1
47,0.47703248092086803,-1.0,-2.2011844244650347,-2.4000000000000004,-0.13333333333333336,-0.029809104488978944,0.98,0.8,0.0005359649658203125,0.051422119140625,8,10,True,17,64,0.999,1
48,0.4765554484399472,-1.0,-1.89634324625102,-2.0,-0.1111111111111111,-0.016653935353094916,0.98,0.8,0.0006630420684814453,0.052085161209106445,8,10,True,17,64,0.999,1
49,0.47607889299150724,-1.0,-2.1224665895890613,-2.3,-0.14375000000000002,0.0050676629079842925,0.98,0.8,0.0004558563232421875,0.05254101753234863,8,8,True,15,64,0.999,1
50,0.47560281409851574,-1.0,-3.1442430568669035,-3.9000000000000012,-0.11142857142857143,-0.0484806377552676,0.98,0.8,0.0010008811950683594,0.05354189872741699,17,18,True,34,64,0.999,1
51,0.4751272112844172,-1.0,-2.557788761781973,-2.9000000000000004,-0.13181818181818183,-0.04698246626458831,0.98,0.8,0.0009179115295410156,0.05445981025695801,12,10,True,21,64,0.999,1
52,0.4746520840731328,-1.0,-2.6928380080073966,-3.1000000000000005,-0.1347826086956522,-0.062386031680053126,0.98,0.8,0.0007700920104980469,0.055229902267456055,16,7,True,22,64,0.999,1
53,0.47417743198905965,-1.0,-4.797268423255666,-8.699999999999989,-0.0956043956043956,-0.04662924860442893,0.98,0.8,0.0028421878814697266,0.05807209014892578,51,40,True,90,64,0.999,1
54,0.4737032545570706,-1.0,-3.9205041540072063,-5.6,-0.08235294117647057,-0.003135695933622003,0.98,0.8,0.0019199848175048828,0.059992074966430664,32,36,True,67,64,0.999,1
55,0.4732295513025135,-1.0,-2.849586095985284,-3.500000000000001,-0.08974358974358976,-0.03500388869530994,0.98,0.8,0.0010988712310791016,0.061090946197509766,23,16,True,38,64,0.999,1
56,0.47275632175121096,-1.0,-4.777851212134008,-8.29999999999999,-0.10506329113924047,-0.05767705464585341,0.98,0.8,0.0022051334381103516,0.06329607963562012,41,38,True,78,64,0.999,1
57,0.47228356542945976,-1.0,-1.463770792213015,-1.5,-0.08823529411764706,-0.0003987793565385628,0.98,0.8,0.0004749298095703125,0.06377100944519043,9,8,True,16,64,0.999,1
58,0.4718112818640303,-1.0,-2.5290644627302665,-2.9000000000000004,-0.12608695652173915,-0.013366317750165694,0.98,0.8,0.0007519721984863281,0.06452298164367676,9,14,True,22,64,0.999,1
59,0.4713394705821663,-1.0,-2.048415516412475,-2.2,-0.14666666666666667,-0.033723700574568284,0.98,0.8,0.0005183219909667969,0.06504130363464355,5,10,True,14,64,0.999,1
60,0.47086813111158415,-1.0,-2.273318034021791,-2.5,-0.14705882352941177,-0.015615912469370045,0.98,0.8,0.0007030963897705078,0.06574440002441406,9,8,True,16,64,0.999,1
61,0.4703972629804726,-1.0,-2.1317902926254906,-2.3,-0.11500000000000002,-0.030996537690969835,0.98,0.8,0.0006642341613769531,0.06640863418579102,12,8,True,19,64,0.999,1
62,0.4699268657174921,-1.0,-2.3533911690967706,-2.6000000000000005,-0.14444444444444446,0.011231101594171665,0.98,0.8,0.0008120536804199219,0.06722068786621094,8,10,True,17,64,0.999,1
63,0.4694569388517746,-1.0,-2.4110831171739173,-2.7,-0.1,-0.032187712399171016,0.98,0.8,0.0009119510650634766,0.06813263893127441,17,10,True,26,64,0.999,1
64,0.46898748191292283,-1.0,-4.1123751420326915,-6.099999999999998,-0.11296296296296292,-0.019592673470629637,0.98,0.8,0.0018651485443115234,0.06999778747558594,28,26,True,53,64,0.999,1
65,0.4685184944310099,-1.0,-3.2805842983255373,-4.100000000000001,-0.12424242424242424,-0.0659401084333285,0.98,0.8,0.0009219646453857422,0.07091975212097168,17,16,True,32,64,0.999,1
66,0.4680499759365789,-1.0,-3.9142771183472727,-5.5,-0.10377358490566034,-0.019231284383931176,0.98,0.8,0.0014851093292236328,0.07240486145019531,25,28,True,52,64,0.999,1
67,0.4675819259606423,-1.0,-2.3504664354502944,-2.6000000000000005,-0.14444444444444446,0.016672450156910674,0.98,0.8,0.0005059242248535156,0.07291078567504883,9,9,True,17,64,0.999,1
68,0.46711434403468166,-1.0,-2.941815894623848,-3.500000000000001,-0.12068965517241381,-0.03907516271686351,0.98,0.8,0.0008428096771240234,0.07375359535217285,11,18,True,28,64,0.999,1
69,0.466647229690647,-1.0,-2.0548880536994796,-2.2,-0.12941176470588237,0.030195175390340622,0.98,0.8,0.0004658699035644531,0.0742194652557373,9,8,True,16,64,0.999,1
70,0.46618058246095634,-1.0,-2.9784435154886273,-3.700000000000001,-0.10000000000000002,-0.020336460723523755,0.98,0.8,0.0009889602661132812,0.07520842552185059,21,16,True,36,64,0.999,1
71,0.4657144018784954,-1.0,-2.623538174875436,-3.0000000000000004,-0.11538461538461539,-0.0022093410470117123,0.98,0.8,0.0007312297821044922,0.07593965530395508,12,14,True,25,64,0.999,1
72,0.4652486874766169,-1.0,-3.2217147488970066,-4.000000000000002,-0.1111111111111111,-0.026537272297020353,0.98,0.8,0.0009431838989257812,0.07688283920288086,22,14,True,35,64,0.999,1
73,0.4647834387891403,-1.0,-3.2355060725308085,-5.100000000000001,-0.075,-0.014321061020150561,0.98,0.8,0.002483844757080078,0.07936668395996094,32,36,True,67,64,0.999,1
74,0.46431865535035116,-1.0,-3.2271268350260582,-4.000000000000002,-0.11428571428571428,-0.026048935914568264,0.98,0.8,0.0011110305786132812,0.08047771453857422,21,14,True,34,64,0.999,1
75,0.4638543366950008,-1.0,-3.0021623676017377,-3.600000000000001,-0.13333333333333336,-0.054427962591095905,0.98,0.8,0.0009899139404296875,0.0814676284790039,14,13,True,26,64,0.999,1
76,0.4633904823583058,-1.0,-1.9565292707072182,-2.0999999999999996,-0.1105263157894737,-0.039547457257506725,0.98,0.8,0.0007128715515136719,0.08218050003051758,13,6,True,18,64,0.999,1
77,0.4629270918759475,-1.0,-3.5785570520426355,-4.900000000000002,-0.1,-0.03855649374664514,0.98,0.8,0.0018031597137451172,0.0839836597442627,28,21,True,48,64,0.999,1
78,0.46246416478407154,-1.0,-1.6444486360245785,-1.7,-0.1888888888888889,-0.04678477049173372,0.98,0.8,0.0003170967102050781,0.08430075645446777,4,5,True,8,64,0.999,1
79,0.46200170061928747,-1.0,-2.9406331037534814,-3.500000000000001,-0.11666666666666668,-0.048308018014671765,0.98,0.8,0.0009140968322753906,0.08521485328674316,20,10,True,29,64,0.999,1
80,0.4615396989186682,-1.0,-3.483934358971417,-4.500000000000002,-0.11842105263157894,-0.010875465113338274,0.98,0.8,0.0013110637664794922,0.08652591705322266,21,17,True,37,64,0.999,1
81,0.46107815921974954,-1.0,-1.9748149186245,-2.0999999999999996,-0.13999999999999999,-0.03108404598259564,0.98,0.8,0.0004467964172363281,0.08697271347045898,10,5,True,14,64,0.999,1
82,0.4606170810605298,-1.0,-2.0548880536994796,-2.2,-0.16923076923076924,-0.056361682796831555,0.98,0.8,0.00039696693420410156,0.08736968040466309,7,6,True,12,64,0.999,1
