env_name,algname,gamma,epsilon,threshold,Iteration,V_variation,V_delta,V_max_diff,V_average,V_sum,clock_time,# chg action at iter,# chg actions
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,1,0.89,1.7800000000000002,0.89,0.004200000000000001,3.7800000000000002,0.009307146072387695,2,2
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,2,0.7811,3.1243999999999996,0.7811,0.007671555555555556,6.9044,0.014111042022705078,4,6
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,3,0.673289,2.693156000000001,0.673289,0.010663951111111111,9.597556,0.018371105194091797,4,10
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,4,0.5665561100000001,2.2662244400000002,0.5665561100000001,0.013181978266666668,11.863780440000001,0.023708105087280273,4,14
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,5,0.46089054890000003,2.3044527445000007,0.46089054890000003,0.015742481316111112,14.168233184500002,0.02937793731689453,5,19
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,6,0.356281643411,2.4939715038770007,0.356281643411,0.018513560764863338,16.662204688377003,0.034715890884399414,6,25
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,7,0.25271882697688997,2.021750615815119,0.25271882697688997,0.020759950337991245,18.68395530419212,0.03913760185241699,7,32
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,8,0.15019163870712107,0.9011498322427265,0.15019163870712107,0.021761227929372053,19.585105136434848,0.04391765594482422,6,38
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,9,0.048689722320049866,0.43820750088044846,0.048689722320049866,0.022248125152572552,20.023312637315296,0.04884076118469238,8,46
"frozen-lake-(30, 30)",VI,0.99,0.001,1.010101010101011e-05,10,0.0,0.0,0.0,0.022248125152572552,20.023312637315296,0.053198814392089844,0,46
