algname,gamma,threshold,num_states,Iteration,variation,V_max_diff,# chg actions,clock_time
vi-forest,0.75,0.0003333333333333333,10,1,4.0,4.0,0,6.29425048828125e-05
vi-forest,0.75,0.0003333333333333333,10,2,2.7,2.7,1,9.298324584960938e-05
vi-forest,0.75,0.0003333333333333333,10,3,1.822500000000001,1.8731250000000008,2,0.00012135505676269531
vi-forest,0.75,0.0003333333333333333,10,4,1.2301875000000007,1.2681562500000005,2,0.00014829635620117188
vi-forest,0.75,0.0003333333333333333,10,5,0.8303765625000015,0.8819191406250013,3,0.00017452239990234375
vi-forest,0.75,0.0003333333333333333,10,6,0.5605041796875017,0.5991611132812515,3,0.00019931793212890625
vi-forest,0.75,0.0003333333333333333,10,7,0.3783403212890635,0.4178424748535168,4,0.00022554397583007812
vi-forest,0.75,0.0003333333333333333,10,8,0.2553797168701184,0.2850063320434586,4,0.0002512931823730469
vi-forest,0.75,0.0003333333333333333,10,9,0.17238130888732983,0.19938963995864967,4,0.00028061866760253906
vi-forest,0.75,0.0003333333333333333,10,10,0.11635738349894753,0.13661363180243757,4,0.0003066062927246094
vi-forest,0.75,0.0003333333333333333,10,11,0.07854123386178946,0.09591512103001243,4,0.00033545494079589844
vi-forest,0.75,0.0003333333333333333,10,12,0.053015332856708675,0.06604574823287557,4,0.0003616809844970703
vi-forest,0.75,0.0003333333333333333,10,13,0.03578534967827851,0.046552198701466985,4,0.00038743019104003906
vi-forest,0.75,0.0003333333333333333,10,14,0.024155111032837517,0.032230247800228984,4,0.0004124641418457031
vi-forest,0.75,0.0003333333333333333,10,15,0.016304699947165657,0.022813960854574766,4,0.0004374980926513672
vi-forest,0.75,0.0003333333333333333,10,16,0.011005672464337035,0.0158876181448937,4,0.0004634857177734375
vi-forest,0.75,0.0003333333333333333,10,17,0.007428828913427665,0.011296644532551525,4,0.0004894733428955078
vi-forest,0.75,0.0003333333333333333,10,18,0.005014459516564429,0.007915321230907324,4,0.0005154609680175781
vi-forest,0.75,0.0003333333333333333,10,19,0.003384760173680501,0.0056544275753731554,4,0.00054168701171875
vi-forest,0.75,0.0003333333333333333,10,20,0.0022847131172349933,0.003986963668504373,4,0.0005664825439453125
vi-forest,0.75,0.0003333333333333333,10,21,0.0015421813541343088,0.0028617076385346607,4,0.0005927085876464844
vi-forest,0.75,0.0003333333333333333,10,22,0.001040972414040553,0.0020306171273407614,4,0.0006177425384521484
vi-forest,0.75,0.0003333333333333333,10,23,0.0007026563794787499,0.0014644081472168224,4,0.0006437301635742188
vi-forest,0.75,0.0003333333333333333,10,24,0.0004742930561487668,0.0010456068819522102,4,0.0006687641143798828
vi-forest,0.75,0.0003333333333333333,10,25,0.00032014781290023997,0.0007575261770558228,4,0.0006947517395019531
