algname,gamma,threshold,num_states,Iteration,V_average,V_sum,delta,variation,V_max_diff,# chg actions,clock_time
vi-forest,0.99,1.010101010101011e-05,10,1,1.2,12.0,12.0,4.0,4.0,0,6.008148193359375e-05
vi-forest,0.99,1.010101010101011e-05,10,2,1.9019,19.019,7.018999999999998,3.564,3.564,1,0.0001068115234375
vi-forest,0.99,1.010101010101011e-05,10,3,3.3190948,33.190948,14.171948,3.1755240000000002,3.263733,2,0.0001518726348876953
vi-forest,0.99,1.010101010101011e-05,10,4,4.4295251607,44.295251607,11.104303606999999,2.8293918840000014,2.9167187940000012,3,0.00019478797912597656
vi-forest,0.99,1.010101010101011e-05,10,5,5.919211051915401,59.19211051915401,14.89685891215401,2.5209881686440005,2.6774692586730007,4,0.0002377033233642578
vi-forest,0.99,1.010101010101011e-05,10,6,7.2533825716315565,72.53382571631556,13.341715197161555,2.246200458261805,2.401116737390515,4,0.00028061866760253906
vi-forest,0.99,1.010101010101011e-05,10,7,8.795471501531145,87.95471501531145,15.420889298995888,2.00136460831127,2.2103251859906727,5,0.00032258033752441406
vi-forest,0.99,1.010101010101011e-05,10,8,10.202863517694869,102.0286351769487,14.073920161637247,1.78321586600534,1.990086837907949,6,0.00036454200744628906
vi-forest,0.99,1.010101010101011e-05,10,9,11.648472442442612,116.48472442442612,14.456089247477422,1.5888453366107602,1.8377821914779755,7,0.0004074573516845703
vi-forest,0.99,1.010101010101011e-05,10,10,13.062840414570308,130.6284041457031,14.143679721276968,1.4156611949201876,1.6621086812387311,7,0.00044846534729003906
vi-forest,0.99,1.010101010101011e-05,10,11,14.445362353120379,144.4536235312038,13.825219385500702,1.2613541246738853,1.5403747507035188,8,0.0004904270172119141
vi-forest,0.99,1.010101010101011e-05,10,12,15.817199094853867,158.17199094853868,13.718367417334889,0.28260203120276817,1.40009694485377,8,0.0005335807800292969
vi-forest,0.99,1.010101010101011e-05,10,13,17.17531746917002,171.75317469170022,13.581183743161546,7.105427357601002e-15,1.3581183743161596,8,0.0005776882171630859
