algname,Iteration,max|V-Vprev|,# chg actions,V[0],clock_time
value-iteration,0,0.3333333333333333,N/A,0.0,0.00016617774963378906
value-iteration,1,0.10555555555555557,1,0.0,0.00012230873107910156
value-iteration,2,0.06685185185185183,1,0.0,0.00012111663818359375
value-iteration,3,0.06350925925925924,2,0.0,0.00012111663818359375
value-iteration,4,0.04357440843621398,1,0.0,0.00011706352233886719
value-iteration,5,0.03821140432098763,4,0.003184283693415636,0.00011491775512695312
value-iteration,6,0.028570100915923657,2,0.007553828539380424,0.00011587142944335938
value-iteration,7,0.024374217467683035,1,0.013727211129448627,0.00011706352233886719
value-iteration,8,0.01951533961877594,1,0.0206367873329876,0.00011897087097167969
value-iteration,9,0.016244806882434182,0,0.028257544306744493,0.0001201629638671875
value-iteration,10,0.013844019391355156,0,0.03606846442720881,0.00011706352233886719
value-iteration,11,0.011734744236366973,0,0.04395334775348714,0.0001201629638671875
value-iteration,12,0.010473880003636915,1,0.051908190425654865,0.00011897087097167969
value-iteration,13,0.00947687359284513,0,0.05989882534611833,0.00011897087097167969
value-iteration,14,0.008523937693942413,1,0.06774253198629762,0.0001201629638671875
value-iteration,15,0.007815964519842455,0,0.07534309000578178,0.00011801719665527344
value-iteration,16,0.007332214193200293,0,0.08263183218273852,0.00012183189392089844
value-iteration,17,0.00693807120658603,0,0.08956990338932455,0.0001201629638671875
value-iteration,18,0.006563925246058394,0,0.09613382863538295,0.00012111663818359375
value-iteration,19,0.006180865880885608,0,0.10231469451626855,0.00011706352233886719
